dic_gloss,synonyms,sid,FSW
1,,69,M507x512S1f502492x488
2,,634,M512x515S1dc01489x485
3,,186,M513x515S11e01488x485
4,,754,M514x515S14401486x486
4,čtyři,1755,L511x522S14400489x479S2f900497x517
5,,640,M513x514S14c01487x487
6,,580,M528x514S14c09473x487S1f500504x492
7,,101,M534x517S14c09467x483S1dc01511x487
7,,545,M538x518S14c09463x488S1dc2f499x488S2880b518x482
8,,567,M531x515S14c09470x486S11e01506x485
8,,988,M531x516S14c09470x484S11e27506x486
9,,521,M530x514S14c09470x487S14401502x485
10,,1740,M553x514S14c27504x486S14c2f467x487S22a06538x497S22a12446x498
17,,796,M534x532S2c305466x469S37703512x496S1dc40500x467S3770b499x510S20500504x503S1f502519x489
50,,1291,M513x529S14c01487x493S26500493x472S2f900500x524
1000,,87,M531x518S15d48470x488S20500489x482S18040500x503
2000,,987,M526x520S1dc02496x496S15d48473x492S20600491x480
_Honza,,268,M546x532S2ff00482x482S11011495x484S22101488x474S21100522x505S22a05533x518
_OTAZKA_,,273,M518x523S30a00482x488S30100482x477
_Tomas,,179,M546x544S31400482x482S33e00482x482S17d3e492x521S22f04511x529S22114511x519S2fb06540x521
_x,,510,
:,,1860,S38a00464x490
!,,1936,S38810463x495
?,,1896,S38900464x493
.,,1875,S38800464x496
(svět) strany,,1950,M522x518S15a1a478x496S15a10486x491S20600500x483
*,,5807,M574x531S1ce42511x509S1ce4a460x509S26b07530x495S26b11443x495S1ce50552x470S1ce58427x470
0 (UPOL),,5582,M518x560S17610490x544S34600482x483
1 (hodina) A (UPOL),,5514,M510x530S1f502492x470S2e200490x498
1 (UPOL),,3117,M508x512S1f502493x488
1. (pořadí) A (UPOL),,5510,M509x519S1f510493x504S22e00492x482
1. (pořadí) C (UPOL),,5511,M516x515S1f510501x500S22e01485x485
1. (pořadí) D (UPOL),"1. (třída, ročník) B (UPOL)",5512,M513x521S1f502493x479S22f04488x507
"1. (třída, ročník) A (UPOL)",,5513,M508x517S1f502493x493S21900494x483
10 (hodin) B (UPOL),,5578,M530x531S14c09471x469S14c01504x469S2e428486x498
10 A (UPOL),,5579,M530x514S14c09471x487S14c01504x487
10 B (UPOL),,5583,M527x526S1ce20505x496S1ce28474x496S22e20492x474S22204514x487S22204477x487
10. (datumy) (UPOL),10. (pořadí) C (UPOL),5575,M547x514S14c09454x487S14c01487x487S22b26517x496
10. (pořadí) A (UPOL),"10. (pořadí) D (UPOL), 10. (třída, ročník) (UPOL)",5576,M547x514S14c09471x487S14c01504x487S22f16454x489S22f02533x489
10. (pořadí) B (UPOL),,5577,M527x526S14c18474x495S14c10504x495S26927493x474
100 (UPOL),sto (UPOL),3249,M512x522S1f501490x500S2df0c488x478
100 B (UPOL),,5642,M531x512S1f502469x488S17610491x496S17610515x496
1000 A (UPOL),,5659,M522x515S15d18479x488S1f520494x500S20600500x485
1000000 (UPOL),,5516,M561x563S18250504x546S18258475x546S33b00482x483S29212440x549S2920a530x549
1000000000 (UPOL),,5515,M582x565S18250504x548S18258475x548S32a00482x483S29212419x551S29232444x551S2923a529x551S2920a551x551S35000482x483
11 A (UPOL),,5584,M525x518S1f502476x482S1f50a486x486S20600503x491S21404486x513
11 B (UPOL2),,5709,M520x520S1f526505x488S23702480x481
11. (datumy) (UPOL),11 (hodin) (UPOL),5585,M516x529S1f502498x471S1f50a485x489S22b04500x499S21404485x516
12 A (UPOL),,5620,M532x518S1dc02468x482S1f50a493x486S20600510x491S21404493x513
12 B (UPOL2),,5710,M524x520S1dc20500x489S23702476x481
12. (datumy) (UPOL),,5586,M517x529S1dc02483x471S1f50a485x489S21404485x516S22b04501x499
13 A (UPOL),,5621,M528x520S11e01472x480S1f502489x488S20600506x493S21404489x515
13 B (UPOL2),,5711,M524x520S11e20501x486S23702476x481
13. (datumy) (UPOL),,5593,M535x518S11e02466x483S1f50a486x486S21404486x513S22b26505x491
14 A (UPOL),,5622,M530x520S14401471x481S1f502491x488S20600508x493S21404491x515
14 B (UPOL2),,5712,M523x520S14420501x485S23702477x481
14. (datumy) (UPOL),,5594,M535x516S14402466x487S1f502486x484S21404486x511S22b26505x489
15 (UPOL),patnáct,2428,M529x516S14c01472x485S1f502490x492S20600507x497
15 B (UPOL2),,5713,M524x520S14c20501x485S23702476x481
15. (datumy) (UPOL),,5595,M535x517S14c02466x484S1f502486x485S21404486x512S22b26505x490
16 B (UPOL),,5624,M529x526S14c0a471x476S25524507x504S25524491x504S1f503507x474
16. (datumy) (UPOL),16 A (UPOL),5597,M526x528S1f540495x501S37806474x513S1f50a506x496S21404511x523S2c305488x473S20500485x499
