dic_gloss,synonyms,sid,FSW
1,,4736,M508x512S1f502493x488
2,,4737,M512x515S1dc01489x485
3,,4738,M513x515S11e01488x485
4,,4739,M514x515S14401486x486
5,,4740,M513x514S14c01487x487
6,,4741,M520x516S14c08481x485S1f502505x492
7,,4742,M524x516S14c08477x485S1dc01501x486
8,,4743,M524x516S14c08477x485S11e00501x486
9,,4744,M523x516S14c08477x485S14400501x485
-,,4380,M513x521S1ce10489x491S22114487x478
^,,4735,M512x512S12820489x488
¨,,4732,M512x516S14c20489x485
0 (number),,4745,M524x516S14c00501x485S14c08477x485
A,S1-01757,1038,M510x507S1f720490x492
Ä,,4734,M513x513S1f720487x498S22114487x488
a-then,S4-07826-2,3581,M526x523S15d3a475x504S19a22484x477S20600504x501
Aal,,2909,M530x529S10041509x499S27f08469x471
Aarau,S2-00806,897,M512x525S1f720490x475S2e501489x498
Aargau-2,S1-04070,4153,M509x547S10010493x517S10040492x452S26600493x490
Aargau-3,S1-04071,786,M512x533S14c20488x467S2e501489x506
ab,,1733,M513x538S15d20490x461S22e04496x492S18051487x518
ab--Bahn-,,2067,M532x521S15a56480x479S15a47474x498S20500468x494S2c607509x490
ab-486,,1305,M511x527S14c20488x473S22e04491x509
ab-a,S3-02497-K2,855,M509x518S10004491x482S22a04496x503
ab-a,S3-02497-K,1837,M508x538S10004493x463S22b04492x496S2f700493x531
ab-a,S3-02497,3622,M509x523S10004491x476S22a04496x497S2f700497x516
ab-c,S4-03144,3053,M526x542S17620506x458S14c50502x511S25604506x479S17620478x458S25604478x479S14c58474x511
ABC,,2214,M531x522S1f720470x485S14720495x479S16d20514x481S26506497x508
Abend-2347-K,,438,M545x567S15d00526x498S15d08457x497S15d0a479x544S2881b480x518S28803501x518S15d02493x548S2ff00482x482
Abendessen-1,S2-05051,2349,M540x551S15d00428x489S15d08344x486S18507500x519S2881b370x499S28803399x499S15d02386x532S15d0a374x528S30004482x482S20500516x514S20500530x511
Abendessen-2,S2-08956,739,M585x546S2ff00444x481S30004519x483S20500559x509S20500575x509S15d10485x477S18510448x519S18507536x519S28803453x488
Abendessen-2669,,2183,M544x566S33b00482x482S10e51506x518S10e59466x518S23614458x547S23600505x549
Abendessen-8956,,3182,M578x546S20500552x514S30004518x482S18507536x519S2ff00446x483S20500568x514S28803454x491S16000489x479S20310455x523
Abenteuer-1,S4-03719,2989,M529x528S20300509x471S20328471x471S2e01c470x500S2e00c508x500
aber,S2-00471,4126,M508x520S10010493x480S2f900496x515
aber-471,,2392,M507x519S10010492x480S2f900494x514
Abfahrt,S2-02427,2611,M532x531S15a57467x469S15a41509x508S2c602486x490S20500493x475
Abfahrt-2427,,1613,M533x529S15a57467x470S15a41510x506S20500495x472S2c602486x488
Abfall-2,S3-05402-V2,329,M530x526S14c51469x500S20310515x474S28803491x480
Abfall-2,S3-05402-V3,816,M512x542S17620492x457S14c50488x511S25604492x477
Abfall-2,S3-05402-V,2242,M541x513S14c51459x487S20310526x493S28802495x493
Abfall-4,,2855,M512x538S14c50488x507S22a04494x486S17650492x462
Abfall-5326,,2635,M525x522S10017475x501S2b707500x477
Abgesagt,,2369,M527x537S14c58473x462S14c50503x462S17620477x521S17620509x521S26500509x499S26510477x499
abgesagt,Loslassen,1081,M526x542S17620506x458S14c50502x511S25604506x479S17620478x458S25604478x479S14c58474x511
abhngig,"S4-02321, Abonemment",1788,M528x531S10a21495x469S16d48471x471S22a04488x516S20700484x497
abhngig,,4396,M528x531S10a21495x469S16d48471x471S22a04488x516S20700484x497
Abhngig-1104,,4639,M557x529S30103482x471S36a00482x482S20327514x508S22b07533x487
abholen,S3-00234-V2,1789,M512x538S26504493x499S20350493x523S14c50488x461
abholen,S3-00243-K,2833,M510x539S26504491x499S20350491x524S15220490x461
abklren,S4-07414-K,879,M533x557S11819468x460S11811501x460S22a24493x532S23004507x491S23004508x514S23014466x491S23014466x513S20f00484x442S2fb00491x551
Abkrzung,S4-03790,2043,M544x515S10010529x485S10018457x484S26502506x500S26516478x500
Abkrzung,,2196,M544x515S10010529x485S10018455x484S20500494x503S22a02508x502S22a16474x502
Ablauf-a,S3-04102-K,3894,M546x520S15d02497x481S15d0a473x494S2ea34531x480S2ea18454x495
ablegen,,1098,M527x537S14c58473x462S14c50503x462S17620477x521S17620509x521S26500509x499S26510477x499
ablehnen,S4-00392-V,76,M556x521S33010479x482S10021525x500S26500542x480S20500515x508
ablehnen,S4-00392,1895,M564x521S33010479x482S10021525x500S26507551x485S20500515x508
ablenken,S4-07441,1491,M551x528S2ff00482x482S15a10520x501S15a18469x501S20500520x486S20500470x486S26510468x466S26500519x466S15a47528x445S15a49477x446
ablesen,S3-00347-K,193,M551x525S17d02528x502S18502527x448S26a00524x480S33b00482x482
ablesen,S3-00347-K,3263,M545x546S33b00482x482S17d02494x523S18502527x480S26a00518x512
ablesen,S3-00347-3,3692,M515x542S17d26493x458S18526490x517S26504486x492S26504501x492
ablesen-347--Rolle-,,1999,M515x542S17d56493x458S18556490x517S26504486x492S26504501x492
ablschen,S2-02350,2167,M509x519S17c20492x497S22104493x482
ablschen-2350,,1277,M512x514S18520487x499S22104489x485
ablsen,,1583,M538x530S15d39461x507S1d451485x497S1d411513x473S2b707479x471
Abmachen,,4628,M528x548S20b00483x535S20b00477x452S15a57472x508S15a31492x522S15a37483x458S15a51505x474
abmachen-5381,,3975,M546x572S30004482x482S10011511x516S10019468x517S27204506x553S27214454x552
Abmachen-5381-V,diskutieren,420,M543x587S30004482x482S10011507x518S10019471x517S27100503x554S27110457x554S2fc00493x576
abmachen-873,,2462,M513x543S15a07487x457S15a21489x458S15a27489x503S15a01490x504S20500495x484S20500498x532
abmachen-874,,3639,M531x515S1ea31503x496S1ea39469x496S20500487x485S20500502x485
Abmulanz,,3596,M543x533S21b00532x469S17638527x481S17638457x479S2e000520x504S36d00479x492S2e018456x503S2fb00489x521S21b00462x467
abnehmen,S3-5192-K2,2486,M537x529S1ed40511x470S1ed48462x471S24d03507x498S24d15469x501
abnehmen,,3514,M526x589S32c00482x482S15d48477x521S15d40507x522S21100495x552S28804506x567S2881c486x567
abnehmen,S3-05192-K,3954,M555x529S1e140531x473S1e148445x471S24d03504x498S24d15464x501
abnehmen-5327-Telefon,,3292,M541x521S30006482x483S19a32516x493S19a50510x435S2c605523x461
abnehmen-5328,,2421,M535x513S15d10516x486S16d18465x491S26502492x495
abnehmen-5329,,1040,M539x523S30000482x488S30105482x477S1ea17518x494S2b701515x461
Abonnement-a,S2-02820,3640,M521x526S36d00479x475S20500485x489S26b00451x485S16d32454x508
Abonnement-b,S2-02820-V,1018,M524x519S10652498x481S1064a475x504S20800505x503
Abonnement-b,S2-03718,2120,M521x519S10652489x480S1063a478x504S20800511x506
Absagen,S4-03144,1452,M526x542S17620506x458S14c50502x511S25604506x479S17620478x458S25604478x479S14c58474x511
abschicken,S4-04817-K,1161,M513x535S1ea20486x514S1ee20487x464S26500497x496
abschicken,S4-04817-V2,2485,M511x526S1ea20488x505S26500497x473S22100497x494
abschleifen,S3-05942-V,290,M575x538S15a40452x482S15a48426x482S14c48496x478S14c40538x477S25605551x514S25615509x513S22510497x462S22510538x461S2f700425x518S2f700450x517
abschleifen,S3-05942-K,1255,M580x539S15a40454x480S15a48420x480S14c48498x476S14c40540x477S2f900420x514S2f900456x514S22510499x460S22510540x461S25615509x515S25605556x513
Abschleppen,,3283,M540x519S10652483x480S1061a461x503S20800491x505S26626510x503
abschliessen,,3614,M530x528S1f730510x513S1f738469x513S2a200504x472S2a218471x472
Abschluss,S4-03421,2446,M537x522S15d49463x498S1ea51487x503S21100491x485S2c300511x477
