dic_gloss,synonyms,sid,FSW
1,null_eins,23073,M609x570S35d00391x482S34600419x482S35c00448x482S17610472x551S36100573x482S26506509x553S26500548x523S35d00546x483S26500475x528S34c00486x482S34800515x483S1f502546x546
8,,18327,M524x516S14c08477x485S11e00501x486
15,,14683,M605x606S36500395x481S2e800552x574S35d00569x483S36100515x482S34700542x483S34600422x482S36500481x481S35d00451x481S14c50545x536
23,dreiundzwanzig,4109,M615x586S10e57579x532S35d00579x483S34c00548x483S2f900567x561S36500517x483S2c607544x568S10e01518x542S36100487x483S35d04386x483S34c00415x483S34800444x483S11e01451x542
24,vierundzwanzig,4110,M601x586S10e57565x532S35d00565x483S34c00534x483S2f900553x561S36500503x483S2c607530x568S10e01504x542S36100473x483S34800430x483S36500400x482S14400439x540
25,fünfundzwanzig,4111,M619x588S10e57577x534S35d00583x485S34c00556x484S2f900565x563S36500530x484S2c607542x570S10e01516x544S36100504x483S36500382x480S34600410x481S35d00438x481S36500463x482S14c00455x541
€46.00,,12105,M613x571S34800496x483S36100396x482S14401485x541S1f502438x541S36500466x483S14c09403x538S34a00424x482S21800480x529S34800568x482S34400538x482S11541556x539S11540598x524S26906583x555
57,siebenundfünfzig,14554,M619x577S14c08408x541S35000440x483S2f900563x555S36500583x482S35d00553x482S2c607539x559S34600523x482S36500492x483S14c01508x541S14c57577x531S36100382x482S34800410x483S1dc01444x543
113,,21868,M616x611S11e50562x534S2e800570x569S35d00463x482S35d04493x483S34c00522x483S34800549x482S36100580x483S34600385x483S35d00414x483S10010449x520S10040454x581S22b04450x553
234,zweihundertvierunddreißig,23077,M624x623S11e57575x536S2c607543x569S22b04434x559S10e10433x523S10e40433x593S36100376x484S36500405x483S35d04534x481S34c00561x481S35d00505x482S2f900563x561S34800588x482S11e00519x546S36500458x482S14400474x549S26500481x530
2000,zweitausend,12804,M621x577S1dc01429x547S1dc20482x531S36100378x482S36500407x482S35d00496x482S34600555x482S34800466x482S34c00436x482S2df08454x530S26606511x545S34c00526x482S36100585x483
20000,,4629,M622x567S1dc01389x533S21600398x526S21600409x522S10020494x537S36100377x482S36500406x481S34c00436x481S36100465x481S35d00502x482S34c00530x482S34600558x483S36100586x482S26706521x544
1000000,Million,2733,M552x567S33b00482x482S14c50525x536S22520520x522S26600528x486
10_Trilliarden,10000000000000000000000,19545,M616x610S35d00449x483S22520529x564S35c00494x483S35d04580x482S34c00551x483S34800524x483S26610536x529S11e00494x534S11e20450x561S2df04478x566S14c50585x579S22520582x563S26600589x530S14c58533x579S2f900416x572S14c00410x537S36100385x484S14c08375x537S2f900378x573
1000_ Dank,,9373,M627x565S35d00374x482S34c00403x482S34600432x481S26601493x539S26706406x537S36100461x481S35d00503x483S10020377x525S26600528x529S15d08507x514S2f900459x544S26607551x543S34c00533x483S35d00562x483S35d04591x484
7_Uhr,sieben_Uhr,9749,M584x567S36100416x482S34800444x483S35000474x483S34600518x483S14c09438x535S1dc01513x533S35d04548x482S26a02496x540S26a16470x540
A,,16107,M532x586S34800496x482S34a00467x482S14c29475x533S10001498x556S20500504x545
A,,3246,M510x507S1f720490x492
ab,,9318,M541x598S34c00468x482S35000496x483S15d03508x575S15d20522x526S22a00526x559
ab,,12999,M560x555S35000482x488S30103482x477S14710528x533S14740529x471S26600544x503S2f900547x493
ab,,12998,M543x555S34c00466x482S35000497x482S18050513x540S22100519x526
ab_und_ zu,,5709,M578x567S34c00423x483S35000453x483S36100513x482S2a208489x531S15d40469x540S15d10517x540S34600542x482
abbeißen,,5711,M542x555S36100482x482S14c10517x501S26502505x522S20310488x520S26606497x539S2f900531x544
abbeißen,,9326,M570x538S34c00483x482S35000453x482S2c300544x507S16d0e526x521S34800511x483
abbiegen (rechts),,5713,M575x551S30105482x477S15d26512x531S26606545x535
abblasen,,9337,M562x616S34c00438x482S35000466x482S20320468x543S20320504x543S14c50502x585S14c58462x585S22a04505x565S22a14468x564S35c00497x482S34c00526x482
abbrennen,,5714,M624x584S34c00424x482S35000453x482S14c49419x557S28817423x521S2880f448x521S22120414x546S22120414x550S22120451x546S22120451x550S14c41450x557S35000540x483S14c49523x522S14c41567x522S2881d521x547S28805572x546S18510599x557S18518492x558
abdichten,,4661,M577x596S34c00423x482S35000452x483S21100509x563S35800541x483S34800510x483S22a04509x581S15d48488x542S16c50512x534S35d00481x483
Abdruck,,8859,M576x587S34c00424x482S35000454x482S34600540x483S35d00483x483S35d04511x483S14c3f472x541S1f504491x553S20500489x568S2f900488x582
Abfahrt,,9402,M592x587S34c00438x483S35000468x483S36500497x482S34c00526x482S15d10572x491S15d40573x560S25e04571x522S2f900574x555
Abfall,,7054,M576x592S20e00492x565S34c00511x482S15a48478x554S15a50493x536S35c00540x482S22f04489x578S34c00423x483S35000453x483S36500482x482
Abfallstoff,,9409,M637x593S20e00437x566S34c00444x483S15a48423x555S36500417x484S35c00473x482S22f04434x579S34c00363x484S35000390x484S14750438x540S35d00541x482S34500511x482S34400572x482S18548516x555S18540551x555S27200581x550S27210472x554S36500601x481
abgemacht,,20463,M606x589S34c00394x481S35000425x481S33b00513x482S34c00541x483S35800570x484S20b00541x568S20b00463x576S15d31524x546S15d39463x546S15d51473x554S15d59513x555S35d04454x482S34700484x482
abgeschlossen,,23031,M594x573S34c00406x482S35000436x482S34500528x483S35c00558x482S2a218444x533S1ea58471x552S1ea50509x552S1ea38561x552S2a200537x532S1ea30419x552S35d04466x482S34700497x482
Abhängiger,,9485,M651x566S34c00421x476S35000451x476S34a00481x476S35d00512x476S35d04542x476S36a10552x510S20310565x513S20320599x489S26507583x501S1ed26632x503S22b04633x536
Abisolierzange,,12715,M612x571S34c00388x482S35000417x482S34800446x482S34400503x482S36100474x482S36100548x482S34c00576x482S1001a406x556S20340583x551S21800583x536S12810433x542S26606462x551S12911500x550S22104436x530S21000451x528S2f700467x564
abkratzen,,9506,M592x608S34c00409x483S35000439x483S34c00496x482S35d04468x482S35d00526x482S36100556x483S15d18464x557S15010486x546S2f900470x587S20e00493x580S23404482x594
abkühlen,,9509,M575x575S15d09475x526S15d01511x528S26b14474x557S26b04508x557S34c00425x482S35000454x482S34600510x482S35d04481x482S35c00539x482
ablegen,,9602,M562x592S34c00437x482S35000467x482S34700526x482S35c00496x482S15330504x567S2b700511x543
Ablüftzeit,,14385,M623x601S34c00377x482S35000404x482S34600465x482S34800558x483S34c00529x482S36100500x482S35c00438x482S15d20418x520S22e04421x553S15d0f491x517S26b05505x530S15a1b589x548S10050578x546S20600566x533S37806562x551S37800583x569S37800585x569S35d00587x482
Abmahnung,,9636,M600x569S34c00408x482S35000438x482S33b00468x482S34c00498x482S35d00528x482S34600556x482S10010580x516S26b00573x551
abnehmend,,9651,M577x579S34c00424x483S35000454x483S34700512x482S33b00541x481S35d00483x483S15d10556x534S15d18492x534S2f900557x563S26606518x542S2f804513x568
abrasieren,,9662,M593x584S34c00408x483S35000437x482S34c00498x481S34800557x481S35d04467x481S36100527x481S36d00415x525S37703390x503S3770b387x477S1ea02400x530S1f727403x459S23404395x570S20e00407x552S2f900411x452
Absage,,9711,M607x530S34c00409x484S35000437x483S36100467x483S34c00498x482S35d04527x481S34700555x480S10054592x500S30004555x480S10030592x427S26500593x465S20e00594x485
Absatzsäge,,14382,M624x601S34c00381x482S35000407x482S36100443x483S35d00494x483S16d58561x544S26606511x550S36100521x483S15d20411x525S15d48484x542S22e04416x556S16d58386x545S2f900388x569S16d58453x546S34c00469x483S36100556x482S34a00582x482S2f900564x569S2f900456x570S20340598x547S26600585x571S26604596x570S26600608x571
abschlagen,,9811,M577x592S34c00423x482S35000453x482S34500483x482S35c00512x482S34c00541x482S15d39469x563S15d03491x565S15d27527x527S2f900469x587S20e00493x552S26507513x550
