Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15a,168,16.14%,100,15.48%,"Bàn (sid_56), Cần Thơ (sid_148), Nha Trang (sid_156), Quãng Ngãi (sid_154), bay (sid_423), biết (sid_127), bàn (sid_356), bây giờ (sid_92), bản đồ (sid_137), bảo vệ (sid_419), chia sẻ (sid_447), chiều (sid_102), chào (sid_83), chào mọi người (sid_82), chưa (sid_75), chạy (thuyền) (sid_441), cánh đồng (đồng lúa) (sid_191), cất cánh (sid_438), cần (sid_437), ghi nhớ (sid_559), giao (nhiệm vụ) (sid_571), giáo viên (cô , cô giáo, thầy, thầy giáo) (sid_162), giây (sid_89), giới thiệu (tự giới thiệu) (sid_354), giờ (sid_87), giờ đúng (đúng) (sid_90), gần (sid_337), gần (đã chỉnh sửa) (sid_361), hoạ sĩ (đã chỉnh sửa) (sid_362), hôm nay (sid_95), hôm qua (sid_96), họa sĩ (sid_180), in (sid_628), khi (sid_282), khiếm thính (sid_125), không sao (không có chi, không có gì) (sid_111), kiến trúc sư (sid_171), kiến trúc sư (đã chỉnh sửa) (sid_359), kêu (sid_634), kết thúc (hết, cắt) (sid_128), lau bàn (sid_659), may (sid_197), miền bắc (Bắc, bắc, miền Bắc) (sid_133), miền nam (Nam, nam, miền Nam) (sid_136), miền trung (Trung, trung, miền Trung) (sid_134), mập (béo) (sid_250), mẹ (má, mà má) (sid_296), ngân hàng (nhà băng) (sid_189), ngân hàng (đã chỉnh sửa) (nhà băng (đã chỉnh sửa)) (sid_372), ngôn ngữ kí hiệu (thủ ngữ, NNKH) (sid_126), nhà hàng (quán ăn) (sid_186), nhà hàng (đã chỉnh sửa) (quán ăn (đã chỉnh sửa)) (sid_391), nhà hát (sid_190), nhà hát (đã chỉnh sửa) (sid_373), nhà máy (sid_184), nhà máy (đã chỉnh sửa) (sid_371), nổi tiếng (sid_201), nội trợ (sid_172), nội trợ (đã chỉnh sửa) (sid_370), phòng (sid_227), phòng (đã chỉnh sửa) (sid_360), sáng (sid_98), sáng (đã chỉnh sửa) (sid_380), sân khấu (sid_238), thuyền buồm (sid_220), thành phố (sid_140), tháng (sid_243), tháng (số tháng) (sid_338), thích (sid_144), thợ hàn (sid_175), thợ hồ (thợ xây dựng) (sid_177), thợ hồ (đã chỉnh sửa) (thợ xây dựng (đã chỉnh sửa)) (sid_376), thợ may (sid_173), trung tâm (sid_206), trưa (sid_100), trưa (sid_101), trường (trường học) (sid_181), tuần (sid_341), tuần (số tuần) (sid_340), tuần (số tuần) (đã chỉnh sửa) (sid_368), tối (sid_103), tối (đã chỉnh sửa) (sid_381), tốt đẹp (sid_348), từ chối (sid_229), tự giới thiệu (đã chỉnh sửa) (sid_399), xin lỗi (sid_107), xí nghiệp (sid_185), xấu (sid_258), Đồng Tháp (sid_149), đêm (sid_104), đóng sách (sid_532), đăng ký (đăng kí) (sid_491), đại diện (sid_489), đặt cọc (sid_492), đẹp (sid_255), đẻ (sid_503), đồng hồ đeo tay (sid_86), ốm (gầy) (sid_251), ở nhà (sid_350), ở nhà (đã chỉnh sửa) (sid_375)",168,16.14
S100,79,7.59%,58,8.98%,"Buôn Mê Thuột (Buôn Ma Thuột) (sid_155), Thủ Đức (sid_116), Thủ Đức (đã chỉnh sửa) (sid_386), biết (sid_433), bác sĩ (sid_164), bạn (sid_99), bắt (sid_426), chúng nó (sid_316), chết (mất, qua đời) (sid_334), cái nào (sid_264), câm-điếc (sid_124), cậu (sid_330), của (sid_225), giây (sid_89), giờ rưỡi (rưỡi) (sid_91), gặp (sid_110), hài (sid_591), hẹn (sid_112), hồng (sid_213), hứa (sid_622), im (sid_627), khi (sid_282), khát (sid_638), lạc (sid_656), lại (làm lại) (sid_77), ngoại (sid_315), ngày (sid_94), ngày (số ngày) (sid_339), ngày mai (mai) (sid_97), ngày mai (đã chỉnh sửa) (mai (đã chỉnh sửa)) (sid_358), như thế nào (thế nào) (sid_245), năm (số năm) (sid_342), năm (số năm) (đã chỉnh sửa) (sid_398), phút (sid_3), phút (sid_88), sinh nhật (sid_346), số một (sid_42), số một trăm (sid_54), số tự nhiên (số đếm, số) (sid_122), số tự nhiên (đã chỉnh sửa) (số đếm (đã chỉnh sửa)) (sid_387), thăm (sid_335), thăm (đã chỉnh sửa) (sid_384), thương (sid_293), thường xuyên (sid_306), tên (sid_38), tôi (mình) (sid_76), tại sao (vì sao) (sid_281), đen (sid_211), đi (sid_509), đi công tác (sid_512), đi đến (sid_515), đoán (sid_525), đại bàng (sid_218), đậu (chim) (sid_494), đậu (dơi) (sid_495), đặt tên (sid_493), đỏ (sid_212), đối diện (sid_539)",247,23.73
S14c,75,7.2%,61,9.44%,"Mỹ (Hoa Kỳ) (sid_232), Mỹ (đã chỉnh sửa) (Hoa Kỳ (đã chỉnh sửa)) (sid_355), bay (trực thăng) (sid_424), bán (sid_420), báo (sid_422), bông hoa (bông, hoa) (sid_237), bắt (sid_425), con (sid_297), các bạn (sid_319), cáu (sid_278), cảm ơn (cám ơn) (sid_78), của bạn (sid_322), của tôi (sid_321), dư (sid_476), dừng lại (sid_478), ghét (sid_557), gian lận (sid_570), giã (sid_560), gió (sid_584), giúp (sid_585), giải lao (chơi) (sid_130), giải quyết (sid_565), giải thích (sid_566), giảm (sid_567), giảm (sid_568), giật mình (sid_577), gọi (bạn ấy gọi tôi) (sid_589), ham (sid_593), hiền (hiền lành) (sid_253), hãnh diện (sid_594), khao (bao) (sid_637), khen (sid_640), không biết (sid_202), không có (sid_647), không dám (sid_649), kết hôn (cưới) (sid_308), kể ra (sid_326), kể ra (đã chỉnh sửa) (sid_367), lau bàn (sid_659), làm (sid_657), làm (sid_658), mấy (sid_69), nhà hát (sid_190), nhà hát (đã chỉnh sửa) (sid_373), nhà máy (sid_184), nhà máy (đã chỉnh sửa) (sid_371), số năm (sid_46), sống (sid_142), thỉnh thoảng (sid_318), toán (sid_351), tạm biệt (bái bai) (sid_106), áp dụng (sid_401), ép (người) (sid_549), ép (trái cây) (sid_550), ăn cơm (sid_406), ăn nho (sid_408), đi về (sid_519), đánh vần (sid_488), độc lập (sid_226), đừng (sid_546), ẵm (sid_415)",322,30.93
S15d,74,7.11%,55,8.51%,"biếu (sid_434), bán (sid_420), bạn (bạn bè) (sid_285), bắt (sid_426), bắt đầu (sid_431), chuẩn bị (sid_464), cháu (sid_336), chọc ghẹo (giỡn) (sid_461), chồng (sid_292), chồng (đã chỉnh sửa) (sid_365), chứng minh (sid_466), còn (sid_304), còn (đã chỉnh sửa) (sid_396), dễ tính (sid_246), dọn dẹp (sid_473), dừng (sid_477), ghi (sid_558), giải quyết (sid_565), gánh (nghĩa bóng) (sid_554), gạch bỏ (sid_551), gạch dưới (sid_552), gọi (sid_311), hiểu (sid_596), hoà (sid_598), hạ cánh (đáp cánh) (sid_590), hạnh phúc (sid_271), họ hàng (sid_333), học bài (sid_601), khen (sid_640), khinh bỉ (sid_641), khinh bỉ (sid_642), kêu (sid_635), ký tên (kí tên) (sid_654), kết thúc (sid_633), mệt (sid_265), nóng tính (nóng nảy) (sid_276), quan trọng (sid_222), quên (sid_283), thợ mộc (sid_176), trai (nam, con trai) (sid_284), tự hào (sid_267), xấu hổ (sid_272), ăn (sid_235), Đà Nẵng (sid_152), Đà Nẵng (đã chỉnh sửa) (sid_390), đang (sid_482), đuổi (sid_545), đòi (sid_527), đòi hỏi (sid_528), đói (sid_529), đặc biệt (sid_239), đọc (sid_526), đổi (sid_534), động viên (sid_543), đứng (sid_547)",396,38.04
S147,45,4.32%,29,4.49%,"bạn (bạn bè) (sid_285), bố (bà bá, ba, tía) (sid_295), chuẩn bị (sid_464), chạy (thuyền) (sid_441), chạy (xe bốn bánh) (sid_443), chạy (xe hai bánh) (sid_442), chở ba người (sid_460), chở hai người (sid_457), chữ B (sid_6), em (sid_300), gia đình (sid_241), gia đình (đã chỉnh sửa) (sid_393), giấu (sid_578), gõ cửa (sid_586), gõ cửa (sid_587), hạnh phúc (sid_271), họp (sid_228), họp (đã chỉnh sửa) (sid_392), khùng (sid_650), người yêu (bồ) (sid_287), người yêu (bồ) (sid_288), trường (trường học) (sid_181), xanh (xanh da trời) (sid_215), đóng cửa (sid_530), đóng cửa (sid_531), đạo diễn (sid_490), đậu (xe bốn bánh) (sid_497), đậu (xe hai bánh) (sid_496), đề nghị (sid_504)",441,42.36
S1f5,40,3.84%,28,4.33%,"Buôn Mê Thuột (Buôn Ma Thuột) (sid_155), Nha Trang (sid_156), bắt cóc (sid_430), chứng minh (sid_466), cười (sid_470), dụ dỗ (sid_475), giao tiếp (sid_573), giám sát (sid_569), giả bộ (giả vờ) (sid_561), giả bộ (giả vờ) (sid_562), khoe (sid_646), như thế nào (thế nào) (sid_245), sinh viên (sid_163), trung bình (vừa vừa, vừa) (sid_261), trung tâm (sid_206), tốt đẹp (sid_348), ép (người) (sid_549), ăn chay (sid_404), Đà Lạt (sid_151), Đà Lạt (đã chỉnh sửa) (sid_389), Đà Nẵng (sid_152), Đà Nẵng (đã chỉnh sửa) (sid_390), đánh giá (sid_487), đâu (đã chỉnh sửa) (sid_68), đòi (sid_527), đòi hỏi (sid_528), đẹp (sid_254), đối lập (sid_540)",481,46.21
S10e,36,3.46%,31,4.8%,"Vietnam (sid_1), Vietnamese (sid_2), Vinh (sid_161), Vũng Tàu (sid_150), anh văn (tiếng Anh, tiếng anh, Anh văn) (sid_209), chúc (sid_344), chúng nó (2 người) (tụi nó (2 người), bọn nó (2 người)) (sid_320), chúng tôi (2 người) (sid_312), chăm sóc (sid_446), chữ V (sid_7), cấm (sid_224), cấm (sid_436), cắt tóc (sid_196), giám sát (sid_569), hay (sid_343), hy sinh (hi sinh) (sid_624), hư (sid_621), hỏi (sid_120), khó chịu (sid_277), khóc (sid_645), mối quan hệ (sid_310), số hai (sid_43), số hai mươi (sid_52), thợ hớt tóc (thợ cắt tóc) (sid_174), tìm kiếm (kiếm) (sid_653), văn hiến (sid_207), ăn trộm (sid_411), đi về (sid_518), đọc (sid_526), đổi (sid_535), đổi tiền (sid_537)",517,49.66
S16d,34,3.27%,18,2.79%,"Cần Thơ (sid_148), chuẩn bị (sid_464), chúc mừng (cung hỉ) (sid_345), chồng (sid_292), chồng (đã chỉnh sửa) (sid_365), chữ C (sid_8), gia đình (sid_241), gia đình (đã chỉnh sửa) (sid_393), que (thanh) (sid_84), vợ (sid_291), vợ (đã chỉnh sửa) (sid_364), vợ chồng (kết hôn) (sid_289), vợ chồng (đã chỉnh sửa) (kết hôn (đã chỉnh sửa)) (sid_363), đầu bếp (sid_178), đậy (sid_498), đồng hồ đeo tay (sid_86), đổ nước (sid_533), ỉa (sid_626)",551,52.93
S115,29,2.79%,21,3.25%,"Huế (sid_153), Hà Nội (sid_157), Hải Phòng (sid_158), Việt Nam (sid_60), bệnh viện (nhà thương) (sid_182), cao (sid_248), chú (sid_328), chữ U (sid_27), công an (cảnh sát) (sid_179), cấm (sid_224), cấm (sid_436), hoặc (sid_143), hút thuốc (sid_620), nấu ăn (nấu) (sid_198), nấu ăn (đã chỉnh sửa) (sid_374), âm mưu (sid_417), ăn trộm (sid_411), Đồng Nai (sid_146), đi chơi (sid_511), đứng (sid_547), ước (mơ, ước mơ) (sid_200)",580,55.72
S157,27,2.59%,19,2.94%,"bay (trực thăng) (sid_424), bắt chước (sid_429), chở (sid_456), công ty (cơ quan) (sid_183), cúp điện (sid_471), dùng (sid_474), hoà tan (sid_599), hát (ca, ca hát) (sid_199), lập gia đình (sid_309), nhiều (sid_208), trưa (sid_101), xong (sid_74), xong chưa (sid_73), áp dụng (sid_401), đam mê (sid_479), đi du lịch (sid_514), đàn (sid_483), đậy (sid_498), đếm (sid_506)",607,58.31
S1f7,27,2.59%,22,3.41%,"Nghệ An (sid_160), Thủ Đức (sid_116), Thủ Đức (đã chỉnh sửa) (sid_386), ai (đã chỉnh sửa) (sid_67), anh (anh trai) (sid_298), bạn thân (sid_286), bạn thân (đã chỉnh sửa) (sid_395), chồng (sid_292), chồng (đã chỉnh sửa) (sid_365), chữ A (sid_5), cô (sid_327), giải thích (sid_566), hoà tan (sid_599), hơn (sid_262), khao (bao) (sid_637), lịch sự (sid_247), mệt (sid_265), nhất (sid_263), quan trọng (sid_222), thích (sid_144), tự hào (sid_267), đặc biệt (sid_239)",634,60.9
S1ce,27,2.59%,21,3.25%,"Bến Tre (sid_145), Thái Nguyên (sid_159), chọn (sid_462), chợ (sid_187), chủ tịch (sid_233), chữ T (sid_26), gì (sid_65), gì (sid_66), gì (đã chỉnh sửa) (sid_377), hy vọng (hi vọng) (sid_625), hái (sid_592), khâu (sid_639), kiến trúc sư (sid_171), kiến trúc sư (đã chỉnh sửa) (sid_359), kiểm tra (sid_652), siêu thị (sid_188), thường xuyên (sid_306), thủ đô (sid_139), tóc (sid_357), tỉnh (sid_138), vẽ (sid_195)",661,63.5
S150,27,2.59%,21,3.25%,"bắt (động vật) (sid_427), bắt cóc (sid_430), cáu (sid_278), em bé (sid_307), ghen (sid_556), gào (sid_555), gõ cửa (sid_586), gõ cửa (sid_587), hãnh diện (sid_594), hét (sid_595), may mắn (sid_347), nghèo (sid_324), sợ (sid_279), tức giận (sid_275), tức giận (tức) (sid_274), tức giận (đã chỉnh sửa) (sid_379), ăn dưa hấu (sid_407), ăn táo (sid_410), ăn vú sữa (sid_414), ăn ổi (sid_409), đặt cọc (sid_492)",688,66.09
S1f8,25,2.4%,16,2.48%,"cùng (sid_332), cùng (đã chỉnh sửa) (sid_397), cởi quần (sid_469), cởi áo (sid_468), giặt (sid_575), giết (A giết B) (sid_579), giết (bạn ấy giết bạn) (sid_580), giết (bạn ấy giết tôi) (sid_581), giết (tôi giết bạn ấy) (sid_583), giết (tôi giết bạn) (sid_582), họp (sid_609), khoá (sid_644), khám (sid_636), ăn cam (sid_403), ăn vú sữa (sid_414), đặt cọc (sid_492)",713,68.49
