Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S100,95,13.48%,75,15.59%,"1997 (sid_373), ATENDIMENTO (Atendimento, atendimento) (sid_356), ATENDIMENTO (sid_357), BOCA (CAVIDADE BUCAL, Boca, Cavidade bical, boca, cavidade bucal) (sid_494), CINEMA (sid_346), CONHECER (sid_458), Carne (carne) (sid_222), DIA (Dia, dia) (sid_364), ELE (sid_342), ELE (sid_457), Ervilhas (sid_128), Feira (sid_360), Importante 2 (importante 2) (sid_278), LÁBIOS (Lábios, lábios) (sid_495), NARINA (Narina, narina) (sid_492), NOME (sid_352), NOME (sid_444), OUVINTE (sid_447), OUVIR (ouvir) (sid_417), Oeiras (sid_116), Ontem (ontem) (sid_242), PORQUÊ (PORQUE) (sid_471), PROFESSOR (sid_452), Perguntar (perguntar) (sid_230), Porque (porque, Por que, por que) (sid_267), SURDO (sid_455), SURDO (sid_461), SURDO (sid_467), TER (ter, há) (sid_248), TODOS (TODAS) (sid_456), TU (sid_341), algumas (ALGUMAS, Algumas) (sid_389), anda-ca (sid_131), casa de banho (Casa de banho, banheiro) (sid_226), cavalgar (sid_174), chorar (CHORAR) (sid_433), como se chamas em ligua gestual portuguesa (sid_484), conhecer (sid_204), desde (sid_372), diariamente (sid_194), especial (Especial) (sid_272), espetaculo (sid_502), essa-mão-direita (sid_385), esse-mão-esquerda (sid_382), eu (sid_65), exemplo (Exemplo, EXEMPLO) (sid_397), faca (sid_507), falar (FALAR, Falar, dizer, DIZER, Dizer) (sid_390), hoje (Hoje, HOJE) (sid_363), há (existe, tem) (sid_428), importante (sid_193), largo (comprido) (sid_268), londres (sid_170), lutar (sid_17), mentira (sid_172), nome gesto (sid_22), não (sid_418), não-é (sid_426), oque (que, OQUE, QUE) (sid_367), outro (sid_190), ouvinte (sid_207), perceber (sid_209), professor (sid_145), quem (QUEM) (sid_416), referencia (sid_144), sabedoria (sid_61), sala de Jantar (sid_74), solidao (sid_168), surdo (sid_122), surdo (sid_9), surdo (surda) (sid_64), surdo-mundo (SURDO-MUDO) (sid_414), tem-2 (tem-2) (sid_392), tópicos (Itens) (sid_402), É-ISSO (é-isso) (sid_420)",95,13.48
S14c,75,10.64%,48,9.98%,"ADQUIRIR (sid_465), CINEMA (sid_346), GESTUAL (GESTUAR) (sid_463), KETCHUP (sid_347), Mas (MAS, mas) (sid_377), Número (números, numero) (sid_269), Olá (olá , oi) (sid_233), Policia (POLÍCIA, polícia) (sid_440), Social (social) (sid_264), Uau (uau) (sid_256), ambiente (sid_176), arvore (sid_198), cansada (cansado) (sid_6), clara (claro) (sid_95), cor (cores) (sid_96), cor de laranja (sid_93), cores (COR, Cor, Cores, CORES) (sid_439), criar (fundar) (sid_118), escura (escuro) (sid_94), facial-corporal (sid_398), ferias (sid_121), futebol (sid_152), férias (Férias, Ferias, ferias, recesso) (sid_234), garfo (sid_506), geral (nacional, Geral, Nacional, GERAL, NACIONAL) (sid_368), gesto (sid_111), gestual (Gestual, GESTUAL) (sid_370), internet (sid_151), jornal (sid_149), jornalista (sid_188), laranja (sid_103), leite (Leite) (sid_227), monte (sid_411), muito (MUITO, Muito) (sid_376), mãos levantados (sid_483), ola2 (sid_120), olá (ola) (sid_41), olá (sid_362), ou (OU, Ou) (sid_384), palmas (sid_191), passado (muito-tempo-atrás) (sid_422), piano (sid_132), policia (sid_73), reciclagem (sid_160), sujar (sid_81), sujo (sid_184), vocabulário (VOCABULÁRIO, Vocabulário) (sid_407), árvore 2 (arvore 2) (sid_280)",170,24.11
S15a,55,7.8%,38,7.9%,"ALÍVIO (sid_472), Acabar (acabar) (sid_262), Ajudar (ajudar) (sid_263), BI (sid_192), CADERNO (sid_358), CONCENTRADO (sid_359), Desejar (desejar) (sid_277), ESCOLA (sid_354), GAVETA (Gaveta, gaveta) (sid_441), Intérprete (intérprete) (sid_257), Livro (livro) (sid_237), Sopa (sopa) (sid_276), Todos (todos) (sid_260), VERDADE (VERDADEIRO, VERDADEIRA) (sid_473), agora (sid_169), apoio (apoiar) (sid_508), aprovado (atestado, oficializado, APROVADO, ATESTADO, OFICIALIZADO) (sid_374), branco (sid_155), centro (sid_123), cha (sid_159), confirmar (atestar) (sid_425), dormir (sid_157), economia (sid_203), escola (sid_110), exemplo (Exemplo, EXEMPLO) (sid_397), gemeos (sid_205), hospital (sid_141), interprete (sid_28), lei (sid_196), medico (sid_136), meu (MEU, MINHA, minha) (sid_436), natacao (sid_156), prato (sid_249), teatro (sid_113), telemobil (celular) (sid_271), terreo (térreo, Terreo) (sid_275), vocabulario (sid_162), árvore 2 (arvore 2) (sid_280)",225,31.91
S15d,53,7.52%,40,8.32%,"1 (sid_24), 1997 (sid_373), ADORAR (sid_453), AULA (sid_454), BOA TARDE (sid_443), Cabeça (cabeça, CABEÇA) (sid_486), D (d) (sid_26), Despedir (sid_130), ESTUDAR (sid_470), Estudar (estudar) (sid_250), GÉMEOS (sid_442), Ler (ler) (sid_236), SIGNWRITING (ESCRITA DE LÍNGUA GESTUAL, SignWriting, SW) (sid_338), SUPERIOR (sid_448), Triste (triste) (sid_231), aberta (abrir, Abrir) (sid_246), alfabeto D (sid_251), andar-pé (sid_115), atrasar (sid_80), bater (Bater) (sid_247), boa noite (sid_218), boa tarde (sid_14), bom-dia (sid_11), bonito (bonita) (sid_239), borboleta (sid_177), branco (branca) (sid_88), cama (sid_79), crescer (sid_42), dia (sid_13), divisões (sid_69), dormir (sid_70), falta (sid_133), fazer a cama (sid_76), ficar (sid_243), noite (sid_16), preto (preta) (sid_91), quinze (Quinze, QUINZE, 15) (sid_365), roxo (sid_101), surdo-mundo (SURDO-MUDO) (sid_414), tarde (sid_20)",278,39.43
S1f5,34,4.82%,31,6.44%,"Ainda (AINDA, ainda) (sid_379), Azeite (azeite, oléo) (sid_224), B (b, bom, boa, bem) (sid_21), BEM (sid_459), BI (sid_192), BOA TARDE (sid_443), Bem (bem, boa, Boa, Bom , bom) (sid_235), CLÉBER (sid_468), Q (q) (sid_55), Vinho (vinho) (sid_253), agua (sid_146), ainda-não (AINDA-NÃO) (sid_380), alfabeto B (sid_215), alfabeto Q (sid_314), azul (sid_89), boa noite (sid_218), boa tarde (sid_14), bom (boa, bem) (sid_15), bom-dia (sid_11), bonito (bonita) (sid_239), castanho (castanha) (sid_87), centro (sid_123), cinzento (sid_100), cinzento (sid_102), cinzento (sid_97), desporto (sid_148), rosa (sid_92), sistema (Sistema, SISTEMA) (sid_395), verde (sid_86), vermelho (vermelha) (sid_90), vermelho 2 (sid_281)",312,44.26
S185,24,3.4%,16,3.33%,"EDUCAÇÃO (sid_449), PROFESSOR (sid_452), advogado (sid_195), banco (sid_183), comer (sid_137), comer (sid_75), educacao (sid_10), gostar (gosto, gostas) (sid_240), junto (sid_503), medico (sid_136), pato (sid_167), pato (sid_5), professor (sid_145), sala de Jantar (sid_74), sala de estar (sid_1), sofá (sid_78)",336,47.66
S11e,24,3.4%,15,3.12%,"Livre (livre, liberdade) (sid_225), Portugal (sid_12), Portugal (sid_201), Portugal (sid_202), Portugal (sid_283), Portugal (sid_291), Portugal (sid_301), Portugal (sid_482), Portugal (sid_7), aprovado (atestado, oficializado, APROVADO, ATESTADO, OFICIALIZADO) (sid_374), como se chamas em ligua gestual portuguesa (sid_484), nome gesto (sid_22), portugal (PORTUGAL, Portugal) (sid_371), sala de estar (sid_1), sofá (sid_78)",360,51.06
S1dc,22,3.12%,18,3.74%,"CLÉBER (sid_468), L (l) (sid_30), LGP (lgp) (sid_399), LGP (sid_451), Lisboa (sid_241), LÍNGUA (Língua, língua) (sid_369), T (t) (sid_56), TV (sid_197), Verbo (VERBO, Verbo) (sid_406), alfabeto L (sid_309), alfabeto T (sid_317), lei (sid_196), lingua (sid_105), linguagem (LINGUAGEM, Linguagem) (sid_383), linguistica (sid_143), prato (sid_249), suicidir (sid_126), tópicos (Itens) (sid_402)",382,54.18
S1ce,20,2.84%,10,2.08%,"CLONAGEM (CLONAR, CLONE) (sid_345), PREPARAR (sid_355), SEM PENSAR (sid_348), certo (CERTO, Certo) (sid_375), cha (sid_159), conectar (Conectar, CONECTAR) (sid_394), falar (FALAR, opinar, OPINAR) (sid_419), fato (FATO, Fato, correto, CORRETO, Correto) (sid_378), toalha (sid_82), tribunal (sid_125)",402,57.02
S115,19,2.7%,13,2.7%,"CLONAGEM (CLONAR, CLONE) (sid_345), DESCULPA (DESCULPE) (sid_349), Escudo (sid_129), U (u) (sid_53), Universidade (universidade) (sid_112), VERDADE (VERDADEIRO, VERDADEIRA) (sid_473), alfabeto U (sid_318), confirmar (atestar) (sid_425), construir (sid_165), desculpa (sid_328), financas (sid_185), historia (sid_19), hospital (sid_141)",421,59.72
