Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15a,212,14.51%,132,15.7%,"10 (sid_91), Alarm (sid_545), Animal (sid_432), Arrive (arrived) (sid_544), Asda (sid_802), Asda (sid_836), Bedroom (sid_550), Boat (sid_628), Bristol (sid_767), CAP Hu (sid_195), Christmas (sid_654), Clothes (Scooped necked top, Scoop necked  shirt) (sid_464), Clothes (pants, Trousers) (sid_455), Countries (Sweden) (sid_571), Dark (Night, Goes Dark, evening, Darkness) (sid_537), Dining Room (Canteen) (sid_547), Door Ajar (open gate, Door open, gate, open door) (sid_546), Family (baby) (sid_562), Grate cheese (grate food, grater) (sid_479), H (sid_115), Hobbies (Swim) (sid_448), Jesus Bible (sid_557), L (sid_181), Laptop (sid_466), M (sid_16), Manchester (sid_756), May (sid_848), Mother (sid_243), Mother (sid_245), Mum (sid_242), N (sid_149), New (sid_171), Newcastle (sid_757), Night (Dark night) (sid_538), Park car (Park vehicle) (sid_467), Penguin (sid_617), Practice (sid_631), R (sid_135), Sail Boat (Sailing) (sid_452), Saturday (sid_743), Stop (sid_585), Sunday (Theme: days, Theme: sheet Maureen) (sid_292), Sweden (country) (sid_623), T (sid_77), V (sid_22), Well done (Fantastic) (sid_415), Wife (sid_607), Write (write down, writing) (sid_578), Z (sid_59), alarm (alarm clock) (sid_645), angel (sid_98), animal-walking (sid_23), arrive (sid_86), baby (sid_184), back (sid_39), bird-landing (sid_54), birth (sid_11), blue (Theme:COLOURS) (sid_232), blue (sid_637), card reader (sid_470), carry (sid_472), child (sid_4), children (sid_95), clap (sid_358), close the window (sid_501), clothes (shoes, put on shoes) (sid_459), colour Blue (blue) (sid_361), corner (theme: contact symbols) (sid_393), cream (anticeptic, rub) (sid_343), department (sid_83), dog (theme:ANIMAL) (sid_206), door bell (ring the door bell) (sid_495), fish (sid_131), flatfish (sid_63), floor (sid_81), fly-away (sid_152), garage (sid_130), go (sid_10), go (sid_144), go (sid_52), go through the door (sid_496), gone (sid_50), grow up (sid_766), grow-up (sid_167), half-hour-late (sid_24), hamster (theme:ANIMAL) (sid_210), help (sid_258), home (sid_34), hour (sid_30), important (sid_663), late (sid_56), lecture (sid_58), like (sid_174), living room (sid_841), living room (sid_842), million (sid_796), month (sid_846), must (sid_20), nephew (niece) (sid_824), new (sid_33), new york (sid_642), night (sid_610), not-at-all (sid_119), on-paper (sid_166), open the door (sid_494), open the window (sid_500), parents (sid_107), post office (franked, theme: contact symbols) (sid_396), presentation (sid_117), presentation (sid_42), printed-material (sid_67), religion (theme: contact symbols) (sid_395), rights (sid_93), roof (sid_560), sad (sid_752), school (sid_850), servant (sid_475), sew (stitch, sewing, sew by hand, mend) (sid_565), shark (sid_445), start (sid_142), toilet (sid_843), trillion (sid_798), vegetable (vegetarian) (sid_829), wash face (theme: contact symbols) (sid_404), window (open the window) (sid_499), work (sid_188), work (sid_389), work group (sid_416), workshop (Theme: poster) (sid_313), workshop (work group) (sid_417), workshop (work, shop) (sid_603), zoo (sid_844)",212,14.51
S100,206,14.1%,159,18.91%,"1 (Theme: numbers) (sid_282), 1 (one) (sid_669), A (sid_670), A (sid_671), Alarm (sid_545), American  Sign Language (sid_219), Bristol (sid_767), Careers. Occupations (Nurse) (sid_419), Clasifier too (too ,, the same as) (sid_368), Counties (Russia) (sid_251), Cry (weep, Onions) (sid_568), D (sid_179), D (sid_676), D (sid_677), Dad (sid_241), E (sid_678), E (sid_679), England (sid_29), Family (Relative, Aunty) (sid_333), Family ;Daughter (Daughter, theme: cards) (sid_337), Family: Uncle (Relative) (sid_334), God (sid_240), Goldilocks (sid_5), Here (sid_527), I (sid_687), I (sid_688), J (sid_102), J (sid_689), J (sid_690), K (sid_172), K (sid_691), K (sid_692), L (sid_181), L (sid_693), L (sid_694), Lightening (Electricity) (sid_536), Lightening (sid_533), London (sid_122), May (sid_848), O (sid_699), O (sid_700), O (sid_725), Occupation. Career. (Nurse) (sid_421), P (sid_314), P (sid_701), P (sid_702), P (sid_724), P (sid_830), P (sid_94), Pets (Animals, Mouse) (sid_329), Q (sid_703), Q (sid_704), S (sid_723), Saturday (sid_743), T (sid_709), T (sid_710), T (sid_77), Teacher (Theme: poster) (sid_317), Thursday (Theme: days, Theme: sheet Maureen) (sid_301), Tuesday (Theme: days, Theme: sheet Maureen) (sid_299), U (sid_711), U (sid_712), X (sid_156), X (sid_717), X (sid_718), Y (sid_141), Y (sid_719), Y (sid_720), alarm (alarm clock) (sid_645), alone (sid_17), attack (sid_38), blue (Theme:COLOURS) (sid_232), blue (sid_637), boy (Theme: family details, son, theme: cards) (sid_274), can-'t (sid_128), cannot (can't) (sid_852), career (job, plumber) (sid_553), colour Blue (blue) (sid_361), colour red (red) (sid_351), colour. yellow (yellow) (sid_353), cry (tears, weep, theme: contact symbols) (sid_401), daughter (sid_742), department (sid_83), ears (sid_514), electricity (sid_150), eye (theme: contact symbols) (sid_394), eyes (sid_510), fruit (banana) (sid_551), girl (Theme: family details) (sid_275), go through the door (sid_496), going-for (sid_157), gold (Theme:COLOURS) (sid_236), half-hour-late (sid_24), hearing (person) (sid_99), hearing (sid_745), hour (sid_30), important (sid_663), it (sid_84), kitchen (sid_839), knitting (sid_643), last week (Theme: days, Theme: sheet Maureen) (sid_304), leg (sid_82), lightning (sid_159), living room (sid_841), living room (sid_842), me - God (sid_584), meet (Theme: greetings and introductions) (sid_263), mouse (sid_214), mouse (sid_619), mouse (theme:ANIMAL) (sid_223), mouth (sid_513), near (sid_158), next week (Theme: days, Theme: sheet Maureen) (sid_305), nose (mouse) (sid_511), number (one) (sid_325), number (seven) (sid_321), number (seven) (sid_322), nurse (Theme: practice makes perfect DVD) (sid_284), nurse (sid_614), one pound (£ 1.00) (sid_807), onion (sid_28), penny (pence) (sid_806), purple (sid_845), queen (sid_356), railway crossing (level crossing, railway barriers) (sid_582), reason (sid_78), red (sid_634), same (sid_754), same (the same as, identical) (sid_367), same (too) (sid_641), see (sid_121), shape of bicycle seat (sid_487), smash-down (sid_90), tell-off (sid_137), they (sid_185), think (consider, theme: contact symbols) (sid_405), thousand (1000) (sid_794), toilet (sid_843), tomorrow (Theme: days, Theme: sheet Maureen) (sid_295), tomorrow (Theme: days, Theme: sheet Maureen) (sid_296), tram (sid_139), tree (sid_146), trillion (sid_798), we-exclusive (sid_108), we-inclusive (sid_103), what (sid_89), what? (Theme: greetings and introductions) (sid_269), wheelchair (wheels go round) (sid_493), who (sid_13), why (sid_111), window (shape of the window) (sid_502), year (sid_828), year (theme: cards) (sid_427), yellow (sid_635), yellow (sid_827), yesterday (Theme: days, Theme: sheet Maureen) (sid_293), you (Theme: greetings and introductions) (sid_268), you (sid_40), you-children (sid_183)",418,28.61
S14c,180,12.32%,103,12.25%,"10 (sid_379), 5 (sid_377), A (sid_177), Ablaze (on fire) (sid_543), Accept (sid_540), American  Sign Language (sid_219), August (sid_849), Brighton (sid_840), British (sid_12), Clothes (Skirt) (sid_457), Clothes (gloves, put on gloves) (sid_460), Cost (Price, Theme: poster) (sid_318), Currency (Money) (sid_516), E (sid_133), Flowers growing (bushes) (sid_552), Glasgow (sid_758), I (sid_186), I (sid_738), J (sid_102), J (sid_689), J (sid_690), Jesus (Jesus Christ) (sid_656), Lamp (sid_531), Light (sid_532), Lights shining down (shower) (sid_534), Magic (sid_570), May (sid_848), Number Five (Five) (sid_341), O (sid_725), O (sid_97), Rainbow (overhead, over the head) (sid_364), Reindeer (Animal) (sid_369), Saturday (sid_743), SignWriting (Theme: poster) (sid_312), Swim (Crawl stroke) (sid_447), U (sid_25), W (sid_62), W (sid_715), W (sid_716), Wednesday (Theme: days, Theme: sheet Maureen) (sid_300), Where (Theme: poster) (sid_315), Wife (sid_607), adhesive (paste, glue) (sid_541), aunt (sid_822), autumn (sid_154), blue (sid_160), branch (sid_76), bronze (Theme:COLOURS) (sid_233), brown (Theme:COLOURS) (sid_234), bye (Theme: greetings and introductions) (sid_271), clothes (theme: contact symbols) (sid_402), colour (Theme:COLOURS) (sid_235), colour. yellow (yellow) (sid_353), crucify (sid_580), dawn (sid_189), deer (sid_387), deer (theme:ANIMAL) (sid_205), dress (sid_650), family (Theme: family details) (sid_276), fifteen (15) (sid_786), fifty (50) (sid_772), fire (sid_484), fireworks (sid_483), fish (sid_3), five pounds (£ 5.00) (sid_811), gold (Theme:COLOURS) (sid_236), gold (Theme:COLOURS) (sid_237), goldfish (theme:ANIMAL) (sid_209), had (sid_630), have (got, Theme: family details) (sid_250), hello (sid_414), hello (sid_659), hen (sid_211), hen (theme:ANIMAL) (sid_220), how (sid_751), how many? (Theme: family details) (sid_277), how old? (Theme: family details) (sid_278), if_it_rains (sid_163), last week (Theme: days, Theme: sheet Maureen) (sid_304), lion (theme:ANIMAL) (sid_222), marriage (marry, wed) (sid_644), match for fire (strike a match) (sid_485), next week (Theme: days, Theme: sheet Maureen) (sid_305), number ten 10 (ten) (sid_349), numbers question (How many?) (sid_332), plant (theme: contact symbols) (sid_398), rain (sid_138), sea (sid_657), sign (Theme: In Signing class) (sid_288), sign (sid_66), sign (sid_746), sign (signing) (sid_640), single (sid_192), ten (sid_46), tree (sid_146), uncle (sid_823), weather (wind , storm) (sid_559), when (Theme: poster) (sid_316), where (sid_1), where (sid_182), where (sid_31), yellow (sid_635), zoo (sid_844)",598,40.93
S15d,97,6.64%,67,7.97%,"Baby (Child) (sid_615), Butterfly (Butterfly landing) (sid_437), Butterfly (sid_436), Cost (Price, Theme: poster) (sid_318), Dance (sid_567), H (sid_685), H (sid_686), Hobbies (Breast stroke, swimming, Swim) (sid_449), Horse (Riding a horse., Bareback riding) (sid_443), I'm fine (well, Theme: greetings and introductions, theme: contact symbols) (sid_266), It doesn't matter (no matter.) (sid_730), L (sid_693), L (sid_694), M (sid_695), M (sid_696), May (sid_848), Monday (Theme: days, Theme: sheet Maureen) (sid_298), N (sid_697), N (sid_698), R (sid_705), R (sid_706), Saturday (Theme: days, Theme: sheet Maureen) (sid_303), SignWriting (Theme: poster) (sid_312), South Africa (sid_48), T (sid_709), T (sid_710), T (sid_726), Thursday (Theme: days, Theme: sheet Maureen) (sid_301), Tuesday (Theme: days, Theme: sheet Maureen) (sid_299), V (sid_713), V (sid_714), Y (sid_141), Y (sid_719), Y (sid_720), Z (sid_721), Z (sid_722), bed (sid_563), birthday (theme: cards) (sid_428), born (theme: cards) (sid_430), bread (slice, theme: contact symbols) (sid_397), butterfly (theme:ANIMAL) (sid_201), children (Theme: family details) (sid_273), crash (bump into, hit) (sid_354), cream (anticeptic, rub) (sid_343), crucify (sid_580), friend (sid_604), goldfish (theme:ANIMAL) (sid_209), half (sid_15), happy (sid_61), happy (sid_749), happy (theme: cards) (sid_424), how are you? (Theme: greetings and introductions) (sid_264), like (sid_143), new (theme: cards) (sid_425), not happy (sid_750), please (thanks, Theme: greetings and introductions) (sid_267), pleased (Theme: greetings and introductions) (sid_262), recently (Theme: sheet Maureen) (sid_297), sheets (sid_390), slow (slowly, ages, long time, theme: contact symbols) (sid_406), start (sid_352), today (Theme: sheet Maureen) (sid_291), welcome (sid_413), where? (Theme: family details) (sid_280), year (sid_828), year (theme: cards) (sid_427), yellow (sid_827)",695,47.57
S115,68,4.65%,38,4.52%,"Cardiff (sid_804), Clothes (belt, fasten belt) (sid_561), F (sid_169), F (sid_375), F (sid_680), F (sid_681), Family : Nephew (Nephew) (sid_335), Friday (Theme: days, Theme: sheet Maureen) (sid_302), Hospital (Nurse) (sid_528), N (sid_149), N (sid_697), N (sid_698), Newcastle (sid_757), adhesive (paste, glue) (sid_541), bend-in-road (sid_69), big-house (sid_136), birthday (sid_764), chair (sid_490), deaf (sid_96), donkey (theme:ANIMAL) (sid_207), family (Theme: family details) (sid_272), father (sid_168), house (sid_112), house (sid_134), name (called, Theme: greetings and introductions) (sid_265), name (sid_125), name (sid_602), nephew (niece) (sid_824), numbertwo (sid_326), parents (sid_107), postage (stamp) (sid_480), rabbit (sid_216), rabbit (theme:ANIMAL) (sid_225), road (sid_105), school (sid_753), sit on a chair (sid_491), snake (theme:ANIMAL) (sid_227), with (together, theme: contact symbols) (sid_409)",763,52.22
S150,52,3.56%,25,2.97%,"Animal (Lion) (sid_435), Animals (Bear) (sid_385), Breathing mask (Oxygen) (sid_190), Clothes (patterned shirt) (sid_463), Colour (sid_286), Emotions (Confused) (sid_287), Grey (sid_611), Hug (Bear) (sid_515), Lion (sid_621), Netball (Basket ball) (sid_624), Sport (basket ball, netball) (sid_555), Turn doorknob (sid_497), Weather (winter) (sid_324), Worried (sid_605), clown (tomatoe, red nose) (sid_583), cold (sid_651), colour orange (orange, fruit orange) (sid_357), colours  Grey (colour, grey) (sid_350), jealous (jealousy, envy, theme: contact symbols) (sid_399), juggle (sid_579), monster (sid_32), nest (sid_178), turn on the tap (tap) (sid_652), wash hair (shampoo hair) (sid_526), wash hair (shampoo, theme: contact symbols) (sid_403)",815,55.78
S185,42,2.87%,28,3.33%,"Accept (sid_540), Cost (Price, Theme: poster) (sid_318), Countries (Holland) (sid_217), Countries (Sweden) (sid_571), Dining Room (Canteen) (sid_547), Eat (sid_626), Flash the lights (sid_535), Flowers growing (bushes) (sid_552), Food (sid_627), Generations (Family background, History) (sid_530), Lamp (sid_531), Light (sid_532), Lights shining down (shower) (sid_534), Magic (sid_570), South Africa (sid_48), Sweden (country) (sid_623), birds-being-fed (sid_37), breakfast (eat, food) (sid_554), christmas (father Christmas) (sid_653), christmas (father christmas, theme: cards) (sid_426), food (eat) (sid_477), food (sid_118), food shopping (sid_478), fruit (banana) (sid_551), input (insert, put in, invest, file, theme: contact symbols) (sid_408), sheep (theme:ANIMAL) (sid_226), soon (sid_64), wish (desire, theme: contact symbols) (sid_407)",857,58.66
S10e,35,2.4%,29,3.45%,"2 (sid_155), 2 days ago (Theme: days, Theme: sheet Maureen) (sid_294), Dance (sid_567), Groups: we (we) (sid_365), Haircut (hair stylist, cut hair, hairdresser) (sid_521), Horse (Riding a horse., Bareback riding) (sid_443), Money (two pounds, £2) (sid_517), Money (two pounds, £2) (sid_518), Sing a rainbow (sing, singing) (sid_362), Theme:Numbers (two) (sid_249), V (sid_22), V (sid_713), V (sid_714), again (repeat) (sid_747), bird-landing (sid_54), career (job, plumber) (sid_553), come-back (sid_80), going-for (sid_157), leg (sid_82), second (sid_386), see (watch) (sid_755), sing (sid_629), stare (sid_92), twenty (20) (sid_781), twenty (sid_116), two (sid_180), two pounds (£ 2.00) (sid_808), vegetable (vegetarian) (sid_829), we (sid_638)",892,61.05
S176,34,2.33%,26,3.09%,"B (sid_374), B (sid_672), B (sid_673), B (sid_831), Bristol (sid_767), Europe (sid_837), Europe (sid_838), OK (sid_835), P (sid_724), Q (sid_703), Q (sid_704), Theme: numbers (sid_283), billiards (snooker) (sid_574), billion (sid_797), bronze (Theme:COLOURS) (sid_233), eighty (80) (sid_775), fifty (50) (sid_772), forty (40) (sid_771), ninety (90) (sid_776), plant (theme: contact symbols) (sid_398), seventy (70) (sid_774), sixty (60) (sid_773), thirty (30) (sid_770), twenty (20) (sid_781), twenty (sid_116), zero (sid_737)",926,63.38
S16d,34,2.33%,21,2.5%,"Animal (Giraffe) (sid_434), C (sid_674), C (sid_675), Classifier Can (can) (sid_366), Easter (sid_43), Family (Relations, Cousin) (sid_529), Hat (take off hat, Clothes, Tall hat.) (sid_453), Mexico (sid_646), Switzerland (sid_576), abduct (sid_542), branch (sid_76), can (sid_639), communication (communicate, conversation) (sid_729), elephant (theme:ANIMAL) (sid_208), input (insert, put in, invest, file, theme: contact symbols) (sid_408), plant (theme: contact symbols) (sid_398), rainbow (sid_660), work group (sid_416), workshop (Theme: poster) (sid_313), workshop (work group) (sid_417), workshop (work, shop) (sid_603)",960,65.71
