Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S115,3,12.5%,3,12.5%,"chi (sid_9), nu (sid_14), theta (sid_16)",3,12.5
S1a0,2,8.33%,2,8.33%,"eta (sid_4), pi (sid_12)",5,20.83
S100,2,8.33%,2,8.33%,"sigma (sid_20), tau (sid_17)",7,29.17
S147,2,8.33%,2,8.33%,"beta (sid_8), mu (sid_10)",9,37.5
S177,2,8.33%,2,8.33%,"omega (sid_5), omicron (sid_18)",11,45.83
S1f7,1,4.17%,1,4.17%,alpha (sid_6),12,50.0
S1d8,1,4.17%,1,4.17%,phi (sid_3),13,54.17
S18c,1,4.17%,1,4.17%,xi (sid_1),14,58.33
S19a,1,4.17%,1,4.17%,upsilon (sid_22),15,62.5
S11d,1,4.17%,1,4.17%,rho (sid_2),16,66.67
S1e5,1,4.17%,1,4.17%,psi (sid_15),17,70.83
S10e,1,4.17%,1,4.17%,lambda (sid_21),18,75.0
S11e,1,4.17%,1,4.17%,kappa (sid_19),19,79.17
S192,1,4.17%,1,4.17%,iota (sid_13),20,83.33
S1dc,1,4.17%,1,4.17%,gamma (sid_7),21,87.5
S14a,1,4.17%,1,4.17%,epsilon (sid_23),22,91.67
S105,1,4.17%,1,4.17%,delta (sid_24),23,95.83
S101,1,4.17%,1,4.17%,zeta (sid_11),24,100.0
