Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S100,26,9.92%,20,12.99%,"Careless (sid_24), Happen (sid_3), One (sid_18), Plus (sid_19), Proof (sid_21), Test (sid_22), Train (sid_34), Understand (sid_12), Vocabulary (sid_8), Xhosa (xhosa) (sid_151), ask (I ask you) (sid_136), ask (you ask me) (sid_137), bored (sid_64), eleven (11) (sid_76), every (sid_128), from (sid_158), how long (sid_110), one (1) (sid_75), thousand (sid_95), why (sid_109)",26,9.92
S15a,23,8.78%,18,11.69%,"Hello (sid_25), cook (pap) (sid_101), cook (sid_102), country (sid_130), enough (sid_143), fifteen (15) (sid_84), how often (sid_113), know (sid_103), lockdown (sid_67), man (father) (sid_118), million (sid_96), motivation (sid_70), new (sid_99), problem (sid_138), speaker (lecturer, preacher) (sid_147), tree (sid_148), woman (mother) (sid_117), woman (sid_116)",49,18.7
S14c,22,8.4%,16,10.39%,"-south-africa (sid_36), America (sid_20), Careless (sid_24), Happy-2 (sid_16), Phumie (sid_53), any (sid_129), cheese (sid_155), colours (colors) (sid_104), example (sid_122), expensive (sid_146), fifteen (15) (sid_84), five (5) (sid_83), important (sid_56), speaker (lecturer, preacher) (sid_147), ten (10) (sid_90), tree (sid_148)",71,27.1
S15d,22,8.4%,15,9.74%,"All (sid_6), Arrive (sid_4), Clean (sid_17), Clean (sid_26), French (sid_2), Happen (sid_3), Happy- (sid_38), Hungry (sid_15), Proof (sid_21), Sweep (sid_39), Uganda (uganda) (sid_159), engaged (sid_121), meat (sid_132), meat (sid_133), month (sid_105)",93,35.5
S115,11,4.2%,7,4.55%,"Deafsa (sid_50), Friday (sid_72), depends (sid_124), toilet (sid_123), tool (tools) (sid_135), train (sid_100), video (sid_69)",104,39.69
S10e,8,3.05%,7,4.55%,"Pairs (sid_14), Vocabulary (sid_8), disappoint (disappointment, disappointed, disappointing) (sid_144), tool (tools) (sid_135), twelve (12) (sid_77), two (2) (sid_78), video (sid_69)",112,42.75
S11a,7,2.67%,3,1.95%,"Remember (sid_7), ready (sid_126), room (sid_142)",119,45.42
S1f5,7,2.67%,5,3.25%,"Science (sid_45), important (sid_56), month (sid_105), six (6) (sid_86), sixteen (16) (sid_91)",126,48.09
S1ea,7,2.67%,3,1.95%,"Kaapstad (sid_46), become (sid_152), expensive (sid_146)",133,50.76
S147,6,2.29%,5,3.25%,"Belgium (sid_40), Brazil (sid_43), Brazil-2 (sid_13), Bruno (sid_47), Wilma (sid_48)",139,53.05
