Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S14c,58,27.23%,35,26.92%,"Amerika (america) (sid_113), Carlotta (Carlotta_Fabian) (sid_141), Fruta (Fruit) (sid_76), Herr_Wöhrmann (sid_41), Kompjuter (computer) (sid_61), Kompjuter (sid_143), Ku (Where) (sid_74), Ku (Where) (sid_75), Mirupafshim (bye) (sid_72), Përshëndetje (Hello) (sid_35), Stefan (sid_88), Toka (Earth) (sid_131), dhjëtë (10, ten) (sid_24), dymbëdhjetë (sid_80), gjashtëdhjetë (60, sixty) (sid_102), gjashtëmbëdhjetë (16, sixteen) (sid_84), gjastë (six, 6) (sid_25), hello (Hello, përshëndetje) (sid_89), hm (sid_40), katërmbëdhjetë (14, fourteen) (sid_82), njëmbëdhjetë (11, eleven) (sid_79), nëntë (nine, 9) (sid_28), nëntëdhjetë (90, ninety) (sid_105), nëntëmbëdhjetë (19, nineteen) (sid_86), pesëdhjetë (50, fifty) (sid_101), pesëmbëdhjetë (15, fiften) (sid_83), pësë (five, 5) (sid_29), shijshëm (delicious) (sid_77), shtatë (seven, 7) (sid_26), shtatëdhjetë (70, seventy) (sid_103), shtatëmbëdhjetë (17, seventeen) (sid_85), tetëdhjetë (80, eighty) (sid_104), trembëdhjetë (13, thirteen) (sid_81), tëtë (eight, 8) (sid_27), vajtoj (sad) (sid_53)",58,27.23
S100,31,14.55%,24,18.46%,"Detyruar_shume (much_obliged, thank_you) (sid_70), Gjermani (germany) (sid_114), Një (1, one) (sid_23), Shenja FLORJAN (sid_1), SignPuddle (sid_67), Syt (eye, Syti, eyes) (sid_60), indeks (sid_49), jo (no) (sid_52), ju (you) (sid_50), ju (you) (sid_51), kuqe (red) (sid_94), mal (x, times) (sid_92), minus (-) (sid_91), njëmbëdhjetë (11, eleven) (sid_79), njëqind (100, hundred) (sid_106), njëzet e një (21,  twenty-one) (sid_98), plus (+) (sid_90), qaj (cry) (sid_107), qaj (cry) (sid_132), shumohen (x, multiply) (sid_97), shurdhër (deaf) (sid_62), sot (heute, today) (sid_65), ti (you) (sid_123), zemra (heart) (sid_69)",89,41.78
S15d,14,6.57%,12,9.23%,"Detyruar_shume (much_obliged, thank_you) (sid_70), Unë (unë, me, I, im, my) (sid_38), e ndare (:) (sid_93), emër (name) (sid_39), i lumtur (happy) (sid_63), juaj (your) (sid_32), mal (x, times) (sid_92), ndihmë (help) (sid_133), për_mua (for_me) (sid_68), shumohen (x, multiply) (sid_97), une (i) (sid_122), vajtoj (sad) (sid_53)",103,48.36
S176,10,4.69%,9,6.92%,"dyzetë (40, forty) (sid_100), gjashtëdhjetë (60, sixty) (sid_102), njëqind (100, hundred) (sid_106), njëzet (20, twenty) (sid_87), nëntëdhjetë (90, ninety) (sid_105), pesëdhjetë (50, fifty) (sid_101), shtatëdhjetë (70, seventy) (sid_103), tetëdhjetë (80, eighty) (sid_104), tridhjetë (30, thirty) (sid_99)",113,53.05
S185,10,4.69%,4,3.08%,"Fruta (Fruit) (sid_76), bëj (make) (sid_66), i ngjyre (colour) (sid_95), pse (reason, why) (sid_64)",123,57.75
S11e,9,4.23%,9,6.92%,"Danimarkë (Denmark) (sid_140), Herr_Pieper (sid_43), Herr_Wöhrmann (sid_41), dre (3, three) (sid_21), nëntëmbëdhjetë (19, nineteen) (sid_86), tetëdhjetë (80, eighty) (sid_104), trembëdhjetë (13, thirteen) (sid_81), tridhjetë (30, thirty) (sid_99), tëtë (eight, 8) (sid_27)",132,61.97
S15a,9,4.23%,6,4.62%,"Albania (Shqiperia) (sid_19), Albania (sid_3), Ndihmë (help) (sid_127), Valerie (sid_36), i vdekur (dead) (sid_142), lexoj (read) (sid_128)",141,66.2
S1f7,9,4.23%,8,6.15%,"A (sid_54), Boby (sid_47), Më vjen keq (sorry) (sid_110), Më vjen keq (sorry) (sid_111), Ndihmë (help) (sid_127), ndihmë (help) (sid_133), sa (=, equals) (sid_78), xhaketë (jacket) (sid_124)",150,70.42
S10e,9,4.23%,9,6.92%,"Meksikë (Mexico) (sid_136), Valerie (sid_36), dy (2) (sid_17), dy (2, two) (sid_20), dymbëdhjetë (sid_80), e ndare (:) (sid_93), lexoj (read) (sid_128), njëzet (20, twenty) (sid_87), njëzet e një (21,  twenty-one) (sid_98)",159,74.65
S1f5,6,2.82%,6,4.62%,"Armeni (Armenia) (sid_139), gjashtëdhjetë (60, sixty) (sid_102), gjashtëmbëdhjetë (16, sixteen) (sid_84), gjastë (six, 6) (sid_25), sa (=, equals) (sid_78), super (super) (sid_71)",165,77.46
