Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S14c,43,20.09%,30,22.73%,"5 (sid_18), A (sid_145), Afternoon (Good Afternoon) (sid_54), Anything (sid_96), Auslan (sid_1), Australia (sid_15), Australia (sid_2), Australia (sid_20), Australia (sid_9), Doctor (sid_108), Fine (sid_72), Give (sid_74), Have (sid_89), Hello (sid_88), Help (sid_75), Hi--Hallo (sid_13), How (sid_63), Please (sid_84), Primary (sid_114), Problem (sid_83), Schedule (sid_116), Seafood (fish) (sid_60), Sure (sid_118), Take (sid_69), Thanks (sid_61), Today (sid_67), V (sid_127), With (sid_80), Yes (sid_55), work (sid_130)",43,20.09
S100,35,16.36%,28,21.21%,"1 (sid_136), 1 (sid_5), A (sid_145), And (sid_79), Can (sid_94), D (sid_148), Day (sid_107), Did (sid_92), Else (sid_78), Follow (sid_91), Go (sid_65), I (sid_70), It (sid_77), J (sid_99), K (sid_100), L (sid_103), Long (sid_86), One (sid_98), Q (sid_120), Tomorrow (sid_119), Tomorrow (sid_97), Unbelievable--huh--wow- (sid_3), Yes (sid_55), Yesterday (Last) (sid_53), You (sid_64), Z (sid_104), about (sid_39), who (sid_129)",78,36.45
S1bb,12,5.61%,6,4.55%,"Australia (sid_15), Australia (sid_2), Australia (sid_20), Australia (sid_25), Australia (sid_26), Australia (sid_9)",90,42.06
S10e,9,4.21%,7,5.3%,"2 (sid_137), 2 (sid_17), Adelaide (sid_45), Can (sid_94), F (sid_150), ant (sid_4), die (sid_24)",99,46.26
S115,7,3.27%,5,3.79%,"Friday (sid_90), H (sid_111), H (sid_152), Name (sid_153), U (sid_125)",106,49.53
S15a,6,2.8%,4,3.03%,"H (sid_154), a lot of (lots) (sid_38), add (sid_43), address (sid_44)",112,52.34
S1f5,6,2.8%,5,3.79%,"6 (sid_14), Better (sid_95), Please (sid_84), Some (sid_82), know (sid_7)",118,55.14
S176,5,2.34%,4,3.03%,"Auslan (sid_1), Have (sid_89), O (sid_115), Q (sid_120)",123,57.48
S106,4,1.87%,4,3.03%,"Eat (dinner, meal, dine) (sid_58), K (sid_100), Will (shall, would) (sid_59), X (sid_101)",127,59.35
S1f8,4,1.87%,2,1.52%,"Fine (sid_72), brother (sid_23)",131,61.21
S153,4,1.87%,2,1.52%,"Hospital (sid_71), afraid (sid_46)",135,63.08
S185,4,1.87%,3,2.27%,"Some (sid_82), Soon (sid_81), accept (sid_40)",139,64.95
