Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S100,14,14.14%,13,13.54%,"1 (一) (sid_91), 10 (十) (sid_103), g (sid_32), i (sid_34), in (sid_82), ing (sid_86), you (sid_20), you (sid_21), 一 (壹, 1) (sid_3), 上声 (tone2) (sid_60), 入声 (tone4) (sid_62), 去声 (tone3) (sid_61), 平声 (tone1) (sid_59)",14,14.14
S15d,11,11.11%,9,9.38%,"I (sid_18), I (sid_22), iong (sid_88), love (sid_19), love (sid_23), ong (sid_87), u (sid_46), un (sid_81), ü (sid_57)",25,25.25
S19a,6,6.06%,6,6.25%,"6 (六) (sid_97), ia (sid_63), ian (sid_78), iang (sid_84), y (sid_50), 六 (陆, 6) (sid_8)",31,31.31
S1ce,5,5.05%,5,5.21%,"3 (三) (sid_94), e (sid_30), ie (sid_74), ê (sid_58), üe (sid_75)",36,36.36
S1dc,5,5.05%,5,5.21%,"7 (七) (sid_99), er (sid_76), l (sid_37), r (sid_43), 八 (捌, 8) (sid_10)",41,41.41
S186,5,5.05%,5,5.21%,"3 (三) (sid_93), ua (sid_90), uan (sid_79), uang (sid_85), w (sid_48)",46,46.46
S13f,3,3.03%,3,3.12%,"7 (sid_25), 7 (七) (sid_98), 七 (柒, 7) (sid_9)",49,49.49
S14c,3,3.03%,3,3.12%,"五 (伍, 5) (sid_7), 五十 (50) (sid_16), 您好 (hello) (sid_24)",52,52.53
S1f7,3,3.03%,3,3.12%,"a (sid_26), an (sid_77), ang (sid_83)",55,55.56
S10e,3,3.03%,3,3.12%,"v (sid_47), 二 (贰, 2) (sid_4), 二十 (20) (sid_13)",58,58.59
S176,3,3.03%,3,3.12%,"o (sid_40), uo (sid_65), 零 (sid_2)",61,61.62
S115,2,2.02%,2,2.08%,"f (sid_31), h (sid_33)",63,63.64
S1cd,2,2.02%,2,2.08%,"三 (叁, 3) (sid_5), 三十 (30) (sid_14)",65,65.66
S11a,2,2.02%,2,2.08%,"x (sid_49), 十 (拾, 10) (sid_12)",67,67.68
S1f5,2,2.02%,2,2.08%,"love (sid_19), love (sid_23)",69,69.7
S1b1,2,2.02%,2,2.08%,"iu (sid_73), ou (sid_72)",71,71.72
S192,2,2.02%,2,2.08%,"eng (sid_89), ng (sid_55)",73,73.74
S1fc,2,2.02%,2,2.08%,"en (sid_80), n (sid_39)",75,75.76
S106,2,2.02%,2,2.08%,"9 (九) (sid_101), j (sid_35)",77,77.78
S12d,2,2.02%,2,2.08%,"ai (sid_66), uai (sid_67)",79,79.8
S1d7,2,2.02%,2,2.08%,"ao (sid_70), iao (sid_71)",81,81.82
S144,2,2.02%,2,2.08%,"四 (肆, 4) (sid_6), 四十 (40) (sid_15)",83,83.84
S19c,2,2.02%,2,2.08%,"ei (sid_68), ui (sid_69)",85,85.86
S16d,1,1.01%,1,1.04%,c (sid_28),86,86.87
S1da,1,1.01%,1,1.04%,p (sid_41),87,87.88
S1f4,1,1.01%,1,1.04%,q (sid_42),88,88.89
S182,1,1.01%,1,1.04%,s (sid_44),89,89.9
S1fd,1,1.01%,1,1.04%,m (sid_38),90,90.91
S1a1,1,1.01%,1,1.04%,t (sid_45),91,91.92
S147,1,1.01%,1,1.04%,b (sid_27),92,92.93
S10f,1,1.01%,1,1.04%,voir (sid_17),93,93.94
S17e,1,1.01%,1,1.04%,ch (sid_53),94,94.95
S1a0,1,1.01%,1,1.04%,z (sid_51),95,95.96
S1a4,1,1.01%,1,1.04%,zh (sid_52),96,96.97
S140,1,1.01%,1,1.04%,k (sid_36),97,97.98
S10a,1,1.01%,1,1.04%,"九 (玖, 9) (sid_11)",98,98.99
S132,1,1.01%,1,1.04%,sh (sid_54),99,100.0
