Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S100,10,17.86%,5,9.43%,"Det er far. (sid_22), Z (sid_38), koeninga (queen) (sid_1), meget-pinligt (sid_4), tale om (sid_2)",10,17.86
S1ed,3,5.36%,2,3.77%,"person (sid_3), person-til-hojre (sid_7)",13,23.21
S1f5,2,3.57%,2,3.77%,"1 (sid_44), han, hun (sid_5)",15,26.79
S101,2,3.57%,2,3.77%,"D (sid_14), P (sid_28)",17,30.36
S115,2,3.57%,2,3.77%,"H (sid_18), U (sid_33)",19,33.93
S1f0,2,3.57%,2,3.77%,"G (sid_17), Q (sid_29)",21,37.5
S1eb,2,3.57%,1,1.89%,for-nylig (sid_8),23,41.07
S1dc,2,3.57%,2,3.77%,"2 (sid_45), L (sid_24)",25,44.64
S153,2,3.57%,2,3.77%,"København (Copenhagn) (sid_54), koeninga (queen) (sid_1)",27,48.21
S176,2,3.57%,2,3.77%,"O (sid_27), Ø (sid_40)",29,51.79
S1f7,2,3.57%,2,3.77%,"A (sid_11), Å (sid_41)",31,55.36
S1ce,2,3.57%,2,3.77%,"0 (number) (sid_53), 9 (sid_51)",33,58.93
S187,2,3.57%,2,3.77%,"6 (sid_49), W (sid_35)",35,62.5
S192,2,3.57%,2,3.77%,"I (sid_19), J (sid_21)",37,66.07
S112,1,1.79%,1,1.89%,kigge på mig (sid_6),38,67.86
S119,1,1.79%,1,1.89%,N (sid_26),39,69.64
S18d,1,1.79%,1,1.89%,M (sid_25),40,71.43
S11a,1,1.79%,1,1.89%,R (sid_30),41,73.21
S1f2,1,1.79%,1,1.89%,T (sid_32),42,75.0
S10e,1,1.79%,1,1.89%,V (sid_34),43,76.79
S106,1,1.79%,1,1.89%,X (sid_36),44,78.57
S1d8,1,1.79%,1,1.89%,F (sid_16),45,80.36
S140,1,1.79%,1,1.89%,K (sid_23),46,82.14
S14a,1,1.79%,1,1.89%,E (sid_15),47,83.93
S16d,1,1.79%,1,1.89%,C (sid_13),48,85.71
S147,1,1.79%,1,1.89%,B (sid_12),49,87.5
S150,1,1.79%,1,1.89%,Æ (sid_39),50,89.29
S1bb,1,1.79%,1,1.89%,8 (sid_52),51,91.07
S1a5,1,1.79%,1,1.89%,7 (sid_50),52,92.86
S14c,1,1.79%,1,1.89%,5 (sid_48),53,94.64
S144,1,1.79%,1,1.89%,4 (sid_47),54,96.43
S11e,1,1.79%,1,1.89%,3 (sid_46),55,98.21
S19a,1,1.79%,1,1.89%,Y (sid_37),56,100.0
