Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15d,276,14.04%,198,15.24%,"New-york (sid_115), Pain (sid_1367), Paris (sid_538), S-W (sid_1295), Toulouse (sid_1007), Yougoslavie (sid_1270), accessibilite (sid_846), accessibilite-1 (sid_540), accessibilite-3 (sid_15), aide-soignant (sid_850), aider (sid_625), aimer (sid_1238), aimer (sid_373), ane (sid_343), animal (sid_710), apporter (sid_139), approuver (sid_765), arbre (sid_666), arreter (sid_388), attends (sid_585), aujourd-'hui (sid_507), automne (sid_950), avril (sid_27), avril-G (sid_465), bailler (sid_1144), banque (sid_515), banque (sid_887), bateau (sid_964), botte (sid_1253), bravo (sid_140), ca-D (sid_557), cacher (sid_649), caresser-nez (sid_186), catalogne (sid_1377), celebre (sid_207), chapeau (sid_1049), chapeau-2 (sid_361), chaussette-2 (sid_21), chenille (sid_1380), cheveux-longs (sid_1197), classe (sid_57), coca (sid_669), colorier (sid_623), compter-index (sid_486), creme-peau (sid_87), date (sid_856), date-1 (sid_184), demander (sid_173), demander-1 (sid_222), dessiner (sid_1029), dessiner (sid_642), devoirs (sid_150), doux (sid_535), echanger (sid_870), ecrire (sid_29), ecrire (sid_722), encore (sid_1323), ennuyer (sid_1209), examen (sid_396), fevrier (sid_382), fevrier-G (sid_39), fini (sid_277), finir (sid_788), frotter-cou (sid_751), gant (sid_1070), grammaire-entendant (sid_799), graver (sid_1154), gruyère (sid_1398), h-dragon (sid_120), h-dragon (sid_1218), h-dragon (sid_1249), h-dragon (sid_1262), h-dragon (sid_1265), h-dragon (sid_1283), h-dragon (sid_131), h-dragon (sid_155), h-dragon (sid_157), h-dragon (sid_223), h-dragon (sid_242), h-dragon (sid_274), h-dragon (sid_283), h-dragon (sid_531), h-dragon (sid_6), h-dragon (sid_667), h-dragon (sid_812), h-dragon (sid_836), h-dragon (sid_954), h1-vache (sid_1012), h1-vache (sid_1019), h1-vache (sid_1276), h1-vache (sid_446), h1-vache (sid_461), h1-vache (sid_757), h2-voiture-1 (sid_368), h2-voiture-2 (sid_257), h2-voiture-31 (sid_1255), h2-voiture-41 (sid_630), h2-voiture-51 (sid_1022), h2-voiture-61 (sid_659), h2-voiture-71 (sid_727), h2-voiture-81 (sid_571), h2-voiture-91 (sid_885), h3-voiture4 (sid_456), h4-voiture (sid_1015), h7-Alex (sid_1073), h7-Alex (sid_298), h7-Alex (sid_558), h7-Alex (sid_653), h7-Alex (sid_98), huitre-1 (sid_475), inspecteur (sid_1097), interprete (sid_675), janvier-1 (sid_729), janvier-G (sid_841), journee (sid_999), jupe-2 (sid_811), lentille (sid_504), lentilles (sid_837), lieu (sid_1156), lire (sid_181), loi (sid_319), mail (sid_90), maintenant (sid_578), matin (sid_556), merci (sid_1423), merci (sid_626), millier (sid_1373), mime (sid_542), mois (sid_874), nager (sid_1033), nager (sid_732), naissance (sid_210), nuit (sid_536), pardon (sid_842), pays (sid_591), peindre-1 (sid_990), peinture (sid_164), personnage (sid_132), piscine (sid_246), poeme-temps (sid_1004), poeme-temps (sid_1010), poeme-temps (sid_1018), poeme-temps (sid_1062), poeme-temps (sid_1066), poeme-temps (sid_1105), poeme-temps (sid_1126), poeme-temps (sid_1228), poeme-temps (sid_1231), poeme-temps (sid_171), poeme-temps (sid_189), poeme-temps (sid_195), poeme-temps (sid_237), poeme-temps (sid_295), poeme-temps (sid_308), poeme-temps (sid_360), poeme-temps (sid_375), poeme-temps (sid_419), poeme-temps (sid_469), poeme-temps (sid_49), poeme-temps (sid_555), poeme-temps (sid_559), poeme-temps (sid_588), poeme-temps (sid_670), poeme-temps (sid_7), poeme-temps (sid_703), poeme-temps (sid_711), poeme-temps (sid_777), poeme-temps (sid_819), poeme-temps (sid_881), poeme-temps (sid_935), poeme-temps (sid_94), poisson (sid_745), pommade (sid_574), poussin (sid_698), prendre-2fois (sid_1204), pres (sid_1054), prevenir (sid_227), printemps (sid_894), priptie (sid_607), prochette (sid_1065), quand (sid_960), regarder-vitre-souriant (sid_1082), repousser-nez (sid_882), representation (sid_371), sapin (sid_325), se-laver (sid_985), sens-1 (sid_1216), sous (sid_42), sous (sid_683), surface (sid_779), surligner (sid_1170), tartiner (sid_1116), tee-shirt (sid_34), tee-shirt-1 (sid_380), tee-shirt-3 (sid_917), tortue-marine (sid_937), ventre (sid_315), verre (sid_395)",276,14.04
S100,184,9.36%,148,11.39%,"2 (sid_1016), 7 (sid_142), Amsterdam (sid_1230), Chine (sid_573), Croissance (sid_1386), David (sid_1002), Grece (sid_543), Ils (sid_1397), Je m'appelle (sid_1369), Juliette (sid_600), LSF (sid_692), Londres-1 (sid_979), Milan (sid_1138), Nikos (sid_584), Normandie (sid_848), OceaneE (sid_743), Q (sid_761), Quebec (sid_1072), Thailande (sid_22), Z (sid_1463), Z (sid_386), alcool (sid_385), alcool (sid_791), aller (sid_1060), aller (sid_851), arete-nez (sid_926), aussi (sid_546), avaler (sid_338), bas (sid_75), bonbon (sid_586), but (sid_639), ca (sid_175), ca-depend (sid_548), caca (sid_852), champignon (sid_581), chaussure-vieux (sid_495), chut (sid_695), comme (sid_460), commencer (début, debut) (sid_1329), contact-nez (sid_1058), crayon (sid_179), creme (sid_644), destin (sid_1331), difficile (sid_116), dindon (sid_219), eau (sid_187), eau (sid_320), eau (sid_550), faire-voir (sid_615), falloir (sid_100), fete (sid_523), fille (sid_753), fille (sid_829), film (sid_1326), fusee (sid_136), garçon (sid_50), gazelle (sid_944), glicemia (sid_1437), gris-4 (sid_521), h-dragon (sid_1001), h-dragon (sid_1013), h-dragon (sid_1069), h-dragon (sid_1071), h-dragon (sid_110), h-dragon (sid_114), h-dragon (sid_1212), h-dragon (sid_1219), h-dragon (sid_1279), h-dragon (sid_1280), h-dragon (sid_1284), h-dragon (sid_155), h-dragon (sid_16), h-dragon (sid_445), h-dragon (sid_635), h-dragon (sid_770), h-dragon (sid_776), h-dragon (sid_809), h-dragon (sid_974), h6-chat (sid_1268), h6-chat (sid_452), h6-chat (sid_65), h6-chat (sid_942), h7-Alex (sid_866), haut (sid_820), hauteur (sid_989), important (sid_477), interdit (sid_1085), je (sid_204), je (sid_402), jour (sid_957), jour-2 (sid_1264), juillet (sid_859), juillet-G (sid_1130), juin (sid_450), juin-G (sid_605), lentilles (sid_837), lieu (sid_1156), lui-D (sid_624), lui-meme (sid_36), lundi (sid_1191), mai (sid_56), mai-G (sid_1160), maman (sid_1182), menteur (sid_956), mentir (sid_322), moi (sid_993), moi-1 (sid_182), moi-2 (sid_1106), nez (sid_91), noir-2 (sid_1096), non-1 (sid_617), non-2 (sid_122), non-non (sid_73), nous (sid_965), objectif (sid_541), pareil (même) (sid_1352), penser (sid_719), penser1 (sid_1240), perdu (sid_468), personnes-promener (sid_783), pleurer (sid_817), plus (sid_1101), poeme-temps (sid_1228), poeme-temps (sid_205), poeme-temps (sid_308), pour (sid_680), pour-1 (sid_1229), pourquoi (sid_978), quand (sid_960), rencontrer-promener (sid_215), rouge (sid_10), rouge-1 (sid_1038), rouge-2 (sid_631), rpter (sid_1167), sentir (sid_806), signe (sid_106), sourd (sid_955), sourd-2 (sid_278), sourire (sid_685), surnom (sid_1337), toi (sid_855), tu (sid_261), venir-oui (sid_1172), venir-te (sid_332), ver (sid_270), vous (sid_1043), yeux (sid_138), zorro (sid_565)",460,23.4
S14c,160,8.14%,112,8.62%,"0 (number) (sid_1477), 10-1 (sid_1055), 48-1 (sid_1009), 5 (sid_1028), 5 (sid_1472), 6 (sid_1473), 6 (sid_903), 7 (sid_142), 7 (sid_1474), 8 (sid_1475), 8 (sid_873), 9 (sid_1476), 9 (sid_792), Australie (sid_967), Etats-Unis (sid_235), Marianne (sid_512), accepter (sid_790), aimer (sid_962), aimer-pas (sid_514), arbre (sid_666), arbre-gluant (sid_608), automne (sid_950), baleine (sid_305), ballon (sid_403), blanc (sid_244), blanc-1 (sid_148), bravo (sid_636), brouillard (sid_96), cerf (sid_262), cinéma (cinema) (sid_1324), clair (sid_664), clair-1 (sid_317), comment (sid_725), comment---2 (sid_637), comment-1 (sid_241), complet (sid_111), completement (sid_334), configuration (sid_289), content (sid_1121), corps (sid_1129), couleur (sid_952), cuire-viande (sid_738), cuire-viande-1 (sid_82), divorce (divorcé) (sid_1340), elan (sid_84), eleve (sid_537), equipe (sid_1042), fatigué (sid_1431), fier (sid_1175), fonce (sid_763), foret (sid_1107), foret-1 (sid_534), gant (sid_1070), glicemia (sid_1437), h-dragon (sid_1146), h-dragon (sid_120), h-dragon (sid_1273), h-dragon (sid_647), h-dragon (sid_735), h-dragon (sid_787), h-dragon (sid_916), h4-voiture (sid_1245), h4-voiture (sid_516), habiller (sid_28), impossible (sid_1164), impossible (sid_64), impossible-desole (sid_327), impossible-etonne (sid_997), impossible-non (sid_479), joyeux (sid_717), lancer (sid_908), mal-ventre (sid_1036), manifestation (sid_798), mari (sid_1252), mer (sid_408), mer (sid_5), monter-arbre (sid_699), neige (sid_651), ombre (sid_752), paysage (sid_69), peur (sid_780), peux-plus (sid_349), plein (sid_444), poeme-temps (sid_1118), poeme-temps (sid_1271), poeme-temps (sid_163), poeme-temps (sid_234), poeme-temps (sid_341), poeme-temps (sid_387), poeme-temps (sid_49), poeme-temps (sid_555), poison (sid_1039), poule (sid_1174), promenade (sid_80), pull (sid_561), quoi (sid_379), renne (sid_1251), robe (sid_860), robe (sid_940), rougir (sid_439), saigner-de-tete (sid_432), se-laver-1 (sid_474), se-promener (sid_618), secouer-bras (sid_1006), secouer-majeur (sid_596), signer-1 (sid_326), sombre (sid_425), trop-monde (sid_1241), vetement (sid_982), vetement-1 (sid_919), viande (sid_821), viande-1 (sid_418)",620,31.54
S15a,133,6.77%,91,7.01%,"Basket (sid_1411), Danser (sid_1413), Jouer au basket (sid_1412), Luxembourg (sid_85), Nord-d-Irlande (sid_434), Suede (sid_501), Valerie (sid_1177), arreter (sid_388), arreter (sid_994), attends (sid_1152), atterrir (sid_1119), au-revoir (sid_43), bonjour (sid_1422), bonjour (sid_414), carre (sid_712), chez (sid_1269), comment---2 (sid_637), compte (sid_38), decoller (sid_18), direct (sid_264), dormir (sid_177), dormir-2 (sid_1236), fusee (sid_136), futur (sid_285), futur (sid_901), grammaire (sid_483), h1-voiture1 (sid_1110), h1-voiture10 (sid_206), h1-voiture11 (sid_62), h1-voiture12 (sid_762), h1-voiture13 (sid_267), h1-voiture14 (sid_865), h1-voiture2 (sid_566), h1-voiture3 (sid_1263), h1-voiture4 (sid_225), h1-voiture5 (sid_539), h1-voiture6 (sid_939), h1-voiture7 (sid_1005), h1-voiture8 (sid_963), h1-voiture9 (sid_454), h2-voiture-51 (sid_1022), h2-voiture-81 (sid_571), h3-voiture1 (sid_14), h3-voiture2 (sid_816), h3-voiture3 (sid_641), h3-voiture4 (sid_456), h3-voiture5 (sid_1056), h4-voiture (sid_1015), h4-voiture (sid_1024), h4-voiture (sid_1245), h4-voiture (sid_255), h4-voiture (sid_516), h4-voiture (sid_58), jour (sid_1221), maison (sid_582), maison-2 (sid_401), malade-tete (sid_191), militaire (sid_1287), miroir (sid_366), montagne (sid_307), mur (sid_1342), mur (sid_861), nuit (sid_827), oh (sid_259), par-1 (sid_145), parallelogramme (sid_291), poeme-temps (sid_1032), poeme-temps (sid_1066), poeme-temps (sid_417), poeme-temps (sid_559), poeme-temps (sid_7), poeme-temps (sid_703), portable (sid_160), poupee (sid_328), priptie (sid_607), protéger (sid_1424), representation (sid_371), requin (sid_1143), requin (sid_71), rpter (sid_1167), salon du livre (sid_1383), savoir (sid_212), savoir-pas (sid_178), sens-1 (sid_1216), souligner (sid_1171), sous (sid_42), sous (sid_683), sur (sid_190), sur (sid_449), taper-joue (sid_416), voler (sid_1401)",753,38.3
S185,81,4.12%,53,4.08%,"EmilieR (sid_330), accepter (sid_790), aide-soignant (sid_850), amour (sid_838), appeler (sid_158), apprendre (sid_1201), bavarder (sid_505), bavarder-fort (sid_304), bon (sid_594), bon-1 (sid_662), bon-2 (sid_878), canard (sid_1203), chaud (sid_1404), chaussette (sid_1257), deplacer (sid_441), directeur (sid_346), directeur (sid_567), ecrire (sid_29), ecrire (sid_722), ecureuil-1 (sid_966), elan (sid_84), emplacement (sid_32), enseigner (sid_156), equipe (sid_1042), etudiant-31 (sid_162), froid (sid_12), furet (sid_1304), h-dragon (sid_1249), h-dragon (sid_166), h-dragon (sid_318), h-dragon (sid_525), h-vase (sid_570), h7-Alex (sid_240), h7-Alex (sid_640), h7-Alex (sid_746), hiver-1 (sid_421), il fait froid (sid_1403), joli (sid_1020), malheureux-2 (sid_358), manger (sid_527), mercredi (sid_976), mercredi-G1 (sid_143), mettre-dans-verre (sid_1235), n'importe quoi (sid_1359), objet (sid_831), ou (sid_309), ou (sid_613), ou (sid_814), ouf (sid_324), pere-noel (sid_875), pere-noel-1 (sid_1031), prendre-2fois (sid_1204), renard-1 (sid_750)",834,42.42
S19a,80,4.07%,64,4.93%,"Belgique (sid_879), Californie (sid_52), Chine (sid_1199), Italie (sid_1081), J (sid_656), JeremyP (sid_638), JoVS (sid_292), Julia (sid_426), New-york (sid_115), Sigrit (sid_299), Y (sid_1462), Y (sid_720), YannickE (sid_198), ah-bon (sid_938), asseoir (sid_1051), atterrir (sid_1119), avion (sid_723), avion (sid_977), betise (sid_737), caca (sid_188), cafe (sid_1202), cartable (sid_8), cest-long (sid_681), chaussures (sid_33), chaussures-1 (sid_1278), cour-de-recreation (sid_789), decoller (sid_18), fautes (sid_202), faux (sid_352), faux-1 (sid_572), h-dragon (sid_109), h-dragon (sid_245), h-dragon (sid_500), h-dragon (sid_599), huile (sid_415), idee (sid_213), jamais (sid_1215), jamais-1 (sid_1173), jamais-non (sid_404), jaune (sid_923), jeudi (sid_721), jeudi-1 (sid_872), jeudi-2 (sid_724), jeudi-G (sid_986), jeune (sid_943), jouer (sid_1141), jouer (sid_800), jouer-souriant (sid_668), lune (sid_756), pas encore (sid_1325), pas-la-peine (sid_287), petit (sid_1327), poeme-temps (sid_1050), poeme-temps (sid_881), poupee (sid_328), qui (sid_350), qui-1 (sid_102), qui-2 (sid_1000), reunion (sid_133), se-tromper (sid_1040), se-tromper-1 (sid_357), telephone (sid_72), vache (sid_1184), vache (sid_280)",914,46.49
S147,80,4.07%,59,4.54%,"B (sid_265), B (sid_356), BD (sid_961), Benoit (sid_494), Bordeaux (sid_1074), Bresil (sid_892), ChristoG (sid_915), LyllaE (sid_466), M (sid_165), M (sid_412), Mary (sid_1128), ane (sid_684), banque (sid_887), bateau (sid_682), beige-1 (sid_183), besoin (sid_1044), bleu (sid_733), bois (sid_413), boite (sid_436), cacher (sid_1250), cacher-bas (sid_552), celebre (sid_560), changer-avis (sid_24), coin (sid_331), dauphin (sid_773), equitation (sid_991), facteur (sid_718), fermer-porte (sid_1027), gentil (sid_411), gourmand (sid_55), grand-mere (sid_671), h-dragon (sid_1124), h-dragon (sid_141), h-vase (sid_1046), h7-Alex (sid_1189), http://www.signbank.org/signpuddle2.0/glyphogram.php?text=M64x18S31400n18xn17S1472022xn15S2212442xn10 (http://www.signbank.org/signpuddle2.0/glyphogram.php?text=M64x18S31400n18xn17S1472022xn15S2212442xn10, http://www.signbank.org/signpuddle2.0/glyphogram.php?text=M64x18S31400n18xn17S1472022xn15S2212442xn10, http://www.signbank.org/signpuddle2.0/glyphogram.php?text=M64x18S31400n18xn17S1472022xn15S2212442xn10) (sid_1370), janvier (sid_60), kangourou (sid_435), laver-1 (sid_74), maison (sid_1382), maison (sid_448), maman (sid_1078), maman (sid_464), midi (sid_370), otarie (sid_782), otarie (sid_801), paf (sid_252), peux-plus (sid_1210), phoque (sid_1211), poisson (sid_86), porte (sid_340), requin (sid_71), responsable (chef) (sid_1338), se-cogner-tete (sid_201), soir (sid_679), sommet (sid_606), svp (sid_369), table (sid_410), vite (sid_1247)",994,50.56
S10e,64,3.26%,49,3.77%,"Danser (sid_1413), H (sid_1452), Louis-de-Funs- (sid_226), PavlosE (sid_130), V (sid_200), Valerie (sid_1177), Venezuela (sid_826), VincentE (sid_1281), cave (sid_424), cheval (sid_650), citoyen (sid_118), crayon (sid_179), dessiner (sid_1029), dessiner (sid_642), docteur (sid_1014), entendant-idee (sid_844), equitation (sid_991), escargot (sid_194), h-dragon (sid_1080), h-dragon (sid_1243), h-dragon (sid_1260), h-dragon (sid_141), h-dragon (sid_577), h-dragon (sid_655), h-vase (sid_296), jupe-1 (sid_462), lire (sid_181), pantalon-1 (sid_1217), pantalon-2 (sid_614), paradis (sid_1317), serpent (sid_845), son (sid_824), surnom (sid_1336), surnom (sid_1375), tomber (sid_272), ton (sid_105), train (sid_665), vendredi (sid_532), vendredi-G (sid_704), vent (sid_1366), village (sid_813), ville (sid_1188), violet (sid_400), vivre (sid_311), voir (sid_384), voir-D (sid_134), voir-loin (sid_300), voir-moi (sid_1), vrai (sid_661)",1058,53.81
S115,62,3.15%,42,3.23%,"Chine (sid_975), Citroen (sid_66), Israel (sid_678), Malte (sid_1149), N (sid_314), N (sid_726), Ne-Pas-comprendre (Pierre) (sid_471), Norvege (sid_254), Slovenie (sid_282), Tour-Eiffel (sid_275), U (sid_221), ca-va (sid_406), chemin (sid_81), chenille (sid_1380), chocolat (sid_478), chocolat-1 (sid_451), chocolat-2 (sid_1034), colorier (sid_623), h-dragon (sid_1068), h7-Alex (sid_298), h7-Alex (sid_558), h7-Alex (sid_653), h7-Alex (sid_98), lapin (sid_835), lapin-1 (sid_293), mardi (sid_744), mardi-G (sid_489), monter-descendre (sid_740), mort (sid_1095), noir-1 (sid_1011), nom (sid_1127), nom (sid_1239), nom (sid_1335), novembre (sid_622), novembre-G (sid_648), peinture (sid_164), prenom (sid_1079), prénom (prenom) (sid_1346), prénom (sid_1334), reste (sid_563), tartiner (sid_1116), universite (sid_497)",1120,56.97
S1f5,52,2.64%,39,3.0%,"1 (sid_1468), 1 (sid_99), 2 (sid_1016), 6 (sid_1473), 6 (sid_903), 7 (sid_142), A (sid_1162), Adresse (sid_1320), LSF (sid_692), Suisse (sid_589), adresse (sid_473), adresse (sid_912), argent-1 (sid_1092), bain (sid_902), bien (sid_706), boire (sid_467), boucher (sid_429), combien (sid_61), demain (sid_981), demain-1 (sid_1153), egoiste (sid_580), ensemble (sid_896), faire-quoi (sid_1194), formule1 (sid_348), garcon (sid_1155), h-dragon (sid_1123), h-dragon (sid_67), h-dragon (sid_784), h7-Alex (sid_266), hier (sid_686), huitre-1 (sid_475), lui-meme (sid_36), lundi (sid_1191), mois (sid_874), nombre (sid_229), rester (sid_627), sport (sid_48), sport-1 (sid_1131), tortue (sid_488)",1172,59.61
