Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15d,11,12.36%,7,11.29%,"Dee (sid_9), Ireland (sid_20), L (sid_46), NISL--Northern-Ireland (sid_14), basic-signlanguage (sid_1), model (sid_15), school (college, pupil, university) (sid_25)",11,12.36
S100,10,11.24%,7,11.29%,"1 (sid_61), Trinity (sid_22), Trinity (sid_23), Z (sid_10), Z (sid_60), deaf (sid_11), electrician (sid_19)",21,23.6
S14c,5,5.62%,5,8.06%,"5 (sid_65), 6 (sid_66), 7 (sid_67), 8 (sid_68), 9 (sid_69)",26,29.21
S16d,5,5.62%,3,4.84%,"C (sid_37), Trinity (sid_22), Trinity (sid_23)",31,34.83
S13d,4,4.49%,2,3.23%,"Trinity (sid_22), Trinity (sid_23)",35,39.33
S13f,4,4.49%,2,3.23%,"Trinity (sid_22), Trinity (sid_23)",39,43.82
S1ce,3,3.37%,2,3.23%,"G (sid_41), basic-signlanguage (sid_1)",42,47.19
S101,3,3.37%,2,3.23%,"D (sid_38), Dublin (sid_26)",45,50.56
S192,3,3.37%,3,4.84%,"I (sid_43), J (sid_44), Sign (sid_21)",48,53.93
S176,2,2.25%,2,3.23%,"O (sid_49), electrician (sid_7)",50,56.18
S18c,2,2.25%,2,3.23%,"P (sid_50), Pat (sid_2)",52,58.43
S119,2,2.25%,2,3.23%,"N (sid_48), NISL--Northern-Ireland (sid_14)",54,60.67
S1d4,2,2.25%,1,1.61%,model (sid_3),56,62.92
S18d,2,2.25%,2,3.23%,"M (sid_47), Pat (sid_2)",58,65.17
S1a5,2,2.25%,2,3.23%,"Q (sid_51), question (sid_16)",60,67.42
S106,2,2.25%,2,3.23%,"X (sid_13), X (sid_58)",62,69.66
S147,2,2.25%,2,3.23%,"B (sid_36), Ireland (sid_5)",64,71.91
S1dc,2,2.25%,2,3.23%,"7 (sid_67), Dublin (sid_4)",66,74.16
S1f5,2,2.25%,2,3.23%,"6 (sid_66), A (sid_35)",68,76.4
S144,2,2.25%,2,3.23%,"4 (sid_64), 9 (sid_69)",70,78.65
S11e,2,2.25%,2,3.23%,"3 (sid_63), 8 (sid_68)",72,80.9
S10e,1,1.12%,1,1.61%,V (sid_56),73,82.02
S115,1,1.12%,1,1.61%,U (sid_55),74,83.15
S1cd,1,1.12%,1,1.61%,Sign (sid_21),75,84.27
S1ea,1,1.12%,1,1.61%,T (sid_54),76,85.39
S1fe,1,1.12%,1,1.61%,Sign (sid_21),77,86.52
S186,1,1.12%,1,1.61%,W (sid_57),78,87.64
S1bb,1,1.12%,1,1.61%,K (sid_45),79,88.76
S11a,1,1.12%,1,1.61%,R (sid_52),80,89.89
S118,1,1.12%,1,1.61%,NISL--Northern-Ireland (sid_14),81,91.01
S10b,1,1.12%,1,1.61%,me (sid_8),82,92.13
S1de,1,1.12%,1,1.61%,2 (sid_62),83,93.26
S194,1,1.12%,1,1.61%,J (sid_12),84,94.38
S1a0,1,1.12%,1,1.61%,H (sid_42),85,95.51
S1d2,1,1.12%,1,1.61%,F (sid_40),86,96.63
S14a,1,1.12%,1,1.61%,E (sid_39),87,97.75
S1eb,1,1.12%,1,1.61%,Dublin (sid_4),88,98.88
S19a,1,1.12%,1,1.61%,Y (sid_59),89,100.0
