Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S16d,11,29.73%,4,12.12%,"friend (sid_10), friend (sid_8), friend (sid_9), כ (sid_21)",11,29.73
S100,4,10.81%,3,9.09%,"* (sid_33), ו (sid_16), ז (sid_17)",15,40.54
S171,2,5.41%,1,3.03%,friend (sid_8),17,45.95
S140,2,5.41%,2,6.06%,"פ (sid_27), ק (sid_29)",19,51.35
S156,2,5.41%,1,3.03%,Kaddish (sid_1),21,56.76
S1d2,1,2.7%,1,3.03%,ט (sid_19),22,59.46
S11e,1,2.7%,1,3.03%,צ (sid_28),23,62.16
S110,1,2.7%,1,3.03%,ע (sid_26),24,64.86
S1fc,1,2.7%,1,3.03%,נ (sid_24),25,67.57
S1fd,1,2.7%,1,3.03%,מ (sid_23),26,70.27
S1dc,1,2.7%,1,3.03%,ל (sid_22),27,72.97
S192,1,2.7%,1,3.03%,י (sid_20),28,75.68
S115,1,2.7%,1,3.03%,ה (sid_15),29,78.38
S1a0,1,2.7%,1,3.03%,ח (sid_18),30,81.08
S105,1,2.7%,1,3.03%,ד (sid_14),31,83.78
S1e3,1,2.7%,1,3.03%,ג (sid_13),32,86.49
S147,1,2.7%,1,3.03%,ב (sid_12),33,89.19
S1f7,1,2.7%,1,3.03%,א (sid_11),34,91.89
S185,1,2.7%,1,3.03%,in (sid_4),35,94.59
S176,1,2.7%,1,3.03%,in (sid_4),36,97.3
S11a,1,2.7%,1,3.03%,ר (sid_30),37,100.0
