Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15a,17,27.42%,11,27.5%,"fiskur (sid_12), fiskur (sid_38), fiskur (sid_39), fiskur (sid_40), gefa (sid_28), hádegismatur (sid_35), koddi (sid_30), rétt (sid_26), vilja (sid_11), vita (sid_14), ákveða (sid_25)",17,27.42
S100,9,14.52%,9,22.5%,"mamma (1) (sid_16), mamma (2) (sid_17), morgunmatur (sid_34), pabbi (1) (sid_21), pabbi (2) (sid_22), pítsa (sid_31), til hægri frá (sid_20), til vinstri frá (sid_19), ég (sid_10)",26,41.94
S15d,7,11.29%,4,10.0%,"fiskur (sid_12), fiskur (sid_38), fiskur (sid_39), fiskur (sid_40)",33,53.23
S14c,6,9.68%,4,10.0%,"five (sid_9), hallo (sid_1), hugsa (sid_18), hvað (sid_15)",39,62.9
S177,5,8.06%,5,12.5%,"borða (sid_33), hádegismatur (sid_35), kvöldmatur (sid_32), morgunmatur (sid_34), muna (sid_27)",44,70.97
S157,4,6.45%,2,5.0%,"koddi (sid_30), mjúkur (sid_29)",48,77.42
S171,2,3.23%,1,2.5%,gefa (sid_28),50,80.65
S1f5,2,3.23%,2,5.0%,"one (sid_2), Ísland (Iceland) (sid_4)",52,83.87
S1eb,2,3.23%,1,2.5%,stór (pf.1) (sid_36),54,87.1
S119,1,1.61%,1,2.5%,nei (sid_24),55,88.71
S11e,1,1.61%,1,2.5%,three (sid_7),56,90.32
S106,1,1.61%,1,2.5%,pítsa (sid_31),57,91.94
S192,1,1.61%,1,2.5%,já (sid_23),58,93.55
S1f7,1,1.61%,1,2.5%,morgunmatur (sid_34),59,95.16
S182,1,1.61%,1,2.5%,kvöldmatur (sid_32),60,96.77
S144,1,1.61%,1,2.5%,four (sid_8),61,98.39
S1dc,1,1.61%,1,2.5%,two (sid_3),62,100.0
