Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S14c,251,14.82%,175,14.79%,"""22 dicembre"" di L. Lamano (sid_1011), ""22 dicembre"" di L. Lamano (sid_1083), ""22 dicembre"" di L. Lamano (sid_1084), ""22 dicembre"" di L. Lamano (sid_1089), ""22 dicembre"" di L. Lamano (sid_1093), (incontrare) fatto (sid_675), (proprio) otto (sid_779), 07_shock (sid_797), 12_arrossire (sid_802), 14_tremore mani (sid_804), 17_ansia (sid_807), 17_caritro_picchio_LIS_MM (sid_1050), 28_fastidio (sid_817), 31_desiderare (sid_820), 32_crollarsi per terra (sid_821), 34_cosi così (sid_823), 36_depressione (sid_825), 42_bagnarsi gli occhi (sid_830), 45_sollievo (sid_833), 5 (sid_964), 53_spavento (sid_840), 59_sentirsi in colpa (sid_845), 6 (sid_965), 60_soddisfazione (sid_846), 68_disgusto (sid_854), 7 (sid_966), 70_entusiasmo (sid_855), 73_impulsivo (sid_858), 78_sensazione (sid_864), 8 (sid_967), 9 (sid_968), Euro poesia (sid_1107), Euro poesia (sid_1109), Euro poesia (sid_1111), Euro poesia (sid_1112), Euro_poesia (sid_1097), Euro_poesia (sid_1134), Euro_poesia (sid_1140), Euro_poesia (sid_1147), Euro_poesia (sid_1148), Euro_poesia (sid_1149), Euro_poesia (sid_1150), Euro_poesia (sid_1152), Euro_poesia (sid_1153), Euro_poesia (sid_1164), Euro_poesia (sid_1165), Euro_poesia (sid_1166), Euro_poesia (sid_1170), Euro_poesia (sid_1171), Euro_poesia (sid_1172), Euro_poesia (sid_1173), Euro_poesia (sid_1174), Euro_poesia (sid_1175), Euro_poesia (sid_1176), Euro_poesia (sid_1178), Euro_poesia (sid_1186), Euro_poesia (sid_1188), Euro_poesia (sid_1189), Euro_poesia (sid_1191), Euro_poesia (sid_1192), Euro_poesia (sid_1193), Euro_poesia (sid_1194), Euro_poesia (sid_1195), USA (sid_368), albero in mezzo a un paesaggio (sid_597), amore (sid_579), applaudire (sid_152), applauso lis (sid_98), bianco (sid_908), c'è (sid_551), cinque (sid_241), colore 2 (sid_701), come 2 (sid_760), computer (sid_573), configurazione 10 gg (sid_228), configurazione 5 (sid_218), configurazione 5 (sid_305), configurazione 5 gg (sid_226), configurazione 6 (giorno) (sid_224), configurazione palmo (sid_1230), contare (sid_61), coprire (sid_870), corpo (sid_728), da dieci anni (sid_207), da dieci anni 2 (sid_271), dialogo feriale di solito (sid_717), dieci (sid_236), dieci (sid_246), dieci (sid_255), dieci anni fa (sid_220), dieci anni fa (sid_269), disgusto schifo (sid_477), dubbio (sid_397), due semestri (sid_693), duro (sid_456), elementare (sid_129), elementare (sid_130), elementare (sid_43), essendo un cane ho il collo intrappolato in un barattolo (sid_444), età (avanzata) (sid_782), età (sid_725), fatto (sid_569), finito (sid_103), finito (sid_52), fontana (sid_293), fra dieci anni (sid_206), fra dieci anni (sid_609), fra dieci anni ancora (sid_208), fra due settimane (sid_607), fregarsi (sid_871), furto della collana (sid_656), glifi config 5 rotazione parete (sid_324), glifo config 5 a (sid_325), glifo config 5 b (sid_492), glifo config 5 c (sid_493), glifo config 5 d (sid_494), glifo config 5 e (sid_495), glifo config 5 f (sid_496), grande (sid_400), incerto (sid_301), incontrare in tanti (sid_601), indicare l amore (sid_658), ladro (sid_357), lanciare in alto (sid_453), maglione (sid_158), marito (sid_555), musica giuranna 2 (sid_651), musica giuranna 4 (sid_654), nome segno chiara (sid_210), nove (sid_244), nove (sid_245), nove (sid_254), ore (sid_764), ottavo piano (sid_768), otto (sid_153), otto (sid_243), otto (sid_252), otto (sid_62), otto mesi (sid_690), otto ore (sid_766), pallacanestro (sid_451), palleggiare (sid_452), patate (sid_638), pelle ruvida (sid_441), per dieci anni (sid_209), pieno (sid_432), prendere (sid_643), provare (sid_622), provare 3 (sid_695), sei (sid_242), sei (sid_251), sette (sid_250), settimana (sid_273), settimana (sid_377), settimana fa (sid_275), settimana prossima (sid_279), settimana prossima (sid_281), settimana questa (sid_272), settimana settimana  fa (sid_277), settimana si settimana no (sid_608), settimane settimane prossima (sid_282), simbolo mano piatto (sid_876), spazio (sid_119), spazio vicino (sid_547), sta male (sid_711), terremoto (sid_385), testardo (sid_454), tocca (a te) (sid_712), un ora (sid_765), undici piano quindici piano (sid_771), usa asl (sid_369), venti ore venti ore (sid_762), volere (incontrare) (sid_401), volere (sid_706), è pesante (sid_425)",251,14.82
S100,148,8.74%,117,9.89%,"""22 dicembre"" di L. Lamano (sid_1009), ""22 dicembre"" di L. Lamano (sid_1094), (dentro bene) non (sid_710), (incontrare) non (sid_680), (lavatrice) indicare (sid_584), (tocca) a te (sid_713), 04_dolore (sid_794), 07_shock (sid_797), 1 (sid_173), 17_caritro_picchio_LIS_MM (sid_1028), 17_caritro_picchio_LIS_MM (sid_1034), 17_caritro_picchio_LIS_MM (sid_1043), 17_caritro_picchio_LIS_MM (sid_1049), 17_caritro_picchio_LIS_MM (sid_1051), 17_caritro_picchio_LIS_MM (sid_1057), 17_caritro_picchio_LIS_MM (sid_1058), 24_nostalgia va va (sid_813), 27_infuriarsi (sid_816), 30_disperarsi (sid_819), 32_crollarsi per terra (sid_821), 38_mortificazione (sid_826), 49_invidia (sid_837), 56_preoccuparsi (sid_842), 59_sentirsi in colpa (sid_845), 65_tremore gamba (sid_851), 67_in lacrime (sid_853), 74_piangere (sid_859), A casa (sid_984), City: Modena (Italy) (sid_165), EAP_targa_05 (sid_35), Euro poesia (sid_1101), Euro poesia (sid_1102), Euro poesia (sid_1103), Euro poesia (sid_1104), Euro poesia (sid_1105), Euro poesia (sid_1106), Euro_poesia (sid_1155), Euro_poesia (sid_1157), Euro_poesia (sid_1186), Euro_poesia (sid_1193), LIS_picchio_02_AB (sid_1131), LIS_picchio_02_AB (sid_1137), LIS_picchio_02_AB (sid_1196), UNO (sid_237), Z (sid_952), a naso (sid_297), albero crescere (sid_587), albero in mezzo a un paesaggio (sid_597), bambino indicare (sid_613), bi (sid_408), bocca (sid_345), bocca chi parlare (sid_476), bocca parlare (sid_448), cane indicare (sid_614), cane scondizolo (sid_589), colore (sid_359), configurazione 1 (sid_216), configurazione 1 gg (sid_225), configurazione indice (pavimento) (sid_1224), configurazione indice (sid_1223), configurazione indice bn (sid_1227), configurazione indice bn pavimento (sid_1228), configurazione indice nero (sid_1225), configurazione indice nero pavimento (sid_1226), deve (incontrare) (sid_568), dodici mesi dodici mesi (sid_694), fragola (sid_457), frase_2_8 (sid_28), frase_8_8 (sid_40), giornata (sid_223), giorno (sid_219), gross (sid_726), ieri (sid_6), indicare 1 2 3 (sid_554), indicare loc (sid_464), indicare spazio (tavolo) (sid_576), loro (sid_336), lui/lei (sid_333), mente (sid_455), mentre cammino portanzo uno zaino appare un estraneo (sid_446), mesi (sid_692), mio (sid_337), nessuno (sid_627), nome segno Serena (sid_1222), non (sid_574), non lo farebbe nessuno (sid_624), occhi (sid_349), ore (sid_764), orecchio sentire (sid_447), perdere la testa per qualcuno (sid_460), posizionamento alberi (sid_550), primo piano (sid_767), primo piano terzo piano (sid_770), puttana (sid_719), puttana (sid_720), rimuovere mant + lì (sid_473), rosso (sid_458), rosso (sid_907), si deve (sid_394), sono io (due segni) (sid_411), sordo (sid_85), suo (sid_339), test-1 (sid_979), testardo (sid_454), tocca a te (sid_714), tu (sid_332), tu (volere) (sid_707), tuo (sid_338), uguale (sid_395), un mese (sid_689), un ora (sid_765), uno (sid_64), uno (sid_981), vedere (sid_625), venti mesi venti mesi (sid_783), venti ore venti ore (sid_762), voi (sid_335)",399,23.55
S15d,138,8.15%,103,8.71%,"""22 dicembre"" di L. Lamano (sid_1000), ""22 dicembre"" di L. Lamano (sid_1005), ""22 dicembre"" di L. Lamano (sid_1010), ""22 dicembre"" di L. Lamano (sid_1087), (incontrare) lo (sid_683), 13_calmarsi (sid_803), 17_caritro_picchio_LIS_MM (sid_1037), 17_caritro_picchio_LIS_MM (sid_1046), 17_caritro_picchio_LIS_MM (sid_1062), 18_colpito (sid_808), 5 (sid_175), 5-2 (sid_176), A casa (sid_994), BAMBINI (sid_44), Euro poesia (sid_1099), Euro_poesia (sid_1097), Euro_poesia (sid_1154), Euro_poesia (sid_1155), Euro_poesia (sid_1156), Euro_poesia (sid_1157), LIS_picchio_02_AB (sid_1139), LIS_picchio_02_AB (sid_1200), LIS_picchio_02_AB (sid_1201), LIS_picchio_02_AB (sid_1202), LIS_picchio_02_AB (sid_1203), Scuola (sid_41), adulti (sid_135), adulti (sid_54), bambina (sid_112), bambina (sid_74), bambini (sid_134), bambini (sid_178), bambini (sid_55), bambini (sid_57), bambini (sid_79), bambini (sid_95), bambini 2 (sid_50), bambino (sid_138), bambino (sid_612), bambino (sid_65), bambino (sid_84), bambino indicare (sid_613), banbino (sid_155), burro (sid_556), cade un pezzo a terra (sid_431), calligrafia lingue alfabetiche (sid_386), calligrafia lingue orientali (sid_387), calligrafia lingue orientali (sid_388), chiama (sid_76), chiama-venire (sid_71), ci penso io (sid_410), competenza (sid_731), configurazione glifo L irlandese (sid_921), contenti (sid_97), dialogo feriale di solito (sid_717), dimostra (sid_104), disegna (sid_102), disegna (sid_162), disegna_azione (sid_161), disegnare (sid_83), dodici mesi dodici mesi (sid_694), due facce (sid_641), evaso (sid_757), farfalla (sid_372), farfalla (sid_972), finalmente (sid_200), fuori (sid_117), fuori (sid_147), grande (sid_133), grazie (sid_125), grazie (sid_149), grazie (sid_187), guarda (sid_108), in questo (sid_109), interprete (sid_382), la palla sul tavolo (sid_428), legge (sid_362), legge vecchio (sid_621), lista (sid_366), manca (sid_154), manca (sid_63), marmellata (sid_557), mesi (sid_692), mo mo (sid_640), ora (sid_285), ora (sid_286), problema (sid_737), quadro (sid_132), quadro (sid_48), quadro grande (sid_49), quattro facce (sid_642), scudo liscio (sid_442), scuola (sid_128), tavolo (sid_566), tavolo TS (sid_575), tecnico (sid_738), testa (sid_211), uccello 2 (sid_789), un mese (sid_689), uomo 2 (sid_205), uomo 3 (sid_698), venti mesi venti mesi (sid_783), volare (sid_787)",537,31.7
S10e,111,6.55%,71,6.0%,"""22 dicembre"" di L. Lamano (sid_1068), ""22 dicembre"" di L. Lamano (sid_1070), ""22 dicembre"" di L. Lamano (sid_998), (deve) incontrare (sid_673), (non ancora) incontrare (sid_678), (passato) incontrare (sid_677), (volere) incontrare (sid_630), 05_strafelice (sid_795), 17_caritro_picchio_LIS_MM (sid_1048), A casa (sid_990), City: Paris (France) (sid_166), City: Poitiers (France) (sid_168), V (sid_948), anni (sid_233), cavallo (sid_785), cerca_azione (sid_146), cerca_azione (sid_169), cercare (sid_463), cercare a lungo (sid_468), cercare con espressione dubbiosa (sid_480), cercare-azione (sid_115), configurazione glifo 2 (sid_912), due (sid_238), due (sid_549), due (sid_982), due anni (sid_221), due anni (sid_222), due anni (sid_230), due anni (sid_232), due facce (sid_641), due ore tutti i giorni (sid_763), empatia (sid_358), felice (sid_127), girarsi TP UL (sid_646), guarda (sid_108), guardami (sid_412), guardare (sid_1236), guardare in alto (sid_300), guardare_azione (sid_136), incontrare (fatto) (sid_674), incontrare (improvvisamente) (sid_670), incontrare (lo) (sid_682), incontrare (non) (sid_628), incontrare (regolarmente) (sid_671), incontrare (sid_563), incontrare (sta stava) (sid_672), incontrare due (sid_562), incontrare imprevisto (sid_684), incontrare me (sid_603), incontrare noi due (sid_602), incontrare te (sid_685), incontrare tutti (sid_632), interprete (sid_382), meta (linguistica) 2 (sid_734), osservano (sid_56), provare (sid_622), provare 2 (sid_623), se incontrare (sid_681), secondo (sid_42), sedersi (sid_781), segno nome romeo (sid_869), tagliare la lingua (sid_636), valeria (sid_214), verissimo (sid_542), verità (sid_541), vero (sid_540), visitare (sid_131), visitare (sid_179), visitare (sid_51), visto! (sid_116), whisky (sid_662)",648,38.25
S1dc,60,3.54%,43,3.63%,"""22 dicembre"" di L. Lamano (sid_1068), 2 (sid_961), 7 (sid_966), Euro_poesia (sid_1167), Euro_poesia (sid_1169), Euro_poesia (sid_1184), Euro_poesia (sid_1185), Euro_poesia (sid_1187), L (sid_938), albero (sid_548), albero indicare (sid_582), andare via (sid_715), bruttissimo (sid_544), cappello (sid_416), configurazione L (sid_280), dodici mesi dodici mesi (sid_694), fra due settimane (sid_607), frase_3_8 (sid_31), frase_5_8 (sid_29), lingua (sid_730), linguistica (sid_732), lis (sid_363), lunedì (sid_361), lunedì prossimo (sid_606), lunedì scorso (sid_604), lunedì tutti i (sid_605), meta (linguistica) 2 (sid_734), nano (sid_727), non c'è (sid_467), segno nome Luca (sid_202), settimana (sid_273), settimana (sid_377), settimana prossima (sid_279), settimana prossima (sid_281), settimana questa (sid_272), settimana si settimana no (sid_608), settimane settimane prossima (sid_282), sole (sid_380), spostare il cappello (sid_417), tavolo punta (sid_580), tavolo punta indicare (sid_581), venti (sid_761), venti ore venti ore (sid_762)",708,41.79
S147,57,3.36%,42,3.55%,"""22 dicembre"" di L. Lamano (sid_1001), ""22 dicembre"" di L. Lamano (sid_1070), ""22 dicembre"" di L. Lamano (sid_1078), ""22 dicembre"" di L. Lamano (sid_1079), ""22 dicembre"" di L. Lamano (sid_1092), 09_rincrescere (sid_799), 38_mortificazione (sid_826), 62_sollievo (sid_848), B (sid_927), City: Perugia (Italy) (sid_167), LIS_picchio_02_AB (sid_1138), b (B, dattilologia b, lettera b, alfabeto b) (sid_1251), cade un pezzo a terra (sid_431), cade un pezzo dall'alto al basso (sid_430), cane (sid_578), cane cade dalla finestra (sid_599), essendo una mucca con una zampa faccio una fasciatura (sid_443), essendo una mucca faccio una fasciatura (sid_445), fisso (sid_413), genitore (sid_449), grattacieli molto alti (sid_434), guardia (sid_107), guardia (sid_143), guardia (sid_72), guardiano (sid_77), indicare la lavatrice (sid_657), lavatrice (sid_577), lavatrice in movimento (sid_588), lavatrice sportello spacca (sid_598), papà (sid_450), porta (picchio 12/17) (sid_750), porta che si apre (picchio 15/17) (sid_753), porta piccola (picchio 13/17) (sid_751), stalking (sid_756), strada (sid_722), tant 2 (sid_553), tavolo attaccato al muro (sid_596), una forma del tetto (sid_436), uomo (sid_204), uovo attraversa la porta (picchio 16/17) (sid_754), uovo si ferma dopo la porta (picchio 17/17) (sid_755), vigile (sid_384)",765,45.16
S185,54,3.19%,36,3.04%,"""22 dicembre"" di L. Lamano (sid_1002), ""22 dicembre"" di L. Lamano (sid_1005), ""22 dicembre"" di L. Lamano (sid_1077), 11_collasso emotivo (sid_801), 17_caritro_picchio_LIS_MM (sid_1023), 17_caritro_picchio_LIS_MM (sid_1027), 17_caritro_picchio_LIS_MM (sid_1041), 17_caritro_picchio_LIS_MM (sid_1061), 22_caritro_picchio_LIS_SR (sid_1208), 22_caritro_picchio_LIS_SR (sid_1210), A casa (sid_983), Come (sid_141), Euro_poesia (sid_1142), Euro_poesia (sid_1143), Euro_poesia (sid_1145), LIS_picchio_02_AB (sid_1117), LIS_picchio_02_AB (sid_1136), LIS_picchio_02_AB (sid_1139), LIS_picchio_02_AB (sid_1199), LIS_picchio_02_AB (sid_1200), Museo (sid_46), bacio (sid_94), cane indicare (sid_585), cane scondizolo (sid_589), come (sid_82), come 1 (sid_758), come 2 (sid_759), dentro (sid_466), dentro se stesso (sid_708), fiore (picchio 7/17) (sid_745), museo (sid_177), museo (sid_73), museo (sid_78), polmoni (sid_350), rompere l uovo (sid_637), uovo cade fuori dal fiore (picchio 9/17) (sid_747)",819,48.35
S10b,53,3.13%,45,3.8%,"""22 dicembre"" di L. Lamano (sid_1003), ""22 dicembre"" di L. Lamano (sid_1066), ""22 dicembre"" di L. Lamano (sid_1068), ""22 dicembre"" di L. Lamano (sid_1069), ""22 dicembre"" di L. Lamano (sid_1070), ""22 dicembre"" di L. Lamano (sid_1076), (albero) indicare (sid_583), 17_caritro_picchio_LIS_MM (sid_1031), 17_caritro_picchio_LIS_MM (sid_1052), 22_caritro_picchio_LIS_SR (sid_1209), 71_fissazione a raffica (sid_856), A casa (sid_987), Euro poesia (sid_1113), Euro poesia (sid_1115), Euro_poesia (sid_1149), Euro_poesia (sid_1164), Euro_poesia (sid_1171), Tu!! (You!) (sid_11), albero indicare (sid_582), arco porta (picchio 14/17) (sid_752), cane indicare (sid_585), dopo / prossimo (sid_287), frase_7_8 (sid_39), in questo (sid_109), indica (sid_120), indica con viso (sid_163), indica_destra (sid_160), indicare barattolo (nido) (sid_615), indicare l amore (sid_658), indicare la lavatrice (sid_657), la (sid_170), lui (sid_90), noi (sid_334), papà 3 (sid_697), questa/ qui (sid_284), rimuovere mant + io (sid_470), tavolo punta indicare (sid_581), uovo cade fuori dal fiore (picchio 9/17) (sid_747), uovo scende (picchio 2/17) (sid_740), viso (sid_110), viso (sid_111), viso (sid_145), viso (sid_81), vuoto (sid_481), zoo (sid_376)",872,51.48
S11e,50,2.95%,39,3.3%,"""22 dicembre"" di L. Lamano (sid_1074), ""22 dicembre"" di L. Lamano (sid_1086), (proprio) otto (sid_779), 3 (sid_962), 79_tranquillità (sid_865), 8 (sid_967), A casa (sid_993), Euro_poesia (sid_1178), Re (sid_971), bravo (sid_126), bravo (sid_150), buon divertimento (sid_199), calabria (sid_664), configurazione glifo 3 (sid_915), donna (sid_139), donna (sid_66), femmina (sid_113), fra tre anni (sid_687), frase_4_8 (sid_30), molto ricco (sid_295), ottavo piano (sid_768), otto (sid_153), otto (sid_243), otto (sid_252), otto (sid_62), otto mesi (sid_690), otto ore (sid_766), posizionamento delle automobili’ (sid_539), primo piano terzo piano (sid_770), rana (sid_462), ricco (sid_475), segnare (sid_304), segni (sid_142), segno (sid_87), segno nome chiara (sid_290), sicilia (sid_663), tre (sid_239), tre (sid_567), tre anni fa (sid_686)",922,54.43
S144,48,2.83%,34,2.87%,"02_pelle d oca (sid_792), 17_caritro_picchio_LIS_MM (sid_1017), 17_caritro_picchio_LIS_MM (sid_1018), 17_caritro_picchio_LIS_MM (sid_1019), 17_caritro_picchio_LIS_MM (sid_1020), 17_caritro_picchio_LIS_MM (sid_1021), 4 (sid_172), 4 (sid_963), 4 (sid_997), 57_emozionarsi (sid_843), 75_raddrizzare i capelli (sid_860), 9 (sid_968), LIS_picchio_02_AB (sid_1122), LIS_picchio_02_AB (sid_1123), LIS_picchio_02_AB (sid_1126), LIS_picchio_02_AB (sid_1127), Nome (sid_100), a vimini (sid_439), adriano (sid_212), configurazione glifo 4 (sid_919), fila (sid_58), luca (sid_88), luca (sid_92), nome (sid_101), nome (sid_106), nove (sid_244), nove (sid_245), nove (sid_254), persona innamorata (sid_590), quattro (sid_240), quattro facce (sid_642), ragn uovo scende (picchio 6/17) (sid_744), ragnatela (picchio 4/17) (sid_742), ragnatela uovo cade (picchio 5/17) (sid_743)",970,57.26
