Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S100,5,19.23%,4,23.53%,"day (sid_8), go (sid_5), one (sid_7), walk (sid_20)",5,19.23
S16f,4,15.38%,3,17.65%,"I (sid_1), bus (sid_14), long-ago (sid_18)",9,34.62
S15d,4,15.38%,2,11.76%,"daily (sid_19), school (sid_3)",13,50.0
S14c,2,7.69%,1,5.88%,finish (sid_21),15,57.69
S1d8,2,7.69%,1,5.88%,free (sid_17),17,65.38
S171,2,7.69%,1,5.88%,get-on (sid_15),19,73.08
S142,2,7.69%,1,5.88%,people (sid_11),21,80.77
S10e,2,7.69%,2,11.76%,"see (sid_10), standing (sid_13)",23,88.46
S150,2,7.69%,2,11.76%,"standing (sid_13), waiting (sid_12)",25,96.15
S1f4,1,3.85%,1,5.88%,think (sid_16),26,100.0
