Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15a,11,13.1%,8,16.67%,"Colorado (sid_37), READ (sid_49), again (sid_17), different (sid_11), forgive (clean) (sid_30), past (yesterday) (sid_22), time (sid_13), walk (sid_21)",11,13.1
S14c,8,9.52%,3,6.25%,"America (amelika, USA) (sid_3), bafa (bath) (sid_31), wait (sid_36)",19,22.62
S100,7,8.33%,6,12.5%,"CHIUTA (GOD) (sid_15), Chiuta (God) (sid_4), NJANI (WHO) (sid_51), same (sid_12), time (sid_13), you (sid_39)",26,30.95
S16d,7,8.33%,5,10.42%,"Colorado (sid_37), church (sid_20), galimoto (car) (sid_2), in (into) (sid_16), ye'bo (thank you) (sid_9)",33,39.29
S115,5,5.95%,3,6.25%,"deaf (sid_32), name (sid_34), sit (sid_46)",38,45.24
S113,4,4.76%,1,2.08%,teacher (sid_41),42,50.0
S106,4,4.76%,1,2.08%,friend (sid_26),46,54.76
S19a,4,4.76%,3,6.25%,"CHIFUKWA ULI? (WHY?, FOR WHAT REASON?) (sid_50), cow (sid_19), yayi (no) (sid_29)",50,59.52
S10a,3,3.57%,2,4.17%,"moçambique (sid_100), time (sid_18)",53,63.1
S185,3,3.57%,3,6.25%,"eat (sima) (sid_10), in (into) (sid_16), nsima (sid_23)",56,66.67
S10e,3,3.57%,2,4.17%,"READ (sid_49), name (what is your name?) (sid_28)",59,70.24
S182,2,2.38%,1,2.08%,again (sid_17),61,72.62
S181,2,2.38%,1,2.08%,Yesu (Jesus) (sid_5),63,75.0
S11d,2,2.38%,1,2.08%,teacher (sid_41),65,77.38
S1c5,2,2.38%,1,2.08%,Yesu (Jesus) (sid_5),67,79.76
S153,2,2.38%,1,2.08%,crocodile (sid_7),69,82.14
S112,1,1.19%,1,2.08%,fanta (coke) (sid_27),70,83.33
S192,1,1.19%,1,2.08%,I (me) (sid_38),71,84.52
S150,1,1.19%,1,2.08%,kukondwa (happy) (sid_45),72,85.71
S15b,1,1.19%,1,2.08%,many (sid_35),73,86.9
S11b,1,1.19%,1,2.08%,chitumbuka (sid_42),74,88.1
S176,1,1.19%,1,2.08%,fanta (coke) (sid_27),75,89.29
S110,1,1.19%,1,2.08%,njoko (snake) (sid_6),76,90.48
S19c,1,1.19%,1,2.08%,plane (sid_8),77,91.67
S141,1,1.19%,1,2.08%,school (sid_40),78,92.86
S118,1,1.19%,1,2.08%,sit (sid_46),79,94.05
S15d,1,1.19%,1,2.08%,"CHIFUKWA ULI? (WHY?, FOR WHAT REASON?) (sid_50)",80,95.24
S10b,1,1.19%,1,2.08%,today (sid_47),81,96.43
S101,1,1.19%,1,2.08%,today (sid_47),82,97.62
S145,1,1.19%,1,2.08%,come (sid_14),83,98.81
S147,1,1.19%,1,2.08%,Chiuta (God) (sid_4),84,100.0
