Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S14c,207,10.15%,145,11.45%,"10 (sid_560), 15 (sid_1890), 25 (sid_815), 5 (sid_523), 5 (sid_555), 50 (cincuenta) (sid_591), 50 (sid_832), Alabanza (sid_464), Amen (sid_469), Arbol (sid_446), Armando Cruz (sid_550), Arroz (sid_667), Asl (sid_677), Bonito (sid_196), CL BANDERA  01 ACF (sid_668), CL BANDERA 02 ACF (sid_669), CL MONTAÑA (sid_1910), Cayo (sid_390), Cayéndose la casa (sid_352), Cinco (sid_271), Cine (sid_192), Cine (sid_318), Deletrear (sid_213), Dentro (sid_326), ESPACIO+ESPACIO (sid_409), Eduardo Guzmán (sid_1936), Escritura de los signos LSM (sid_539), Escritura de señas (sid_664), Escritura de señas (sid_666), Espiar (sid_358), Fuego (sid_368), Gracias (sid_679), Gusano (sid_2075), HOPS (sid_308), Hijo (sid_324), LSM ""R.M.N."" 1 (sid_1003), LSM ""R.M.N."" 2 (sid_1004), LSM ""R.M.N."" 2 (sid_1005), LSM ""R.M.N."" 3 (sid_1006), LSM 2.00 (sid_627), Lengua señas (sid_671), MANOS 1 (sid_2106), MOV. ASOCIATIVOS SORDOS DE JALISCO (sid_1009), Morelos 1 (sid_743), Muchas Gracias (sid_678), Novia (sid_417), Nuevo León 1 (sid_746), Olvidar (sid_849), Online (sid_1010), Online (sid_1300), Online (sid_1301), Online (sid_970), Online (sid_973), Online (sid_984), Online (sid_985), Orgullo (sid_489), Pies (sid_1948), Piña (sid_2074), ROSTRO+ESPACIO (sid_410), Registro (sid_2030), SOL (sid_1911), Seña (sid_264), Sonora (sid_755), Tenango de doria (sid_393), Veterinario (veterinario) (sid_445), Whatsapp (sid_944), YO-YO (sid_2022), Ya (sid_387), amar (amor, (love)) (sid_1382), angel (sid_1955), arbol (sid_1972), arbol (sid_249), asco (sid_1383), basketball (sid_167), cansado ((tired)) (sid_1385), carne (sid_607), cebra (sid_420), cine (sid_223), cl1 (sid_1103), continente (sid_427), cual (sid_692), descuidar ((to neglect)) (sid_1538), despedido (sid_775), destruir ((to destroy)) (sid_1539), disposicion a actuar (sid_461), es modelo (sid_872), escritura de señas LSM (sid_548), esperar (sid_807), fifteen (sid_40), fifth (sid_8), fifty (sid_78), five (sid_124), five (sid_168), fly (sid_74), full (sid_141), grande (tamaño) (sid_797), hija (sid_421), hipocrita o doble cara (sid_458), increíble (sid_1326), llamarse ((to be called)) (sid_1549), lleno (sid_150), lograr ((to achieve)) (sid_1551), lose (sid_133), lugar (sid_693), mano (sid_861), mano (sid_862), mano (sid_870), manos (sid_376), manos (sid_377), manos (sid_378), manos (sid_379), mar (sid_424), matar ((kill)) (sid_1432), morning (sid_14), new (sid_50), newspaper (sid_5), no tener (sid_380), nuevo (sid_633), números 1 al 10 (sid_1957), números 1 al 10 (sid_1958), olvidar ((to forget)) (sid_1526), partes (sid_690), participar (sid_675), perder (sid_702), posponer ((leave for later)) (sid_1554), read (sid_154), regañar ((scold)) (sid_1299), se va (sid_771), search (sid_157), search (sid_39), sign (sid_81), son (sid_123), son (sid_135), sucio ((dirty), ensuciar) (sid_1528), ten (sid_110), ten (sid_64), tengo (sid_1954), todos_1 (sid_689), traer ((bring)) (sid_1307), triste (sid_236), vamos (sid_303), volleyball (sid_155), want (sid_128), yo-yo (sid_1991), Árbol (sid_549)",207,10.15
S15d,124,6.08%,89,7.03%,"Adiós (sid_365), Azul (sid_2036), BORREGO (sid_2016), Bienvenido (sid_799), Borrego (sid_2051), Borrego (sid_2052), Borrego (sid_2086), Buenos-dias (sid_58), Calendario (sid_300), Camino (sid_363), Capítulo (sid_2028), Cerdo (sid_2079), Ciudad de México (sid_733), Color Gris (sid_2046), Color Negro (sid_2041), Color Rosa (sid_2044), Color Verde (sid_2040), Como (sid_2029), Comprar (sid_351), Construir (sid_345), Delfín (sid_2080), Discapacidad (sid_763), Famosa (sid_416), Hola (hola) (sid_436), Intentar (sid_850), Madre, mamá (sid_344), Mariposa (sid_2087), Milagro (sid_322), Mio (sid_787), Negro (sid_405), No haber (No hay) (sid_282), Online (sid_1630), Parar, Pararse (sid_350), Pasado (sid_385), Pescado (sid_1), Pez (sid_2077), Pez (sid_2088), Puerco, Cedro, Cochino, Marrano (sid_342), Registro (sid_2030), Tamaulipas (sid_758), adios (adiós) (sid_595), alegre (alegría) (sid_1380), arbol (sid_1972), azul (cian) (sid_585), black (sid_96), blue (sid_48), boat (sid_6), borrego (sid_1973), calma (calmado, calmar, (calm)) (sid_1384), caminar ((to walk)) (sid_1530), clock (sid_44), compartir (sid_596), confiar (confianza) (sid_701), encogerse ((to shrink)) (sid_1541), entender ((understand)) (sid_1425), escribir (lectura, escritor) (sid_649), esperar (sid_807), estornudar ((to sneeze), estornudo) (sid_1531), futuro (sid_784), gracias (sid_1377), gracias (sid_599), haber (sid_253), heroes (sid_814), ir ((to go), irse) (sid_1556), limpiar (sid_1310), lograr ((to achieve)) (sid_1551), manzana (sid_163), mes ((month)) (sid_1390), mes (meses) (sid_577), mes (meses) (sid_611), mexicano (sid_863), nadar (sid_604), no ahora (sid_783), no saber ((not knowing)) (sid_1525), notebook (sid_27), pasado (sid_778), pen (sid_153), pm (sid_1108), por (sid_777), read (sid_154), repeat (sid_165), repetir (sid_252), room (sid_72), saber ((to know)) (sid_1524), taco (sid_224), verde color (sid_816), volar (sid_1956), what-time-is-it (sid_54), ya (sid_788)",331,16.23
S15a,117,5.74%,81,6.4%,"2000 (dos mil) (sid_634), Bandera (sid_806), Bienvenido (bienvenido) (sid_484), Bienvenido (bienvenido) (sid_486), CASA (sid_1963), CL DORMIR (sid_1907), Casa (sid_343), Cayéndose la casa (sid_352), Espejo (sid_699), Gracias (sid_190), Gracias (sid_255), Imposible (imposible) (sid_443), Ingeniero (sid_244), Manzana (sid_164), Manzana (sid_2083), Mariposa (sid_2055), Mes (sid_313), Online (sid_1000), Online (sid_1088), Online (sid_1170), Online (sid_1173), Online (sid_1174), Online (sid_1243), Online (sid_1287), Online (sid_1376), Online (sid_1563), Online (sid_1636), Online (sid_1637), Online (sid_1837), Online (sid_1969), Online (sid_979), Online (sid_981), Online (sid_982), Online (sid_983), Online (sid_992), Online (sid_996), Online (sid_998), Pluma (sid_11), Presidente (sid_245), RELOJ (sid_2024), Responsable / Responsabilidad (responsable / responsabilidad) (sid_454), Suficiente (suficiente) (sid_442), Tener (sid_193), arbol (sid_249), buen (sid_709), car (sid_144), cobrar ((charge money)) (sid_1537), cook (sid_122), deseo (sid_792), envelope (sid_68), exagerar (exagerado) (sid_1323), foca (sid_1975), friend (sid_12), friend (sid_94), good-morning (sid_151), green (sid_131), isla (sid_1977), isla (sid_429), kitchen (sid_147), koala (sid_1979), leccion (sid_238), letter (sid_23), mariposa (sid_1982), mesa (sid_251), more (sid_25), morir ((to die)) (sid_1433), newspaper (sid_5), pagar ((to pay)) (sid_1304), paren de pelear (sid_335), por favor (sid_844), recibir ((to recieve)) (sid_1533), reloj (sid_1985), rice (sid_31), señora_1 (sid_765), stamp (sid_37), virgen (sid_767), wallet (sid_34), white (sid_82), why (sid_102), why- (sid_18), Árbol (sid_549)",448,21.96
S100,95,4.66%,84,6.64%,"1 (sid_519), Agua (sid_310), Agua (sid_311), Caballo (sid_945), Cien (sid_842), Comunidad Sorda (sid_2031), Dentro (sid_326), Diferente (sid_212), Difícil (sid_198), Ella (sid_386), Famosa (sid_416), Gusano (sid_2075), Hermano (sid_216), LIBRAS (sid_940), Llorar (sid_200), Lápiz (sid_397), Mandarina (mandarina) (sid_439), Mujer (sid_821), Online (sid_1238), Online (sid_1703), Online (sid_1706), Online (sid_1707), Online (sid_1751), Online (sid_1845), Para (sid_1949), Qué? (sid_204), Sorda (sid_423), Sordo (sid_211), Uno (1, uno) (sid_551), Uno (sid_65), Yo (sid_381), Yo (yo) (sid_437), Yo (yo) (sid_451), Z (sid_515), Z. (sid_1919), Zacatecas (sid_762), anciana (sid_415), cien (100) (sid_622), donde (sid_687), enfermo (enfermar) (sid_1291), enojar (sid_1311), equal (sid_139), first (sid_62), futbol (sid_59), hija (sid_421), hora (horario) (sid_650), hundred--one (sid_33), lapiz (sid_1980), lograr (logro, conseguir, (to achieve)) (sid_1550), mano (sid_870), marcharse (irse, (to go and leave)) (sid_1546), me (sid_63), mi frima es Lilia Ofir (Lily) (sid_855), muchacha (sid_422), nacional (sid_619), nacional (sid_670), no (sid_1941), no (sid_1942), números 1 al 10 (sid_1957), números 1 al 10 (sid_1958), ojos (sid_1994), one (sid_9), open-door (sid_45), oración (sid_1399), ordenar (sid_1398), parque (sid_220), parque (sid_533), pencil (sid_79), persona sordo (auditivo, auditiva, persona sorda) (sid_563), que (sid_1950), que_1 (sid_780), representa (sid_808), señora_1 (sid_765), solo (sid_234), sordociega (sid_1896), swimming-pool (sid_104), why (sid_102), why- (sid_18), woman (sid_148), woman (sid_89), yo (sid_394), yo (sid_776), z... (sid_1925), ¿Quién? (sid_208)",543,26.62
S16d,86,4.22%,65,5.13%,"Acompañar con los 3 (sid_360), Aguascalientes (sid_727), Baja California (sid_728), Baja California Sur (sid_729), C (sid_492), C (sid_716), C. María Hernández (sid_1934), Caja Abrir (sid_661), Calendario (sid_300), Cama (sid_194), Cancún (sid_418), Capítulo (sid_2028), Cariño (Querer) (sid_320), Chiapas (sid_731), Chihuahua (sid_732), Clases (sid_327), Coahuila (sid_734), Color Café (sid_2038), Comunidad Sorda (sid_2031), Cosas (sid_332), Cuidar (sid_346), Cultura (sid_294), Curiosidad (sid_414), Discapacidad (sid_763), Espiar (sid_358), Ladrillo (sid_359), MERCEDES (sid_2015), Mariana Cabrero (sid_865), Nuevo León 1 (sid_746), Online (sid_1000), Online (sid_1001), Online (sid_1209), Online (sid_1637), Online (sid_1751), Online (sid_999), PATRICIA (sid_2012), PONCHE (sid_449), SANDIA (sid_2020), SANTA CLOUS (sid_448), Sandía (sid_2054), Sandía (sid_2084), Tapa Abrir (sid_662), amistad1 (sid_656), beber (tomar) (sid_613), ca (sid_1105), café (sid_708), caliente (sid_217), cereal (sid_608), cien (100) (sid_622), coffee (sid_117), coffee (sid_88), comunidad (sid_624), cultura (sid_629), empoderamiento (sid_630), friend (sid_94), hot dog (sid_598), hundred--one (sid_33), notebook (sid_27), nuevo (sid_633), room (sid_72), sandia (sid_1986), secreto (secreta) (sid_597), una frase (sid_328), ¿Como? (sid_188), ¿Cuándo? (sid_207)",629,30.83
S1f5,85,4.17%,62,4.9%,"11 (sid_565), 11 (sid_824), 16 (sid_564), 6 (sid_524), 6 (sid_556), A (sid_711), Abril (sid_2003), Alumno (sid_266), Amen (sid_469), Armando Cruz (sid_550), Cada (sid_790), Carmen Adelina (sid_866), Ciudad de México (sid_733), Color Amarillo (sid_2043), Lástima (sid_277), MOV. ASOCIATIVOS SORDOS DE JALISCO (sid_1009), Mes (sid_313), Médico, Doctor (sid_338), Online (sid_1722), Seis (sid_270), Tipo Seis de Contactos (sid_610), a (sid_1336), abuelos (sid_1971), actividad (sid_612), amor 1 (sid_653), ayer (sid_587), año2 (sid_632), cambiar_1 (sid_706), carro (auto, automóvil, coche, (car)) (sid_1534), competir ((to compete)) (sid_1527), conducir (manejar, (to drive)) (sid_1535), contigo (sid_247), destruir ((to destroy)) (sid_1539), eleven (sid_106), entender ((understand)) (sid_1425), envelope (sid_68), h (sid_1405), hoy (sid_230), letter (sid_23), luego (después, (later)) (sid_1400), mes ((month)) (sid_1390), mes (meses) (sid_611), mi frima es Lilia Ofir (Lily) (sid_855), no poder ((can't)) (sid_1421), no saber ((not knowing)) (sid_1525), números 1 al 10 (sid_1957), números 1 al 10 (sid_1958), otro (sid_232), quedarse ((to stay)) (sid_1552), razonar (razón) (sid_1293), rice (sid_31), siempre_1 (sid_707), six (sid_10), sixteen (sid_99), sixth (sid_112), soldado (sid_240), stamp (sid_37), stay (sid_107), student (sid_41), traer ((bring)) (sid_1307), una frase (sid_328), understand (sid_55)",714,35.0
S10e,84,4.12%,64,5.06%,"2 (sid_520), 2 (sid_552), 2000 (dos mil) (sid_634), Bienvenido (bienvenido) (sid_486), Bienvenido (sid_799), CL ACOMPAÑAR 2 (sid_1912), Ciudad de México (sid_733), Color Verde (sid_2040), Cucaracha (sid_398), Cucaracha (sid_399), Cucaracha (sid_402), DeafVivaracha (sid_406), Dos (sid_272), Estado de México (sid_737), Father (sid_86), Ignorante (sid_472), Ingeniero (sid_244), JAVIER (sid_2008), Jaguar (sid_467), Mexico (sid_143), Mexico (sid_172), México (Mexico) (sid_487), México (sid_2032), Online (sid_1038), Online (sid_1233), Online (sid_1802), Online (sid_1885), P (sid_1099), Parar, Pararse (sid_350), STAR (sid_35), V (sid_511), VEN (VEN) (sid_1909), Veracruz (sid_760), Viridiana Ceja (sid_1940), Voluntad (voluntad) (sid_453), adjetivo (adjetivos) (sid_581), cabra (sid_457), caminar ((to walk)) (sid_1529), estrella (sid_15), estrella (sid_250), green (sid_131), luchar (sid_606), números 1 al 10 (sid_1957), números 1 al 10 (sid_1958), paren de pelear (sid_335), parque (sid_220), parque (sid_533), pelear ((fight)) (sid_1297), second (sid_127), see (sid_115), twenty-five (sid_145), two (sid_166), ucaracha (sid_400), ucaracha (sid_401), va (sid_1107), ver (sid_1908), verbo (verbos) (sid_582), verde color (sid_816), vestir ((to wear clothes)) (sid_1308), viernes (sid_237), vigilar (sid_1309), virgen (sid_767), viudo (viuda) (sid_603), volcan (sid_426)",798,39.12
S1dc,66,3.24%,46,3.63%,"12 (sid_566), 12 (sid_823), 17 (sid_827), 7 (sid_525), 7 (sid_557), Color Gris (sid_2046), Especial (especial) (sid_456), G (sid_717), Graduar (sid_388), L (sid_501), LSM 3.00 (sid_628), Lily (sid_867), Ll (sid_696), Ll (sid_722), Nuevo Léon 2 (sid_747), Online (sid_1213), Online (sid_1218), Online (sid_1861), Online (sid_1889), Prepa 7 (sid_2114), RODRIGO (sid_2013), Tlaxcala (sid_759), dolores hidalgo (sid_1945), encuentra sol (sid_1944), feo (sid_174), glm (sid_1111), grupo (sid_229), guadalupe (sid_768), guanajuato (sid_1943), guanajuato (sid_1961), leccion (sid_238), leche (sid_231), lento ((slow)) (sid_1428), like (sid_160), limpiar (sid_1310), lsm (lengua de señas) (sid_625), luego (después, (later)) (sid_1400), lugar (sid_693), luz ((light)) (sid_1419), marcharse (irse, (to go and leave)) (sid_1546), mañana (sid_588), night (sid_118), seven (sid_66), seventeen (sid_85), twelve (sid_7), una frase (sid_328)",864,42.35
S192,61,2.99%,46,3.63%,"I (sid_498), Imposible (imposible) (sid_443), Independiente (sid_258), Internacional (sid_682), J (sid_499), J. (sid_1906), JAMAS (sid_1921), JAVIER (sid_2008), JEHOVA (sid_298), JUNIO (sid_1898), Jitomate (jitomate) (sid_441), Jorge Israel (sid_1935), Jorge Israel (sid_2021), Junio (sid_1997), NOEMI (sid_2027), Online (sid_1215), Online (sid_1216), Online (sid_1756), Online (sid_1757), Online (sid_1874), Online (sid_1885), Online (sid_1889), PATRICIA (sid_2012), RODRIGO (sid_2013), Si (sid_202), TANIA (sid_2010), absurdo (sid_601), carpintero (sid_241), dolores hidalgo (sid_1945), guanajuato (sid_1943), guanajuato (sid_1961), igual_1 (sid_705), ilka (sid_536), imagen (sid_703), institucionales (sid_614), internacional (sid_2101), internacional 2 (sid_2103), isla (sid_1977), isla (sid_429), j (sid_530), j (sid_572), junio (sid_642), los testigos de jehova (sid_289), play (sid_51), same (sid_103), una frase (sid_328)",925,45.34
S147,50,2.45%,38,3.0%,"9 (sid_527), 9 (sid_559), B (sid_1097), B (sid_491), Baja California (sid_728), Baja California Sur (sid_729), Biblia (sid_309), Bien (sid_290), Binance (sid_616), Blanco (sid_404), Brasil (sid_2033), Burro (sid_1926), Burro (sid_2053), Caja Abrir (sid_661), Color Beige (sid_2047), Color Blanco (sid_2037), Color Morado (sid_2045), Escapar (sid_353), Mundial (sid_1922), Noventa (sid_840), Online (sid_1208), Online (sid_980), Saber (sid_470), Spanish (sid_38), Ventana Abrir (sid_659), Ventana Abrir (sid_660), baño ((bathroom)) (sid_1426), baño (sid_222), baño2 (sid_631), binance (sid_621), blanco color (sid_818), good-morning (sid_151), mamá (madre, (mother,  mom)) (sid_1402), nine (sid_73), nine (sid_92), números 1 al 10 (sid_1957), números 1 al 10 (sid_1958), white (sid_82)",975,47.79
