Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S100,27,13.43%,20,13.7%,"DIFICIL (dificil, difícil, Difícil) (sid_137), Hermano (hermano) (sid_127), Hombre (varón, hombre) (sid_126), No (sid_33), Padre (sid_12), Silencio (silencio, SILENCIO) (sid_131), Yo (sid_14), cien (100) (sid_104), diferente (sid_65), igual (sid_59), loco (sid_100), mentiroso (sid_85), no (No, NO) (sid_130), palabra (sid_47), pastor (sid_6), sordo (sid_25), sordo (sid_73), sordo (sid_8), uno (1) (sid_49), uno (sid_17)",27,13.43
S15d,19,9.45%,15,10.27%,"Bebé (bebé) (sid_128), DIENTES (sid_7), Quien (quien) (sid_72), Sicuani (sid_94), aprender (Aprender, APRENDER) (sid_150), ayudar (Ayudar, AYUDAR) (sid_151), ayudar (sid_76), fácil (sid_109), gracias (¡Gracias!) (sid_62), gracias (¡Gracias!) (sid_63), ley (sid_69), muchas  gracias (sid_79), muchas  gracias (sid_80), vaso (sid_115), árbol (sid_66)",46,22.89
S15a,17,8.46%,10,6.85%,"Bajar (bajar, BAJAR) (sid_132), Bebé (bebe, bebé) (sid_129), Casa (sid_13), Madre (sid_10), Tiempo (fútbol, voley) (tiempo, TIEMPO) (sid_136), blanco (sid_155), leer (Leer, LEER) (sid_149), libro (LIBRO, Libro) (sid_142), libro (sid_118), papá (padre) (sid_36)",63,31.34
S14c,14,6.97%,11,7.53%,"cinco (5) (sid_44), cinco (sid_22), colores (sid_116), diez (sid_32), esperar (sid_46), flor (sid_67), hacer señas (sid_34), nueve (sid_31), seis (sid_28), sol (sid_75), árbol (sid_66)",77,38.31
S10e,12,5.97%,12,8.22%,"PERÚ (sid_152), Perú (sid_147), Perú (sid_16), dos (2) (sid_50), dos (sid_18), doscientos (200) (sid_108), leer (Leer, LEER) (sid_149), segundo grado (sid_15), verde (sid_154), verde (sid_9), viernes (sid_110), viernes (sid_159)",89,44.28
S1f5,9,4.48%,9,6.16%,"Hermano (hermano) (sid_127), a (A) (sid_92), agua (sid_64), ayudar (Ayudar, AYUDAR) (sid_151), ayudar (sid_76), azul (sid_153), diez (10) (sid_53), domingo (sid_111), faltar (sid_83)",98,48.76
S1ed,7,3.48%,5,3.42%,"humano (ser_humano) (sid_88), humanos (sid_90), persona (sid_87), personas (sid_89), policía (sid_106)",105,52.24
S1f7,6,2.99%,4,2.74%,"Hermano (Hermana, brother, sister) (sid_4), NÚMERO (número, Número, numero) (sid_139), marrón (sid_157), piedra (sid_68)",111,55.22
S19a,6,2.99%,5,3.42%,"Yo (yo) (sid_114), Yo (yop) (sid_113), ahora (sid_58), igual (sid_60), telefonear (TELEFONEAR, Telefonear, llamar por teléfono) (sid_144)",117,58.21
S11a,6,2.99%,3,2.05%,"respeto (A_Ich_brauche_Hilfe_Woe?_Die_Haende_und_Pfeile_Keine_Ahnung..) (sid_86), rojo (sid_156), rojo (sid_45)",123,61.19
