Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15d,211,13.44%,144,16.84%,"2-weeks (sid_377), 3-floors (sid_215), 3-weeks (sid_417), Canaan (sid_222), Ham (sid_287), Japhet (sid_593), Matthew (sid_41), Paul (sid_484), Peter (sid_104), Philippines (sid_638), Shem (sid_640), again (sid_786), airport (sid_239), all (sid_198), all-around (sid_875), angel (sid_411), arm (sid_592), ascension-to-haeven (sid_903), ascension-to-heaven (sid_904), ask-money (sid_578), avoid (sid_440), back (sid_178), bad (sid_202), bawal (sid_704), before (sid_719), between (sid_627), birth (sid_95), blood (sid_268), bother (sid_74), build (sid_538), buried (sid_900), center (sid_122), chapter (sid_329), city (sid_336), come (sid_132), come-l (sid_272), cook (sid_589), country (sid_726), dark (sid_375), daughter (sid_523), dedication (sid_123), don-'t (sid_92), dont (sid_652), door (sid_38), door (sid_567), empty (sid_14), enter (sid_792), example (sid_213), exchange (sid_618), fat (sid_50), find (sid_765), fly (sid_274), fly-around (sid_815), fold-cloth (sid_142), full (sid_620), future (sid_303), good (sid_151), gospel (sid_93), happy (sid_257), happy (sid_667), hate (sid_156), heaven (sid_301), help (sid_217), help-me (sid_165), his (sid_346), his (sid_748), holy (sid_680), how (sid_118), how (sid_181), improve (sid_259), in-side (sid_467), kill (sid_570), later (sid_763), leak (sid_452), learn (sid_144), learn (sid_52), limit (sid_409), long (sid_241), long-ago (sid_884), mean (sid_494), meat (sid_158), medicine (sid_40), money (sid_764), morning (sid_436), morning (sid_485), my (sid_265), my (sid_785), new (sid_166), original (sid_692), out-side (sid_22), paint (sid_393), park (sid_305), park-mountain (sid_264), past (sid_280), pastor (sid_245), pay (sid_645), peace (sid_82), plan (sid_558), please (sid_254), pray (sid_724), pregnant (sid_535), protect (sid_415), prove (sid_311), put-back (sid_110), raised (sid_902), rape (sid_429), rice (sid_116), rock (sid_610), rules (sid_133), sacrifice (sid_760), sayang (sid_127), serve (sid_471), serve-God (sid_661), sing (sid_893), sky (sid_4), smell-nice (sid_238), some (sid_741), son (sid_543), space (sid_495), tall (sid_340), tall (sid_722), tall (sid_777), thank-you (sid_683), thank-you-God (sid_441), their (sid_129), things (sid_670), unaware (sid_100), verse (sid_611), walk (sid_86), walk-back (sid_48), walk-stumble (sid_135), way (sid_833), weak (sid_510), week (sid_744), what (sid_380), what (sid_449), why (sid_622), wicked (sid_461), will (sid_282), wonderful (sid_225), your (sid_179), your (sid_551), your-God (sid_428), your-pl (sid_707)",211,13.44
S100,133,8.47%,100,11.7%,"1 (sid_698), 1 (sid_80), 1-l (sid_397), 1st (sid_328), 2-person (sid_514), 3-floors (sid_332), 6-months (sid_231), February (sid_522), He-God (sid_879), I (sid_658), July (sid_234), June (sid_44), TRUE (sid_285), Z-z (sid_711), agree (sid_733), always (sid_361), always (sid_612), appear (sid_366), argue (sid_732), argue (sid_783), bawal (sid_704), beak (sid_145), beginning (sid_883), believe (sid_703), black (sid_420), but (sid_424), cancel (sid_533), cant (sid_552), come (sid_456), come-down (sid_896), criticize (sid_795), date (sid_559), day (sid_211), deaf (sid_400), decide (sid_687), deep (sid_836), devil (sid_888), different (sid_431), dry (sid_388), faith (sid_666), fight (sid_626), forever (eternal) (sid_892), friend (sid_389), go (sid_542), grade-1 (sid_10), he (sid_422), inch (sid_503), mad (sid_249), me (sid_205), meet (sid_183), meet (sid_233), memory (sid_443), month (sid_691), never-hear-that (sid_797), no-more (sid_62), no-more (sid_779), person-specific (sid_866), plus (sid_736), promise (sid_302), question (sid_656), real (true, actually) (sid_863), refuse-stricat- (sid_407), right (sid_458), satan (sid_37), show (sid_808), show-me-God (sid_831), show-me-sg (sid_334), sign (sid_276), sign (sid_316), sin (sid_705), smooth (sid_773), special (sid_712), stars (sid_454), start (sid_608), success (sid_227), tama (sid_599), there-left (sid_873), there-right (sid_872), they (sid_822), think (sid_263), to (sid_591), trust (sid_849), understand (sid_173), verbs (sid_700), we (sid_579), week (sid_744), what (sid_380), what (sid_449), when (sid_363), when (sid_412), where (sid_3), who (sid_527), word (sid_96), you-God (sid_713), you-pl (sid_157), you-pl (sid_664), you-sg (sid_60), you-sg-l (sid_697), you-sg-ll (sid_266), zoo (sid_468)",344,21.91
S15a,120,7.64%,81,9.47%,"3-days (sid_901), Bible (sid_630), Christmas (sid_347), Deuteronomy (sid_54), Exodus (sid_168), Genesis (sid_106), Leviticus (sid_191), Moses (sid_24), You-God (sid_905), You-God polite form (sid_894), after (sid_715), afternoon (sid_541), attention (sid_721), baby (sid_821), before (sid_719), bless (sid_419), book (sid_172), bury (sid_193), cancel (sid_533), children (sid_398), church (sid_376), clean (sid_644), complete (sid_57), crush (sid_237), day (sid_211), death (dead) (sid_891), deep (sid_836), earthquake (sid_479), evening (sid_459), evening (sid_97), excuse-me (sid_175), flag (sid_727), focus (sid_841), foreigner (sid_480), generation-future (sid_809), grow-up (sid_718), high (sid_159), high (sid_341), high (sid_356), know (sid_115), land (sid_260), law (sid_247), lesson (sid_364), maybe (sid_113), maybe (sid_170), morning-evening (sid_582), movie (sid_767), new (sid_223), night (sid_529), noon (sid_725), open-roof (sid_49), oppress (sid_569), oppress-3 (sid_648), peak (sid_189), person (sid_136), person (sid_318), praise (sid_404), preach (sid_846), pretend (sid_306), problem (sid_304), read (sid_739), risen (sid_19), risen (sid_476), run (sid_646), school (sid_615), send (sid_799), short-person (sid_758), side (sid_584), sing (sid_893), sleep (sid_434), slow (sid_590), special (sid_712), stand-up (sid_410), stop (sid_516), study (sid_482), sunday (sid_197), testimony (sid_826), time-out (sid_642), time-out (sid_716), tree (sid_633), wide (sid_730)",464,29.55
S14c,110,7.01%,72,8.42%,"5 (sid_684), announce (sid_511), beautiful (sid_588), blood (sid_268), blood (sid_550), bye (sid_29), choose (sid_717), crucified (sid_899), destroy (sid_701), dirty (sid_757), does-not-matter (sid_379), everywhere (sid_874), expensive (sid_594), father (sid_720), find (sid_765), fine (sid_298), fingerspell (sid_235), finish (sid_678), fire (sid_251), fire-burn (sid_290), flood (sid_269), flood-mountain (sid_596), get (sid_244), glory (sid_68), here (sid_631), how-many (sid_647), how-much (sid_313), how-much (sid_619), how-much (sid_81), inform (sid_769), jail (sid_406), learn (sid_144), learn (sid_525), leave (sid_25), light (sid_488), man (sid_819), many (sid_64), matter (sid_755), mother (sid_212), mother (sid_805), movie (sid_767), obey (sid_292), obey-God (sid_296), only-one (sid_425), parents (sid_450), promise (sid_302), rainbow (sid_291), reduce (sid_243), sad (sid_528), save (sid_706), show (sid_808), show-me-God (sid_831), show-me-sg (sid_334), smell-come (sid_362), spell (sid_506), spread (sid_250), spread (sid_549), spring (sid_617), study (sid_482), sun (sid_798), throw-cloth (sid_383), tree (sid_633), undress (sid_111), wait (sid_185), wala (sid_868), want (sid_574), where (sid_871), white (sid_319), wind (sid_801), woman (sid_694), wow (sid_621), wow (sid_794)",574,36.56
S1f7,70,4.46%,46,5.38%,"A-B-person (sid_190), A-a (sid_463), A-a-l (sid_548), Aaron (sid_128), Abel (sid_317), Abraham (sid_492), Adam (sid_780), Adam-spelled (sid_199), Allan-Joel-Anicieto (sid_750), Anna (sid_635), Anna-spelled (sid_320), Ararat-spelled (sid_423), Canaan-spelled (sid_787), FA (sid_293), Ham-spelled (sid_555), Japhet-spelled (sid_628), Joshua (sid_445), Kulakog-spelled (sid_139), Legaspi-spelled (sid_255), Maryann (sid_94), Maryann-spelled (sid_403), Mayon-spelled (sid_444), Noah-spelled (sid_258), Tilmag-spelled (sid_289), air (sid_386), alive (sid_865), altar (sid_43), antibiotic-spelled (sid_138), any (sid_880), army (sid_534), attitude (sid_300), aunt (sid_435), bacteria-spelled (sid_69), bactria (sid_696), bless (sid_419), daily (sid_394), daughter (sid_523), everyday (sid_508), go-with (sid_446), how (sid_118), obey (sid_292), obey-God (sid_296), raven-spelled (sid_728), soldier (sid_499), sweetheart (sid_587), with (sid_828)",644,41.02
S115,49,3.12%,35,4.09%,"3rd-Ham (sid_167), H-h (sid_671), Ham (sid_287), Ham-spelled (sid_555), Hi (sid_844), Japhet-spelled (sid_628), Kulakog-spelled (sid_139), Mariano (sid_283), Nana (sid_747), Noah-spelled (sid_258), Norway (sid_176), Numbers (sid_604), Shem-spelled (sid_85), Tuberculosis-spelled (sid_754), U-u (sid_46), buried (sid_900), bury (sid_193), funny (sid_586), hand (sid_365), head (sid_834), hell (sid_889), help (sid_217), help-me (sid_165), high (sid_159), high (sid_341), high (sid_356), holy (sid_680), hospital (sid_695), hurt (sid_601), name (sid_531), number (sid_553), sex (sid_180), sit (sid_253), soon (sid_273), uncle (sid_561)",693,44.14
S140,47,2.99%,34,3.98%,"Japhet-spelled (sid_628), K-k (sid_513), Kulakog (sid_501), Kulakog-spelled (sid_139), Legaspi-spelled (sid_255), P-p (sid_90), Pamela-Pearl (sid_76), Passover (sid_200), Paul (sid_484), Peter (sid_104), Philippines (sid_638), careful (sid_515), keep (sid_817), keep-me (sid_623), kill (sid_570), knee (sid_810), pain (sid_686), pain-arm (sid_372), pain-chest (sid_391), pain-throat (sid_288), pastor (sid_245), pay (sid_645), people (sid_502), plan (sid_558), plant (sid_194), plant (sid_58), power (sid_660), preach (sid_781), pregnant (sid_535), prepare (sid_385), priest (sid_562), punish (sid_53), purpose (sid_470), two (sid_803)",740,47.13
S176,44,2.8%,35,4.09%,"Exodus (sid_331), Kulakog-spelled (sid_139), Ligao (sid_79), Lingyon-spelled (sid_496), Mayon-spelled (sid_444), Noah-spelled (sid_258), O-o (sid_230), Tuberculosis-spelled (sid_754), antibiotic-spelled (sid_138), dove-spelled (sid_537), drop (sid_78), how-much (sid_313), how-much (sid_619), how-much (sid_81), in (sid_310), in-side (sid_467), many (sid_580), many (sid_64), no-more (sid_62), no-more (sid_779), none (sid_806), nothing (sid_214), ocean (sid_355), offering (sid_72), ok (sid_859), olive-spelled (sid_36), our (sid_374), out (sid_526), out-side (sid_22), over (sid_15), spirit (sid_466), wala (sid_600), wow (sid_91), zero (sid_261), zoo (sid_468)",784,49.94
S185,42,2.68%,29,3.39%,"Exodus (sid_331), accept (sid_108), announce (sid_511), banana-heart (sid_669), beautiful (sid_588), boy (sid_324), criticize (sid_795), few (sid_791), forget (sid_751), gone (sid_216), heal (sid_491), husband (sid_536), in (sid_310), in-side (sid_467), inform (sid_769), learn (sid_144), learn (sid_525), light (sid_488), man (sid_563), man (sid_819), out (sid_526), out-side (sid_22), put (sid_350), sad (sid_528), sand (sid_517), son (sid_543), story (sid_643), sun (sid_798), teach (sid_42)",826,52.61
S10e,41,2.61%,31,3.63%,"2 (sid_675), 2 (sid_679), 2-weeks (sid_377), 3-floors (sid_332), Mayon (sid_56), V-v (sid_571), Valentine (sid_837), add (sid_18), ascension-to-haeven (sid_903), ascension-to-heaven (sid_904), bridge (sid_823), check (sid_219), choose (sid_717), dove-spelled (sid_537), fall-arm (sid_196), me-see-God (sid_876), mean (sid_494), olive-spelled (sid_36), raised (sid_902), raven-spelled (sid_728), read (sid_739), risen (sid_476), safe (sid_848), see (sid_654), stand-hand (sid_47), vegetable (sid_224), verbs (sid_147), verbs (sid_700), very (sid_636), victory (sid_387), walk-arm (sid_427)",867,55.22
