Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S100,7,15.22%,7,18.42%,"August (August, August) (sid_27), Decembrie (December, Dezember) (sid_31), Hand 1 (sid_36), Iunie (June, Juni) (sid_25), Noiembrie (November, November) (sid_30), duminică (Transilvania Semne, Sunday, Sonntag) (sid_18), lună (month, Monat) (sid_32)",7,15.22
S10e,5,10.87%,4,10.53%,"luni (Transilvania Semne, Monday, Montag) (sid_12), marţi (Transilvania Semne, Tuesday, Dienstag) (sid_13), marţi (Tuesday, Dienstag) (sid_8), vineri (Friday, Freitag) (sid_11)",12,26.09
S147,5,10.87%,3,7.89%,"bârfă (gossip, Geschwätz) (sid_6), mamă (mother, Mutter) (sid_3), pâine (bread, brot) (sid_1)",17,36.96
S1f5,4,8.7%,2,5.26%,"Septembrie (September, September) (sid_28), joi (Transilvania Semne, Thursday, Donnerstag) (sid_15)",21,45.65
S17b,4,8.7%,2,5.26%,"Romania (sid_35), România (Romania, Rumänien) (sid_20)",25,54.35
S19a,3,6.52%,3,7.89%,"Ianuarie (January, Januar) (sid_21), cine (who, wer) (sid_2), joi (Thursday, Donnerstag) (sid_10)",28,60.87
S1dc,3,6.52%,3,7.89%,"iulie (July, Juli) (sid_26), luni (Monday, Montag) (sid_7), luni (sid_52)",31,67.39
S1ea,2,4.35%,2,5.26%,"Februarie (February, Februar) (sid_22), tată (father, Vater) (sid_4)",33,71.74
S185,2,4.35%,1,2.63%,Romania (sid_35),35,76.09
S15d,2,4.35%,2,5.26%,"miercuri (Transilvania Semne, Wednesday, Mittwoch) (sid_14), vineri (Transilvania Semne, Friday, Freitag) (sid_16)",37,80.43
S182,1,2.17%,1,2.63%,"miercuri (Wednesday, Mittwoch) (sid_9)",38,82.61
S14e,1,2.17%,1,2.63%,"sâmbătă (Saturday, Samstag) (sid_17)",39,84.78
S1ce,1,2.17%,1,2.63%,"Octombrie (October, Oktober) (sid_29)",40,86.96
S14c,1,2.17%,1,2.63%,"Aprilie (April, April) (sid_24)",41,89.13
S118,1,2.17%,1,2.63%,"miercuri (Transilvania Semne, Wednesday, Mittwoch) (sid_14)",42,91.3
S13d,1,2.17%,1,2.63%,"Martie (March, März) (sid_23)",43,93.48
S115,1,2.17%,1,2.63%,"frate (brother, Bruder) (sid_5)",44,95.65
S13f,1,2.17%,1,2.63%,"duminică (Sunday, Sonntag) (sid_19)",45,97.83
S1c5,1,2.17%,1,2.63%,"vineri (Transilvania Semne, Friday, Freitag) (sid_16)",46,100.0
