Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S14c,51,12.56%,41,14.91%,"8 (восемь, eight) (sid_236), 9 (девять, nine) (sid_237), авиация (sid_357), аренда (арендовывать) (sid_429), баскетбол (sid_456), бедный (бедность) (sid_461), беременность (беременная) (sid_465), болезнь (болеть, больной) (sid_405), болезнь (заболевание, болеть) (sid_55), боль (sid_406), больной человек (пациент) (sid_56), восемь (sid_264), грязный (грязно) (sid_18), дед (дедушка, семья) (sid_44), дела (business) (sid_254), дела (business) (sid_255), ждать (to wait) (sid_243), жест (жестовый язык, язык жестов) (sid_379), жидкий (жидкость) (sid_390), зачем? (why?) (sid_251), клавиатура (sid_265), лес (sid_79), лиса (лис, лисица, лисовин) (sid_446), лиса (лисица, лисий, лисовин) (sid_366), математика (Math) (sid_249), место (sid_60), наручные часы (часы) (sid_45), нарушение (нарушиться, нарушено, повреждение, повредить, повреждено) (sid_86), ночь (темный, темно) (sid_51), операция (sid_363), перец (sid_408), пространство (sid_61), пять (5) (sid_11), семь (7) (sid_42), семья (sid_367), слушать (sid_371), терпеть (терпение, patience) (sid_250), территория (страна) (sid_71), цвет (sid_36), часы (sid_466), шесть (6) (sid_41)",51,12.56
S15a,42,10.34%,27,9.82%,"mama (sid_2), В (sid_320), арбуз (sid_423), без (не иметь, нету) (sid_463), бесплатно (price free) (sid_239), будет (sid_426), вход (входить) (sid_377), дом (в доме, домой) (sid_4), если (или) (sid_15), есть (имеется, у меня есть) (sid_83), лучший (sid_428), мама (мать, семья) (sid_6), медленно (медленный) (sid_27), муж (жена) (sid_373), нарушение (нарушиться, нарушено, повреждение, повредить, повреждено) (sid_86), папа (отец, семья) (sid_14), печь (выпекать, пирог) (sid_49), попасть (sid_29), пример (примерно, бы) (sid_88), равенство (sid_76), равновесие (весы) (sid_75), спать (сон) (sid_400), только (хотя, хоть) (sid_57), утро (sid_397), чистый (чисто) (sid_17), чувство (чувствовать, чувствительный) (sid_89), юбка (sid_26)",93,22.91
S15d,40,9.85%,27,9.82%,"Программный язык (sid_263), аборт (sid_352), адрес (sid_413), альбом (sid_374), аминь (sid_416), антенна (sid_419), бабочка (sid_443), банк (sid_452), башня (sid_459), берег (sid_464), бой (бойцовский, драка, драться) (sid_384), был (sid_427), быть (sid_85), вопрос (sid_380), вход (входить) (sid_377), грудь (sid_354), забыть (forget) (sid_245), идти (ходить пешком, ходить, хождение, идти пешком, хождение пешком) (sid_47), кофта (sid_248), мыть посуду (sid_391), нет (sid_389), новый (новость) (sid_396), покупать (купить, покупка) (sid_378), приятно (приятный) (sid_64), программа (программный) (sid_404), спрашивать (sid_381), хлеб (bread) (sid_258)",133,32.76
S100,39,9.61%,29,10.55%,"З (sid_326), Россия (русский) (sid_31), аптека (sid_422), вопрос (sid_380), встречаться (sid_21), глаз (sid_28), зеленый (цвет) (sid_68), змея (sid_361), знать (sid_32), или (sid_399), колоть (колючий) (sid_445), один (1) (sid_7), одиннадцать (11) (sid_81), одинокий (одинок) (sid_43), очень (sid_91), перевод (переводить) (sid_394), по наследству (всегда) (sid_62), попасть (sid_29), похожий (sid_12), страдание (sid_82), странный (необычный) (sid_73), трудно (с трудом, трудный) (sid_90), ты (sid_436), час (sid_469), что (sid_65), чувство (чувствовать, чувствительный) (sid_89), этот (эта, эти) (sid_80), я (sid_435), язык (sid_392)",172,42.36
S1ce,21,5.17%,15,5.45%,"О (sid_333), автомобиль (sid_369), болезнь (болеть, больной) (sid_405), болезнь (заболевание, болеть) (sid_55), боль (sid_406), больной человек (пациент) (sid_56), звук (sid_370), искусство (sid_431), лиса (лисица, лисовин, лис, лисий) (sid_447), муж (жена) (sid_373), наручные часы (часы) (sid_45), октябрь (October) (sid_261), свобода (freedom) (sid_252), часто (sid_63), часы (sid_466)",193,47.54
S115,18,4.43%,13,4.73%,"russia (sid_113), Д (sid_322), К (sid_329), П (sid_334), Ц (sid_341), аминь (sid_416), ангел (sid_418), апрель (sid_421), брат (семья) (sid_19), как (how) (sid_262), мешать (помешать, помеха) (sid_87), сестра (sid_20), туалет (sid_439)",211,51.97
S1f8,15,3.69%,11,4.0%,"А (sid_318), Москва (sid_360), адвокат (sid_411), апрель (sid_421), бабушка (sid_449), банан (sid_451), баран (sid_455), память (помнить) (sid_393), спасибо (благодарить, благодарность) (sid_472), спорт (sport) (sid_247), старый (sid_401)",226,55.67
S10e,15,3.69%,11,4.0%,"Л (sid_330), Программный язык (sid_263), администрация (sid_412), видеть (смотреть) (sid_372), всегда (olvais) (sid_238), два (2) (sid_8), директор (Минск) (sid_53), клуб (sid_385), операция (sid_363), специальный (sid_364), футболка (одежда) (sid_54)",241,59.36
S1a0,13,3.2%,9,3.27%,"Ы (sid_346), авиация (sid_357), аэропорт (sid_434), батарея (аккумулятор) (sid_458), брюки (штаны, одежда) (sid_37), искусственный (sid_432), костюм (sid_387), стол (sid_13), телевидение (телевизор) (sid_386)",254,62.56
S185,11,2.71%,6,2.18%,"Ж (sid_325), общество (общественный) (sid_407), одежда (sid_368), покупать (купить, покупка) (sid_378), прятать (спрятать, to hide) (sid_246), семья (sid_367)",265,65.27
S180,8,1.97%,6,2.18%,"Программный язык (sid_263), бассейн (sid_457), программа (программный) (sid_404), стыд (sid_92), теперь (сейчас, сегодня) (sid_58), хотеть (желать, желание) (sid_25)",273,67.24
S16d,7,1.72%,7,2.55%,"С (sid_336), волк (волчица, волчий) (sid_382), дракон (sid_362), очень (sid_91), перец (sid_408), секунда (sid_467), сентябрь (September) (sid_260)",280,68.97
S1f5,7,1.72%,6,2.18%,"год (sid_402), забыть (forget) (sid_245), месяц (sid_471), неделя (sid_470), хвалиться (sid_257), шесть (6) (sid_41)",287,70.69
S150,7,1.72%,5,1.82%,"антенна (sid_419), бант (sid_454), международный (интернациональный) (sid_356), планета (мир) (sid_78), яблоко (sid_34)",294,72.41
S176,7,1.72%,6,2.18%,"Ё (sid_324), Е (sid_323), бедный (бедность) (sid_461), где (sid_440), дактиль (sid_388), десять (10) (sid_40)",301,74.14
S106,6,1.48%,4,1.45%,"алкоголь (алкогольный) (sid_415), бег (бегать, бежать) (sid_460), плохо (плохой) (sid_74), спорить (спор) (sid_46)",307,75.62
S110,6,1.48%,3,1.09%,"анализ (анализировать) (sid_417), искать (поиск) (sid_59), приходить (sid_409)",313,77.09
S19a,6,1.48%,5,1.82%,"У (sid_338), где (sid_441), желтый (цвет) (sid_69), куда (sid_442), телефон (sid_403)",319,78.57
S1dc,5,1.23%,5,1.82%,"Г (sid_321), Ъ (sid_345), Ь (sid_347), два (2) (sid_23), или (sid_399)",324,79.8
