Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15a,181,28.5%,116,29.22%,"Adam Feedback 14 (sid_323), Adam Feedback 17 (sid_326), Adam Feedback 18 (sid_327), Adam Feedback 19 (sid_328), Adam Feedback 2 (sid_311), Adam Feedback 24 (sid_333), Adam Feedback 3 (sid_312), Adam Feedback 5 (sid_314), Val Feedback 10 (sid_306), Val Feedback 2 (sid_298), Val Feedback 3 (sid_299), Val Feedback 9 (sid_305), book (sid_272), waterfall (sid_355), waterfall (sid_356), waterfall (sid_357), اتباع الرسول (سنة, سنة الرسول) (sid_234), الاثنين، يوم الاثنين (sid_270), الارض منخفض (sid_83), التكبيرة (تكبيرة الاحرام, تكبيرة الصلاة) (sid_251), الحمد (احمد , يحمد , حمد) (sid_347), الخارجية خارجية (sid_367), الخدمة المدنية (sid_366), الركوع (يركع, ركوع, ركع) (sid_252), السلام عليكم (السلام عليكم ورحمة الله) (sid_289), السماء اعلى فوق (sid_36), الصيام (يصوم , صائم , صام , صوم) (sid_344), العشاء (عشاء) (sid_258), العصر (عصر, وقت العصر) (sid_256), العنوان عنوان موضوع الموضوع سورة السورة الاية اية (sid_47), القرآن (كتاب الله القرآن الكريم,, قرآن) (sid_218), المغرب (وقت المغرب) (sid_257), الناس ناس انسان الانسان (sid_35), اليهود (اليهود, اسرائيل) (sid_206), انتهى خلاص (sid_57), بالاضافة زيادة مرة اخرى (sid_105), بعيد يبتعد (sid_24), بيت منزل مسكن سكن (البيت المنزل المسكن) (sid_78), ترجمة يترجم (مترجم) (sid_385), تعبان متعب تعب (sid_348), تفضل ترحيب اهلا (sid_128), جاء حضر اتى قدم (sid_23), جدة (sid_346), جدة (عجوز, امراة كبيرة في السن) (sid_198), جمل (بعير, ناقة) (sid_196), حج (الحج, حجة) (sid_239), حسنات حسنة (sid_107), حمام دورة مياه تواليت (sid_77), حمد يحمد الحمد (sid_216), حيوانات. (sid_187), خدمة خدمات (sid_281), خرج يخر خرجنا خرجت نخرج (sid_122), خرج يخرج خروج نخرج (sid_181), خسوف (الخسوف) (sid_266), خطر خطير مشكلة (sid_56), دخل  في يدخل دخول دخلت دخلنا (sid_71), دعاء (الدعاء, دعى, يدعو, داع) (sid_235), ذبح (اضحية, ضحى, يذبح, اضحى, ذبيحة, يضحي) (sid_260), ركن (الاركان, الركن, اركان) (sid_250), زبدة (sid_341), زيادة اضافة كمان (sid_103), س حرف السين سين (sid_151), ساعة (sid_280), ساعدني (ساعدنا) (sid_373), سجد (سجدة, يسجد, سجود) (sid_253), سمك اسماك حوت (sid_123), سنة اتباع السنة (sid_246), سيارة اجرة (sid_391), شاحنة سيارة نقل كبيرة (sid_394), صدقة (يتصدق) (sid_345), صلاة، الصلاة ، يصلي، صلى (sid_232), ظهر (الظهر) (sid_255), عالي متعال (sid_184), عالي مرتفع (sid_365), فجر (الفجر) (sid_254), فرض الفرض فروض الفروض (sid_244), قطار (sid_386), كتاب (sid_16), كتاب (sid_42), كرة قدم (sid_60), كسوف (الكسوف) (sid_265), مات (ميت, يموت) (sid_262), متاخر (sid_27), مرحبا (اهلا) (sid_288), مساعدة من الله (sid_375), مستقيم (طريق , سراط) (sid_372), مسلم مستقيم استقامة اسلام (sid_124), مكتوب (المكتوب, يكتب, الكتابة, كتابة) (sid_269), ملك ملائكة الملائكة (sid_204), ملك ملائكة جبريل عليه السلام (sid_45), ممتليء امتلأ امتلاء (sid_182), ممر مشاة (sid_390), موضوع (عنوان) (sid_383), مولود طفل رضيع صغير (الطفل الصغير الرضيع المولود) (sid_34), ناعم (نعومة , املس) (sid_342), نفق (sid_387), واجب الواجب واجبات (sid_245), واسطة يتوسط (sid_369), ولادة ، يلد ، تلد , (تضع مولودا, عملية ولادة, ولدت) (sid_201), يؤيد ايد دعم يدعم يقف معه الى جانبه (sid_62), يخاف (خوف, خائف) (sid_263), يخرج عن الطريق (ينحرف , منحرف, يضل , ضال) (sid_380), يدعم (تاييد , دعم , يؤيد) (sid_374), يدعو (دعاء) (sid_212), يركب يصعد على شيء فوق اعلى (sid_79), يساعد (ساعدك, يساعدك, اساعدك) (sid_283), يساعد مساعدة ساعد ساعده (sid_61), يصوم (صيام, صوم, رمضان) (sid_241), يعلمني (علمنا, علمني) (sid_376), يغلق الكتاب اغلق الكتاب (sid_67), يقرأ , قراءة (sid_17), يقلب الصفحة يبحث في كتاب (sid_66), يكبر يزيد ينمو كبر زاد نمى (sid_99), يمحو يمسح يزيل ينظف (sid_98), ينام نام نائم (sid_76), يهودي يهود بني اسرائيل (sid_95)",181,28.5
S100,66,10.39%,51,12.85%,"Adam Feedback 13 (sid_322), Adam Feedback 15 (sid_324), Adam Feedback 22 (sid_331), Adam Feedback 6 (sid_315), Val Feedback 6 (sid_302), mother (sid_294), أعود بالله (sid_247), أنا (I am) (sid_10), اتباع الرسول (سنة, سنة الرسول) (sid_234), احمر (لون احمر, احمر شفاه) (sid_287), اخ اخي شقيق (sid_175), اسم (sid_399), اشرك يشر مشرك شرك الشرك بالله (sid_176), الاسم ،اسم اسمي اسمه اسماء يسمى مسمى تسمية (sid_205), الله (God) (sid_4), ام ماما امي (sid_111), انا (sid_39), انا (sid_43), انا (انا) (sid_275), ب حرف الباء باء (sid_101), تبدل تغير تحول اختلف (sid_173), حية (sid_398), ساعة (sid_280), ساعة (ساعة يد) (sid_282), ساعة (وقت , زمن) (sid_400), سيئة سيئات اخطاء خطأ (sid_108), صح صحيح موافق نعم (sid_179), عبد يعبد عبادة يعبده (sid_229), على (عليه) (sid_378), فرض الفرض فروض الفروض (sid_244), كافر (الكافر) (sid_207), لا , لم , ابدا  neve (sid_7), مئة (مائة) (sid_231), متعدد اكثر من واحد (sid_180), متعدد كثير ترتيب (sid_171), مسيحي (sid_94), معلم (المعلم مدرس المدرس) (sid_174), مكافئ , مماثل مرافق (رفيق شريك) (sid_211), ممنوع الوقوف (ممنوع الانتظار) (sid_389), هذا , هو (تستخدم للاشارة الى شخص او شيء) (sid_5), هنا في الان (sid_116), هنا في الان (sid_82), واجب الواجب واجبات (sid_245), واحد (1) (sid_228), واحد واحدة 1 (sid_30), ولادة ، يلد ، تلد , (تضع مولودا, عملية ولادة) (sid_202), يقابل (قابل , يواجه , وجها لوجه) (sid_339), يقابل يواجه مقابل مواجه (المقابل قابله المواجه) (sid_219), يقصد يتجه ينظر قصد اتجاه نظر (sid_193), يقول يتحدث يخبر يصف يتكلم كلام حديث خبر (sid_104), يوم السبت (السبت) (sid_230)",247,38.9
S14c,45,7.09%,30,7.56%,"5 خمسة خمس خمسا (sid_29), 7 الرقم سبعة سبع (sid_186), Val test 1 (sid_292), waterfall (sid_355), waterfall (sid_356), waterfall (sid_357), اتباع (متبع, يتبع) (sid_214), اتباع الرسول (سنة, سنة الرسول) (sid_234), الرجيم, المطرود , المبعد (sid_15), الغة الاشرة (Sign Language) (sid_11), الفتح (sid_284), ثمار قطاف قطف يقطف قطفت (sid_38), جنة وردة (sid_129), رسول نبي محمد عليه السلام (sid_93), رفع يرف يحيي (sid_126), سنة اتباع السنة (sid_246), ش شين حرف الشين (sid_152), شجرة اشجار (sid_87), شك تردد لا يعرف غير متاكد (sid_96), فاسد فساد خربان يخرب تالف (sid_118), فواكه فاكهة (sid_86), كيف (sid_12), لغة الاشارة (اشارة, لغة اشارة) (sid_224), لغة الاشارة (اشارة, لغة اشارة) (sid_225), متعدد كثير ترتيب (sid_171), مرتاح مبسوط سعيد (sid_55), نبات نباتات اعشاب عشب حشيش (sid_85), يرمي يلقى (رمى القى) (sid_215), يرمي يلقي يطرح (sid_130), يشوش تشويش (sid_53)",292,45.98
S177,40,6.3%,27,6.8%,"Adam Feedback 11 (sid_320), Adam Feedback 12 (sid_321), Adam Feedback 17 (sid_326), Val Feedback 9 (sid_305), الخدمة المدنية (sid_366), الرحمن (رحمن , رحمة , الرحمة, راحم , يرحم) (sid_370), العشاء (عشاء) (sid_258), العيد (عيد) (sid_259), تربية بدنية (تربية رياضية , تمارين رياضية , تدريب رياضي , درس رياضة) (sid_340), تعليم علم يعلم (sid_364), تفسير (تفسير , Interpretation, اعطاء معنى الكلمة  give the meaning) (sid_6), حج (الحج, حجة) (sid_240), حسنة عمل صالح حسنات (sid_97), سعيد مبسوط فرحان (sid_25), صدقة (يتصدق) (sid_345), عمرة يعتمر (sid_249), فاسد فساد خربان يخرب تالف (sid_118), فجر (الفجر) (sid_254), مسيحي (المسيحي) (sid_208), موز موزة (sid_88), ياكل اكل ناكل اكلنا تاكل اكلت ياكلون اكل طعام (sid_75), يتنزه يتمشى (sid_58), يخبر يقول يعلم تعليم (sid_177), يركب يصعد على شيء فوق اعلى (sid_79), يرمي يلقى (رمى القى) (sid_215), يعلم يخبر يحدث يوضح يشرح (sid_102), يعلمه يخبره يحدثه يقول له (sid_132)",332,52.28
S182,24,3.78%,21,5.29%,"Adam Feedback 7 (sid_316), Val Feedback 5 (sid_301), father (sid_293), girl (sid_271), اب ابي بابا (sid_112), الركوع (يركع, ركوع, ركع) (sid_252), النية نية (sid_248), بنت , انثى , امرأة البنت المراة الانثى (sid_3), تعال (sid_59), جاء اتى قدم حضر ياتي يحضر (sid_49), ح حرف الحاء (sid_140), داخلي في نفسي (sid_183), رصيف (sid_388), شارع طريق ممر ممشى (sid_92), شارع, الشارع, الطريق, طريق, ممر , الممر (ذهاب واياب , ذهاب وعودة , الذهاب والعودة) (sid_222), في نفسه داخله في نفسي داخلي  النفس (sid_69), قبل هذا بداية (sid_68), كرة قدم (sid_60), لا يوجد ما في (sid_52), يؤمن يعتقد ايمان اعتقاد الايمان الاعتقاد (sid_48), يعلمني (علمنا, علمني) (sid_376)",356,56.06
S115,23,3.62%,18,4.53%,"Adam Feedback 14 (sid_323), Adam Feedback 16 (sid_325), Adam Feedback 20 (sid_329), Val Feedback 12 (sid_308), name sign (sid_295), السعودية (Saudi arabiaٍ) (sid_9), السعودية (sid_195), بداية ابتداء بدا فتح (sid_70), ت حرف التاء (sid_137), زبدة (sid_341), ع عين حرف العين (sid_157), فتح يفتح (sid_384), ممر مشاة (sid_390), ممنوع الوقوف (ممنوع الانتظار) (sid_389), نجم النجم (sid_361), و مرة اخرى بالاضافة زيادة ثانية اعادة اعد يعيد يكرر كرر (sid_113), يغلق (ينهي, يقفل) (sid_291), يفتح (افتتاح, فتح) (sid_237)",379,59.69
S15d,20,3.15%,13,3.27%,"Adam Feedback 21 (sid_330), أعود بالله (sid_247), انسان (الانسان , البشر) (sid_338), خرج يخرج خروج نخرج (sid_181), سبب السبب لماذا (sid_51), سعيد مبسوط فرحان (sid_277), سعيد مبسوط فرحان (sid_40), صفر لا يوجد فارغ لا قيمة له لا شيء (sid_100), صلاة، الصلاة ، يصلي، صلى (sid_232), لحم (اللحم, اللحوم) (sid_343), مئة (مائة) (sid_231), ولد ولادة (sid_276), ولد ولادة (sid_41)",399,62.83
S150,14,2.2%,8,2.02%,"الراس (راس, مدينة الرس في السعودية) (sid_273), المغرب (وقت المغرب) (sid_257), بنت , انثى , امرأة البنت المراة الانثى، فتاة،  الفتاة (sid_221), بنت انثى امراة فتاة (sid_155), حيوانات مفترسة (sid_188), كسوف (الكسوف) (sid_265), كل الكل جميع الجميع كل شيء (العالم العالمين) (sid_81), مطر امطار (sid_37)",413,65.04
S10e,13,2.05%,10,2.52%,"Adam Feedback 2 (sid_311), Adam Feedback 20 (sid_329), اثنان اثنتين اثنين اثنتان 2 (sid_31), جرح نازف (sid_353), رصيف (sid_388), سبع سبعة الرقم سبعة 7 (sid_110), غير (مختلف) (sid_377), مختلف اختلاف يختلف فرق كل شيء (sid_80), وافق (موافق, قبلنا, قبل, يقبل) (sid_381), يتفق موافق اتفاق اتفقنا متفقون (sid_106)",426,67.09
S1ec,11,1.73%,10,2.52%,"Adam Feedback 21 (sid_330), اعوذ (sid_1), القمر قمر البدر بدر (sid_359), انسان (الانسان , البشر) (sid_338), رجل ولد الرجل الولد ذكر الذكر شاب الشاب (sid_278), طبيب (sid_286), لحم (اللحم, اللحوم) (sid_343), مسلم الاسلام (sid_172), هلال الهلال (sid_360), ولد  ذكر رجل الولد الذكر الرجل (sid_2)",437,68.82
