Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15a,7,12.5%,6,10.53%,"J (sid_54), SIL2007 (Vet, (= Know)) (sid_6), SIL2007 (Vodka) (sid_4), Sverige (sid_1), Sverige (sid_2), Sverige (sid_3)",7,12.5
S100,6,10.71%,6,10.53%,"1 (sid_74), L (sid_56), SIL2007 (Do'v, Deaf) (sid_5), SIL2007 (Hörande (= hearing)) (sid_9), SIL2007 (Ont (=hurt)) (sid_8), Z (sid_70)",13,23.21
S185,6,10.71%,6,10.53%,"A (sid_45), Sverige (sid_1), Sverige (sid_2), Sverige (sid_3), Ä (sid_72), Å (sid_71)",19,33.93
S1f5,3,5.36%,3,5.26%,"6 (sid_79), B (sid_46), Q (sid_61)",22,39.29
S17d,3,5.36%,3,5.26%,"Sverige (sid_1), Sverige (sid_2), Sverige (sid_3)",25,44.64
S176,3,5.36%,3,5.26%,"0 (number) (sid_83), O (sid_59), Ö (sid_73)",28,50.0
S10e,3,5.36%,3,5.26%,"2 (sid_75), SIL2007 (Se, ( = See)) (sid_7), V (sid_66)",31,55.36
S16d,2,3.57%,2,3.51%,"C (sid_47), S (sid_63)",33,58.93
S1da,2,3.57%,2,3.51%,"H (sid_52), P (sid_60)",35,62.5
S187,2,3.57%,2,3.51%,"3 (sid_76), W (sid_67)",37,66.07
S11a,1,1.79%,1,1.75%,X (sid_68),38,67.86
S115,1,1.79%,1,1.75%,U (sid_65),39,69.64
S1de,1,1.79%,1,1.75%,T (sid_64),40,71.43
S1c6,1,1.79%,1,1.75%,R (sid_62),41,73.21
S150,1,1.79%,1,1.75%,SIL2007 (Stockholm) (sid_11),42,75.0
S1ce,1,1.79%,1,1.75%,SIL2007 (Oslo) (sid_10),43,76.79
S180,1,1.79%,1,1.75%,"SIL2007 (Död (= dead, death)) (sid_13)",44,78.57
S1f7,1,1.79%,1,1.75%,SIL2007 (Busig (= cheeky)) (sid_12),45,80.36
S192,1,1.79%,1,1.75%,I (sid_53),46,82.14
S119,1,1.79%,1,1.75%,N (sid_58),47,83.93
S18d,1,1.79%,1,1.75%,M (sid_57),48,85.71
S140,1,1.79%,1,1.75%,K (sid_55),49,87.5
S1d8,1,1.79%,1,1.75%,F (sid_50),50,89.29
S147,1,1.79%,1,1.75%,D (sid_48),51,91.07
S11e,1,1.79%,1,1.75%,8 (sid_81),52,92.86
S1dc,1,1.79%,1,1.75%,7 (sid_80),53,94.64
S14c,1,1.79%,1,1.75%,5 (sid_78),54,96.43
S144,1,1.79%,1,1.75%,4 (sid_77),55,98.21
S15d,1,1.79%,1,1.75%,Y (sid_69),56,100.0
