Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15a,257,12.15%,164,14.62%,"Korea (sid_1108), Malay (sid_790), Malaysia (sid_259), Orchard (sid_982), Singapore (sid_1127), Singapore (sid_261), Vietnam (sid_263), add (sid_971), advise (sid_451), advocate (sid_425), after (sid_970), afternoon (sid_158), all (sid_331), arrange (organize, organise, order, prepare, sequence) (sid_346), artwork (sid_272), at (sid_882), baby (sid_31), bad (sid_944), beat (beat the drum) (sid_766), before (sid_403), big (large) (sid_127), billion (sid_166), birth (born) (sid_525), blouse (sid_66), book (sid_517), book (sid_518), book (sid_523), book (sid_91), born (birth) (sid_336), bread (sid_1071), bus (sid_43), business (edited) (sid_963), business (sid_480), buy (sid_512), buy (sid_513), buy (sid_514), center (centre) (sid_977), chai tao kway (fried carrot cake) (sid_771), children (sid_795), city (sid_696), clean (nice, hygiene, pure) (sid_342), close (sid_104), cookie (biscuit) (sid_92), count (accounts (finance)) (sid_665), dance (sid_273), daughter (sid_33), die (sid_677), direction (sid_959), discuss (sid_372), don't (do not) (sid_397), early (sid_424), email (e-mail, e mail) (sid_561), empty (sid_557), enjoy (sid_278), evening (dusk) (sid_159), evening (sid_564), expensive (sid_1064), fall (sid_576), fax (sid_571), fax (sid_572), fill (sid_486), fish (sid_97), float (sid_720), float (sid_721), floor (shelf) (sid_857), flow (sid_697), for example (example) (sid_375), fresh (sid_429), fry (flip, turn over) (sid_782), full (sid_686), full (sid_687), good (sid_255), goodbye (bye, bye bye) (sid_80), happiness (sid_793), happy (sid_2), hear (sid_732), hello (hi) (sid_253), hello (hi, greetings) (sid_79), help (sid_109), her (hers) (sid_236), here (sid_588), his (sid_235), hong bao (ang pow) (sid_495), horizon (sid_360), horse (sid_319), house (home) (sid_404), house (sid_584), how (sid_136), interpreter (sid_593), its (its) (sid_237), jump (sid_113), kindergarten (sid_1029), knowledge (sid_711), last (week) (sid_1086), life (sid_698), mean (meaning, purpose) (sid_789), midnight (sid_161), million (sid_165), money (sid_956), more (sid_989), morning (dawn) (sid_156), mountain (sid_614), mouse (sid_306), music (sid_356), my (mine) (sid_233), narrow (sid_620), nation (sid_917), newspaper (sid_466), next (sid_1085), night (sid_160), noon (sid_157), not (sid_708), nursery (sid_1028), on (sid_906), open (sid_103), our (ours) (sid_245), plant (sid_1014), please (sid_87), primary school (sid_1030), progress (sid_915), prosper (sid_913), prosperity (sid_489), prosperity (sid_914), protect (prevent, barrier) (sid_755), read (sid_110), represent (sid_927), result (sid_1047), sad (sid_3), scarf (sid_74), service (sid_365), shame (ashamed) (sid_633), ship (sid_49), shopping (sid_428), shore (beach) (sid_695), skirt (sid_69), small (little) (sid_128), son (sid_32), soon (sid_402), sprinkle (sid_787), stack (sid_347), stand (sid_117), step (sid_881), stop (sid_112), sweet (sid_93), table (sid_978), thank you (sid_341), thank you (thanks) (sid_81), their (theirs) (sid_246), this (sid_266), thousand (sid_164), to put sauce (e.g. ketchup) in a bottle on top (sid_773), town (sid_493), tree (sid_694), united (sid_888), video (sid_492), walk (sid_115), week (sid_422), well (sid_476), what (sid_130), why (sid_135), wide (sid_749), wood (sid_640), write (compose) (sid_796), your (yours) (sid_234)",257,12.15
S100,200,9.46%,139,12.39%,"China (sid_938), I (me) (sid_226), TRUE (sid_701), Thailand (sid_262), Z (z) (sid_225), about (sid_373), about (sid_497), achieve (sid_791), actual (truly, actually, true, real, really, definitely, definite) (sid_794), all (they, all of you) (sid_651), alone (lonely) (sid_709), always (sid_692), ambition (sid_812), among (sid_798), answer (sid_503), apply (sid_463), argue (sid_644), argue (sid_645), argue (sid_646), as (sid_895), aspiration (sid_862), banana (sid_1010), begin (sid_878), beginning (sid_879), believe (sid_381), black (sid_12), bored (sid_10), brother (sid_34), but (sid_371), can not (can't) (sid_457), cannot (sid_667), choose (sid_537), come (sid_101), come (sid_401), crazy (sid_527), crazy (sid_528), culture (sid_835), dance (sid_682), day (sid_417), deaf (sid_547), deaf-blind (deaf blind) (sid_546), deaf-blind (deaf blind) (sid_548), die (sid_676), different (sid_292), disappointed (sid_6), discuss (sid_372), down (sid_120), dream (sid_382), ear (sid_550), eleven (11) (sid_193), eleventh (sid_177), famous (sid_379), fast (sid_450), fireworks (sid_490), first (sid_167), for (sid_335), forever (sid_961), friend (sid_1100), from (sid_940), go (sid_102), he (him) (sid_229), headache (sid_592), hearing (sid_590), heart (sid_380), hired (sid_1022), hour (sid_419), hurt (sid_758), idol (sid_354), it (sid_231), leaf (sid_268), leaf (sid_736), left (sid_122), lightning (sid_611), line (sid_751), long (sid_412), long time (sid_410), look (face, to be seen) (sid_768), make sure (sid_452), me (sid_761), month (sid_423), mouse (sid_304), must (sid_455), necklace (sid_73), one (1) (sid_183), pledge (sid_893), practice (sid_824), prove (sid_838), question (sid_339), reach (take) (sid_837), red (sid_15), right (sid_121), right? (sid_400), same (sid_309), satay (sid_391), say (sid_776), shame (ashamed) (sid_634), share (sid_271), she (her) (sid_230), show (sid_357), sign (signed language, SL) (sid_78), sister (sid_35), smart (clever) (sid_752), society (sid_904), spoil (sid_985), star (sid_1017), start (sid_361), success (sid_863), sure (sid_719), talk (sid_496), tenacious (sid_848), test (sid_1043), that (sid_250), these (sid_251), they (them) (sid_232), think (sid_411), this (sid_249), those (sid_252), time (sid_444), tip (sid_405), to (sid_902), today (sid_1083), towards (sid_859), travel (sid_1116), united (sid_896), up (sid_119), we (us) (sid_244), week (sid_1080), week (sid_422), wet (sid_747), what (sid_130), when (sid_132), where (sid_131), who (sid_134), wonton (sid_385), word (words) (sid_297), worm (sid_637), you (plural) (you all) (sid_228), you (sid_227), zen (sid_443)",457,21.61
S14c,197,9.31%,129,11.5%,"-ness (sid_965), America (sid_919), Asia (sid_920), Australia (sid_1111), Christmas (sid_979), Grinch (sid_981), MRT (sid_1088), Merry Christmas (sid_990), New Zealand (sid_1110), Sunday (sunday) (sid_155), a lot of (lots of, many) (sid_438), advise (sid_451), afraid (sid_506), afraid (sid_507), all (all of you) (sid_650), all (surrounding, area) (sid_649), already (sid_333), among (sid_798), attract (sid_955), away (sid_1000), big (sid_520), blessing (sid_960), blood (sid_663), bochap (don't care, indifferent, do not care) (sid_351), book (sid_523), brave (sid_757), bright (sid_999), business (edited) (sid_963), cake (sid_1072), chili (sid_772), chocolate (sid_1074), clothes (clothing) (sid_533), colour (color) (sid_11), courteous (sid_829), declutter (sid_436), diamond (sid_1135), direction (sid_959), dirty (dirt, filthy, impure, unhygienic, pollution) (sid_343), expensive (sid_1065), fat (sid_573), father (dad, papa) (sid_25), fifteen (15) (sid_197), fifth (sid_171), fiftteenth (sid_181), find (sid_948), fine (sid_465), finish (all done) (sid_84), finish (sid_426), finish (sid_885), fire (sid_688), five (5) (sid_187), flame (fire) (sid_874), flirt (sid_39), fog (sid_566), for nothing (meaningless) (sid_844), freeze (sid_684), go away (sid_1130), grandfather (grandpa) (sid_27), grandmother (grandma, granny) (sid_28), grape (sid_1011), hand (sid_726), happiness (sid_860), hate (sid_723), heavy (current, now, present (time)) (sid_733), heavy (sid_408), hired (sid_1023), hot (sid_585), introduce (sid_889), jingle bells (sid_998), kill (sid_608), leaf (sid_268), leaf (sid_736), learn (sid_302), light (sid_277), light (sid_738), light (sid_739), light (sid_740), light (sid_741), long ago (once upon a time) (sid_942), make (sid_458), make sure (sid_452), man (sid_618), many (sid_797), march (sid_858), may (sid_792), meat (sid_1068), mee rebus (sid_389), milk (sid_100), mother (mummy, mom, mama, mum) (sid_26), no money (sid_1062), now (sid_445), nowadays (sid_951), onward (sid_871), papaya (sid_1007), parents (sid_393), passport (sid_1121), poetry (sid_991), prosper (sid_913), prosperity (sid_914), prove (sid_838), rain (sid_629), rainbow (sid_1114), redo (again) (sid_321), salary (sid_1025), show (sid_357), sleep (sid_118), slowly (slow) (sid_431), snow (sid_1018), spell (sid_432), spring (sid_406), start (sid_361), student (sid_1040), study (sid_1039), sun (sid_1016), sweep (sid_348), through (sid_364), tree (sid_694), video (sid_826), vomit (sid_635), vomit (sid_636), wait (sid_704), want (sid_106), warm (sid_745), what (sid_129), white (sid_22), without (sid_461), woman (lady) (sid_642), wow (sid_469), wristwatch (watch) (sid_75)",654,30.92
S15d,171,8.09%,114,10.16%,"-y (sid_909), April (april) (sid_140), August (august) (sid_144), Cantonese (sid_974), December (december) (sid_148), February (february) (sid_138), January (january) (sid_137), July (july) (sid_143), June (june) (sid_142), March (march) (sid_139), May (may) (sid_141), November (november) (sid_147), October (october) (sid_146), September (september) (sid_145), add (sid_971), ago (some time ago) (sid_491), air ticket (sid_1123), and (sid_481), ask (sid_648), bankrupt (sid_1059), base (sid_905), be (sid_703), beat (heart beating) (sid_880), become (sid_803), before (sid_800), believe (sid_381), best (sid_657), best (sid_659), better (sid_418), better (sid_656), blood (sid_663), bottle (sid_949), bring (sid_845), budget (sid_1060), buy (sid_513), call (sid_877), charitable (sid_849), cheap (sid_1066), cheap (sid_440), child (sid_672), clean windows (sid_467), cold (sid_664), collect (sid_437), college (sid_1033), contribute (sid_850), course (sid_1038), dark (sid_680), dark (sid_681), die (sid_675), dust (sid_674), empty (sid_1129), empty (sid_559), encourage (sid_814), equality (sid_910), expensive (sid_1065), fail (sid_1046), fax (sid_570), fill (sid_486), finance (sid_1054), finish (sid_568), fired (sid_1024), forgetful (sid_841), forgetful (sid_842), full (sid_685), go away (shoo) (sid_754), hand (sid_727), happiness (sid_860), hey (call over) (sid_392), income (sid_1026), ingredient (sid_976), inspire (sid_1001), just (sid_716), justice (sid_907), kill (sid_607), maybe (sid_987), money (sid_448), never mind (forget it) (sid_449), never mind (sid_1128), next (sid_958), oil (sid_778), on (sid_906), pay (sid_1063), polytechnic (sid_1034), prefer (sid_416), primary school (sid_1030), prosperity (sid_914), prove (sid_839), push (sid_975), raw (sid_925), regardless (sid_898), rhythm (sid_756), salary (sid_1025), school (sid_1027), secondary school (sid_1031), share (sid_788), smell (sid_786), society (sid_904), something (sid_930), song (sid_825), store (sid_988), student (sid_1040), teacher (sid_1042), thing (sid_441), those (sid_934), ticket (sid_1122), tortoise (sid_1078), university (sid_1035), way (sid_884), wealth (sid_937), week (sid_1080), wind (sid_643), wonton (sid_385), worm (sid_637), youth (young) (sid_807)",825,39.01
S1f7,86,4.07%,63,5.61%,"A (a) (sid_200), April (april) (sid_140), Asia (sid_920), August (august) (sid_144), Myanmar (Burma) (sid_924), a (A) (sid_64), a (A) (sid_65), ability (sid_367), accompany (sid_286), achieve (sid_912), act (perform) (sid_285), afraid (sid_505), all (sid_652), all (sid_653), any (sid_282), aunt (sid_283), autumn (fall) (sid_510), autumn (fall) (sid_511), away (sid_1000), bathe (sid_105), blessed (sid_477), blessing (sid_960), buy (sid_515), cracker (sid_973), eat (sid_563), few (sid_683), fifteen (15) (sid_197), fiftteenth (sid_181), finish (sid_568), follow (sid_287), fourteen (14) (sid_196), fourteenth (sid_180), headache (sid_591), herself (sid_241), himself (sid_240), itself (sid_242), kill (sid_607), man (sid_618), menstrual period (period) (sid_284), myself (I) (sid_247), ourselves (sid_243), patience (patient) (sid_368), peanut (sid_967), perseverance (sid_369), practice (sid_824), prefer (sid_416), proud (sid_9), sorry (sid_88), stir (sid_785), sweetheart (sid_38), ten (10) (sid_192), tenth (sid_176), themselves (sid_248), thirteen (13) (sid_195), thirteenth (sid_179), to (sid_830), which (sid_133), with (sid_488), without (sid_461), wonton (sid_385), worth (value) (sid_818), yourself (you) (sid_238), yourselves (you (plural)) (sid_239)",911,43.07
S115,69,3.26%,44,3.92%,"H (h) (sid_207), New Zealand (sid_1110), Thursday (thursday) (sid_152), U (u) (sid_220), UK (United Kingdom) (sid_1113), brick (sid_459), egg (sid_552), eleventh (sid_177), fiftteenth (sid_181), fourteenth (sid_180), hand (sid_726), hard-of-hearing (hard of hearing) (sid_626), hare (sid_729), healthy (sid_475), hear (sid_730), hear (sid_731), high (sid_1136), hope (sid_281), hope (sid_873), horizon (sid_360), leh (sid_398), mind (sid_378), name (sid_479), nature (sid_1013), nursery (sid_1028), pure (sid_831), quote (saying) (sid_456), rabbit (hare) (sid_315), raw (sid_925), respect (sid_832), short (sid_414), sit (sit down) (sid_116), sushi (sid_935), tenth (sid_176), thirteenth (sid_179), train (sid_1119), train (sid_52), twelvth (sid_178), uncle (sid_1095), uniform (sid_67), unite (sid_867), university (sid_1035), use (sid_337), you tiao (you char kway) (sid_390)",980,46.34
S1f5,59,2.79%,39,3.48%,"Canada (sid_1112), India (sid_1106), achieve (sid_355), again (sid_1131), air (sid_1015), attract (sid_955), bad (sid_655), behind (sid_933), best (better) (sid_658), best (sid_657), best (sid_659), better (sid_418), celebrate (sid_799), contribute (sid_850), daughter (sid_33), deposit (sid_1056), drink (sid_544), every (sid_805), forgetful (sid_841), forgetful (sid_842), girl (sid_722), girlfriend (sid_37), good (sid_420), good (sid_579), not (sid_619), or (sid_413), other (sid_623), ourselves (sid_894), pass (sid_1045), pour (sid_779), pursue (sid_815), remember (sid_473), shiok (sid_775), sister (sid_35), to put sauce (e.g. ketchup) in a bottle on top (sid_773), tomorrow (sid_1081), wife (sid_30), woman (lady) (sid_642), woman (sid_1092)",1039,49.13
S16d,56,2.65%,40,3.57%,"C (c) (sid_202), Chinese (chinese) (sid_299), Christmas (sid_979), Merry Christmas (sid_990), bottle (sid_949), brain (sid_993), can (sid_669), can (sid_670), canteen (sid_994), car (sid_996), chair (sid_671), chat (sid_983), class (sid_997), coffee (sid_1048), colleague (sid_1020), college (sid_1033), company (sid_1021), congratulations (sid_936), cop (police) (sid_992), course (sid_1038), cousin (female) (sid_1098), cousin (male) (sid_1099), crazy (sid_526), culture (sid_835), custom (sid_834), democracy (sid_1133), democratic (sid_903), drink (sid_108), genius (sid_995), gong xi fa cai (gung hei fat choy, kiong hee huat chai) (sid_399), husband (sid_29), junior college (JC) (sid_1032), justice (sid_907), moon (sid_615), old (sid_743), search (seek) (sid_819), spring (sid_406), sushi (sid_935), tea (sid_1049), wife (sid_30)",1095,51.77
S185,51,2.41%,37,3.3%,"a lot of (lots of, many) (sid_438), about (sid_373), advise (sid_451), boyfriend (sid_36), brother (sid_34), buy (sid_512), buy (sid_513), chat (sid_340), eat (food) (sid_107), experienced (sid_454), few (sid_683), flower (sid_689), goat (sid_322), home (sid_487), husband (sid_29), in (sid_123), include (involve) (sid_690), learn (sid_302), light (sid_741), mee rebus (sid_389), more (sid_83), number (sid_162), out (sid_124), redo (again) (sid_321), sleep (sid_118), soft-spoken (sid_846), son (sid_32), spring (sid_406), sprinkle (sid_787), student (sid_1040), teach (sid_1041), teach (sid_296), teacher (sid_1042), the Philippines (sid_260), wet (sid_746), wet (sid_747), white (sid_22)",1146,54.18
S10e,51,2.41%,35,3.12%,"TV (television) (sid_472), V (v) (sid_221), Vietnam (sid_1105), apply (sid_463), care (sid_1002), choose (sid_536), choose (sid_537), dance (sid_273), fail (sid_1046), fall (sid_576), goat (sid_323), have (sid_484), jump (sid_113), lobster (sid_952), look out (watch, see, look) (sid_763), mean (meaning, purpose) (sid_789), proclaim (sid_870), rabbit (hare) (sid_314), read (sid_110), salad (sid_926), save (sid_1058), second (sid_168), sheep (sid_1079), stand (sid_117), take care (sid_828), twelve (12) (sid_194), twelvth (sid_178), twenty (20) (sid_198), two (2) (sid_184), value (sid_806), van (sid_46), vegetables (sid_1067), very (sid_394), vinegar (sid_950), watch (sid_471)",1197,56.6
