Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15a,161,12.62%,90,13.53%,"Deaf (sid_45), Man (sid_6), right (sid_42), soap (sid_39), กฎหมาย (กฎ, law) (sid_173), กระตือรือร้น (enthusiastic) (sid_147), กลุ่มดาว (constellation) (sid_293), กะทันหัน (suddenly) (sid_460), กะเพรา (holy basil) (sid_457), การช่วยเหลือ (assistance) (sid_468), การออกสลากกินแบ่งรัฐบาลงวดประจำวันที่ 16 ของเดือน (the monthly lottery draw on the 16th) (sid_473), กาวแท่ง (glue stick) (sid_451), กิ้งก่า (lizard) (sid_356), ขำขัน/ตลก (funny) (sid_421), คน (บุคคล) (sid_59), ครอบครัว (family) (sid_667), ง่าย (easy) (sid_197), จรวด (rocket) (sid_296), ชั่วโมง (hour) (sid_396), ซอย (alley, soi) (sid_230), ซื่อสัตย์ (คนตรง) (sid_65), ตลาด (market) (sid_74), ต่อ (hornet) (sid_384), ทหาร (soldier) (sid_434), ธง (ธงชาติ, flag) (sid_58), ธนบัตร (แบงก์, banknote) (sid_150), นกจาบคา (กลุ่ม) (bee-eaters) (sid_511), นกจาบคาหัวเขียว (blue-tailed bee-eater) (sid_512), นกจาบคาหัวเขียว (blue-tailed bee-eater) (sid_513), นกจาบคาเล็ก (Asian green bee-eater) (sid_514), นกตะขาบทุ่ง (Indochinese roller) (sid_515), นกยางกรอก (pond herons) (sid_501), นกเพนกวิน (penguins) (sid_490), นานาชาติ (ประเทศต่างๆ) (sid_60), บริสุทธิ์ (pure) (sid_381), บ้าน (house, home) (sid_67), ปรบมือ (ตบมือ, clap, applaud) (sid_196), ประชาธิปไตย (democracy) (sid_180), ประวิตร วงษ์สุวรรณ (Prawit Wongsuwon) (sid_429), ปางถวายเนตร (The Buddha's attitude of looking at the Bodhi tree in gratefulness) (sid_536), ปางห้ามสมุทร (The Buddha's attitude of pacifying the ocean) (sid_537), ผึ้ง (bee) (sid_374), พลศึกษา (physical education) (sid_444), พิธีกร (master of ceremonies) (sid_303), มะละกอ (papaya) (sid_79), มัสยิด (สุเหร่า, mosque) (sid_70), มัสยิด (สุเหร่า, mosque) (sid_76), มูลนิธิ (foundation) (sid_332), ยางลบ (eraser) (sid_453), รถไฟ (train) (sid_222), รถไฟฟ้าบีทีเอส (รถไฟลอยฟ้า, BTS Skytrain, skytrain) (sid_226), รถไฟฟ้าใต้ดิน (subway) (sid_227), ระยะเวลา (period of time) (sid_187), รัก (love) (sid_418), รัก/ความรัก (love) (sid_323), ร้านขายของ (store, grocery) (sid_75), ล่าง (below) (sid_392), วัด (Buddhist temple) (sid_68), วัน (day) (sid_262), วาเลรี ซัตตัน (Valerie Sutton) (sid_339), วิชา (subject) (sid_445), สถานีตำรวจ (police station) (sid_73), สถานีรถไฟ (railway station, train station) (sid_223), สวัสดี (hello, greeting) (sid_16), สามัคคี (ความสามัคคี, be in unity, be in harmony) (sid_176), สิงคโปร์ (Singapore) (sid_415), สี่แยก (4-way intersection) (sid_216), สเปรย์ (spray) (sid_151), ห้อง (room) (sid_215), ห้องสมุด (library) (sid_221), ห้าม (forbid) (sid_417), อนุสาวรีย์ (monument) (sid_214), อินโดนีเซีย (Indonesia) (sid_406), อีกา (crow, raven) (sid_463), เขียด (pond-frog) (sid_359), เจริญ (พัฒนา, grow/develop/prosper) (sid_365), เนปาล (Nepal) (sid_596), เปรียบเทียบ (compare) (sid_367), เผด็จการ (รวบอำนาจ, dictator, centralize) (sid_239), เวลา (time) (sid_186), เวียดนาม (Vietnam) (sid_25), เวียดนาม (Vietnam) (sid_408), เวียดนาม (Vietnam) (sid_52), เหรียญ (coin) (sid_145), แขน (arm) (sid_255), โชคดี (ขอให้โชคดี, good luck) (sid_15), โบสถ์ (โบสถ์คริสต์, church) (sid_69), โรงเรียน (school) (sid_71), โลก (2) (sid_62), ไม่ใช่ (no/not) (sid_419)",161,12.62
S100,135,10.58%,111,16.69%,"1 (หนึ่ง) (sid_342), Deaf (sid_45), Who (sid_201), Who (sid_35), Woman (sid_5), hurt (pain) (sid_38), second (noun) (วินาที) (sid_398), to hurt all over (sid_20), กรกฎาคม (ก.ค., July) (sid_247), กลุ่มดาว (constellation) (sid_293), กะเพรา (holy basil) (sid_457), กันยายน (September) (sid_620), กันยายน (ก.ย., September) (sid_249), การออกสลากกินแบ่งรัฐบาลงวดประจำวันที่ 16 ของเดือน (the monthly lottery draw on the 16th) (sid_473), กุมภาพันธ์ (ก.พ., February) (sid_242), ข (ข.ไข่, Kho Khai) (sid_81), คุณ (you) (sid_710), จรวด (rocket) (sid_296), จริง (แน่, แท้, really, certainly) (sid_199), ฉัน (ผม, I, me) (sid_709), ช (ช.ช้าง, Cho Chang) (sid_89), ชั่วโมง (hour) (sid_396), ซอย (alley, soi) (sid_230), ญ (ญ.หญิง, Yo Ying) (sid_92), ฎ (ฎ.ชฎา, Do Chada) (sid_93), ณ (ณ.เณร, No Nen) (sid_100), ดวงอาทิตย์ (sun) (sid_266), ดาวอังคาร (Mars) (sid_273), ดาวเคราะห์ (planet) (sid_267), ดินสอ (pencil) (sid_454), ตอบ (answer) (sid_308), ตัวอย่าง (example, examplary) (sid_152), ติมอร์ตะวันออก (East Timor) (sid_413), ตุลาคม (ต.ค., October) (sid_250), ถ (ถ.ถุง, Tho Thung) (sid_102), ถาม (ask) (sid_307), ที่ 1 จาก 5 (1st out of 5) (sid_653), ที่ 2 จาก 5 (2nd out of 5) (sid_641), ที่ 3 จาก 5 (3rd out of 5) (sid_642), ที่ 4 จาก 5 (4th out of 5) (sid_643), ที่ 5 จาก 5 (5th out of 5) (sid_644), ที่ไหน (Where?) (sid_671), ธ (ธ.ธง, Tho Thong) (sid_104), ธันวาคม (ธ.ค., December) (sid_252), นกกระปูดใหญ่ (greater coucal) (sid_485), นกกระแตแต้แว้ด (red-wattled lapwing) (sid_489), นกกวัก (white-breasted waterhen) (sid_487), นกกาเหว่า (Asian koel) (sid_712), นกจาบคาหัวเขียว (blue-tailed bee-eater) (sid_513), นกจาบคาเล็ก (Asian green bee-eater) (sid_514), นกตีนเทียน (black-winged stilt) (sid_488), นกอีเสือ (กลุ่ม) (shrikes) (sid_563), นกอีเสือสีน้ำตาล (Brown Shrike) (sid_564), นาที (minute) (sid_397), นิ้วมือ (finger) (sid_254), บวก (plus) (sid_326), ป (ป.ปลา, Po Pla) (sid_107), ประยุทธ์ จันทร์โอชา (Prayut Chan-o-cha) (sid_425), ปากเสีย (bad-mouth) (sid_330), ปิ้ง (grill) (sid_589), ฝ (ฝ.ฝา, Fo Fa) (sid_110), พบ (คนหนึ่งกับอีกคนหนึ่ง) (meet (one and the other)) (sid_628), พบกัน (meet) (sid_333), พรรคก้าวไกล (Move Forward Party) (sid_401), พฤศจิกายน (พ.ย., November) (sid_251), พฤษภาคม (พ.ค., May) (sid_245), ภาษามือไทย (Thai Sign Language) (sid_56), มกราคม (ม.ค., January) (sid_240), มิถุนายน (มิ.ย., June) (sid_246), มีนาคม (มี.ค., March) (sid_243), ระบบสุริยะ (Solar System) (sid_268), ร้อยละ (เปอร์เซ็นต์, %) (sid_364), ลบ (minus) (sid_327), ลอยกระทง (Loy Krathong, to float ritual vessel or lamp) (sid_219), วัน (day) (sid_262), ศ (ศ.ศาลา, So Sala) (sid_117), ศาสนา (religion) (sid_368), สถานที่ท่องเที่ยว (tourist attraction) (sid_218), สังคมศึกษา (social studies) (sid_443), สิงหาคม (ส.ค., August) (sid_248), สีขาว (white) (sid_692), สีดำ (black) (sid_127), สีเลือดหมู (maroon (color)) (sid_686), สีแดง (red) (sid_126), หาร (divide (math)) (sid_329), หูตึง (คนหูตึง, hard of hearing) (sid_600), ฬ (ฬ.จุฬา, Lo Chula, Lo Jula) (sid_121), อะไร (What?) (sid_670), อัลลอฮ์ (Allah) (sid_370), อีกา (Large-billed Crow) (sid_565), อีกา (crow, raven) (sid_463), ฮ (ฮ.นกฮูก, Ho Nok Huk) (sid_123), เขา (she, he, it) (sid_711), เดือน (month) (sid_399), เดือน (month) (sid_619), เที่ยว (trip, travel) (sid_231), เท้า (foot) (sid_446), เมษายน (เม.ย., April) (sid_244), เสาชิงช้า (Giant Swing) (sid_440), เหยี่ยวแดง (Brahminy Kite) (sid_543), เอเชียตะวันออกเฉียงใต้ (Southeast Asia) (sid_416), แมงดาทะเล (horseshoe crab) (sid_592), แมลงสาบ (cockroach) (sid_394), แอปเมสเซนเจอร์ (เฟสบุกเมสเซนเจอร์, Messenger app, Facebook Messenger) (sid_130), โบสถ์ (โบสถ์คริสต์, church) (sid_69), โสด (unmarried) (sid_391), ใคร (who?) (sid_202), ใหม่ (new) (sid_260), ไทย (Thailand) (sid_22), ไทย (Thailand) (sid_414), ๅ (sid_423)",296,23.2
S15d,131,10.27%,78,11.73%,"Thank you (sid_3), train (sid_8), ขนมปัง (bread) (sid_316), ขอบคุณ (ขอบใจ, Thank you.) (sid_49), ขอบคุณมาก (Thank you very much.) (sid_47), ข้างแรม (waning moon) (sid_280), ความสุข/สุขสันต์ (happy/happiness) (sid_321), คุณ (you (formal)) (sid_320), จันทร์ดับ (new moon) (sid_282), ตลอด (throughout/always) (sid_366), ตัวอย่าง (example, examplary) (sid_152), ติดหนี้ (ค้างหนี้, owe, get into debt) (sid_149), ต่อ (hornet) (sid_384), ทำไม (Why?) (sid_675), ทำไม? (why?) (sid_191), ธง (ธงชาติ, flag) (sid_58), นก (bird) (sid_478), นกกระปูดใหญ่ (greater coucal) (sid_485), นกกระเต็น (กลุ่ม) (kingfishers) (sid_510), นกกระแตแต้แว้ด (red-wattled lapwing) (sid_489), นกกวัก (white-breasted waterhen) (sid_487), นกกาน้ำ (กลุ่ม) (cormorants) (sid_494), นกกาน้ำเล็ก (little cormorant) (sid_495), นกกาเหว่า (Asian koel) (sid_712), นกขมิ้น (กลุ่ม) (orioles) (sid_522), นกตีทอง (coppersmith barbet) (sid_517), นกปรอด (กลุ่ม) (bulbuls) (sid_566), นกปากห่าง (Asian openbill) (sid_492), นกพิราบป่า (rock pigeon) (sid_484), นกยาง (กลุ่ม) (herons/egrets/bitterns) (sid_496), นกยางควาย (cattle egret) (sid_500), นกยางเปีย (little egret) (sid_499), นกยางโทนน้อย (intermediate egret) (sid_498), นกยางโทนใหญ่ (great egret) (sid_497), นกอีเสือ (กลุ่ม) (shrikes) (sid_563), นกอีเสือสีน้ำตาล (Brown Shrike) (sid_564), นกอีแพรดแถบอกดำ (Malaysian Pied-Fantail) (sid_557), นกเขา (กลุ่ม) (doves/pigeons) (sid_483), นกแก้ว (parrots) (sid_508), นกแซงแซว (กลุ่ม) (drongos) (sid_558), นกแซงแซวสีเทา (Ashy Drongo) (sid_560), นกแซงแซวหางบ่วงเล็ก (Lesser Racket-tailed Drongo) (sid_562), นกแซงแซวหางบ่วงใหญ่ (Greater Racket-tailed Drongo) (sid_561), นกแซงแซวหางปลา (Black Drongo) (sid_559), นกโพระดก (กลุ่ม) (barbets) (sid_544), นานาชาติ (ประเทศต่างๆ) (sid_60), ประเทศ (country) (sid_336), พระเจ้า (sid_63), พี่น้อง (แสดงจำนวน) (siblings (total number)) (sid_668), พ่อ (father) (sid_636), มัสยิด (สุเหร่า, mosque) (sid_70), ยกย่องพระองค์ (เทิดทูนพระองค์) (sid_66), ย่าง (roast) (sid_588), ลอยกระทง (Loy Krathong, to float ritual vessel or lamp) (sid_219), วาด (draw) (sid_447), วาระการประชุม (agenda) (sid_449), สวัสดี (ไม่เป็นทางการ) (hello (informally), greeting) (sid_597), สหประชาชาติ (United Nations) (sid_706), สี (color) (sid_677), สีครีม (cream (color)) (sid_691), สีชมพู (pink) (sid_687), สีเงิน (silver (color)) (sid_695), หงส์ (swan) (sid_481), หมูเด้ง (ฮิปโปโปเตมัส) (Moo Deng (hippopotamus)) (sid_535), องค์การสหประชาชาติ (United Nations Organization) (sid_707), อีกา (Large-billed Crow) (sid_565), เขียน (write) (sid_234), เขียน (write) (sid_612), เทคโนโลยี (technology) (sid_352), เมื่อไร (อดีต) (When? (past)) (sid_673), เมื่อไร (อนาคต) (When? (future)) (sid_672), แตน (wasp) (sid_385), โทรศัพท์บ้าน (home phone) (sid_305), โบราณสถาน (historic site) (sid_288), ใจร้อน (hot-tempered) (sid_157), ใจเย็น (calm, cool-headed) (sid_158), ไซน์ไรติง (SignWriting) (sid_613), ไวรัส (virus) (sid_148)",427,33.46
S14c,90,7.05%,66,9.92%,"5 (ห้า) (sid_346), 50 (ห้าสิบ) (sid_701), computor (sid_34), กลางคืน (nighttime) (sid_301), กลางวัน (daytime) (sid_302), กล้วยไม้ (orchid) (sid_393), กวาง (deer) (sid_357), การ์ดอย่าตก (don't let your guard down) (sid_472), กาแล็กซี (ดาราจักร, galaxy) (sid_289), ข้างขึ้น (waxing moon) (sid_279), คนสองกลุ่มพบกันโดยบังเอิญ (Two groups of people meet by chance.) (sid_334), ง่าย (easy) (sid_77), จันทรุปราคา (lunar eclipse) (sid_299), จันทร์เต็มดวง (full moon) (sid_281), ฏ (ฏ.ปฏัก, To Patak) (sid_95), ดาวพุธ (Mercury) (sid_270), ทัณฑฆาต (การันต์, silent mark) (sid_172), ทางช้างเผือก (Milky Way) (sid_290), ที่ 1 จาก 5 (1st out of 5) (sid_653), ที่ 2 จาก 5 (2nd out of 5) (sid_641), ที่ 3 จาก 5 (3rd out of 5) (sid_642), ที่ 4 จาก 5 (4th out of 5) (sid_643), ที่ 5 จาก 5 (5th out of 5) (sid_644), ธรรมดา (common, ordinary) (sid_124), นกกะรางหัวขวาน (Eurasian hoopoe) (sid_507), นกตะขาบทุ่ง (Indochinese roller) (sid_515), นกปรอด (กลุ่ม) (bulbuls) (sid_566), นกยางกรอก (pond herons) (sid_501), นกยูง (peacocks) (sid_493), นกอีแพรดแถบอกดำ (Malaysian Pied-Fantail) (sid_557), นกแซงแซวสีเทา (Ashy Drongo) (sid_560), นิ้วมือ (finger) (sid_254), พฤษภาคม (พ.ค., May) (sid_245), ภาษามือ (ทำท่ามือ, sign language, sign) (sid_55), ภาษามือไทย (Thai Sign Language) (sid_56), มาเลเซีย (Malarla) (sid_30), รุ้ง (rainbow) (sid_383), ฤ (Rue) (sid_171), วางแผน (make a plan) (sid_448), สระอะ (vowel /a/, ะ) (sid_165), สระอา (vowel /aː/, า) (sid_166), สระอำ (vowel /am/, ำ) (sid_161), สระอุ (vowel /u/, ุ) (sid_167), สระอู (vowel /uː/, ู) (sid_168), สระเอ (vowel /eː/ , เ) (sid_169), สระแอ (vowel /ɛː/, แ) (sid_170), สวย (หล่อ, pretty, beautiful, handsome) (sid_525), สีอ่อน (light (color)) (sid_697), สีเทา (gray) (sid_693), สุริยุปราคา (solar eclipse) (sid_300), หมวก (hat) (sid_210), เข็ม (needle) (sid_257), เสือก (nosy) (sid_395), เหยี่ยวแดง (Brahminy Kite) (sid_543), เหยี่ยวและนกอินทรี (กลุ่ม) (hawks/eagles) (sid_502), ไปยาลน้อย (Paiyan Noi, abbreviation mark, ฯ) (sid_164), ไม่เป็นไร! (it's okay!, never mind!) (sid_238), ไม่ใช่ (no, not) (sid_616), ไม่ได้ (not be able to) (sid_236), ไม้จัตวา (Mai Chattawa, 4th tone mark, ๋) (sid_142), ไม้ตรี (Mai Tri, 3rd tone mark, ๊) (sid_141), ไม้ยมก (Mai Yamok, repeat sign, ๆ) (sid_160), ไม้หันอากาศ (Mai Han Akat, vowel /a/ mark, ั) (sid_163), ไม้เอก (Mai Ek, 1st tone mark, ่) (sid_139), ไม้โท (Mai Tho, 2nd tone mark, ้) (sid_192), ไม้ไต่คู้ (Mai Tai Khu, short-vowel mark, ็) (sid_162)",517,40.52
S1f4,69,5.41%,54,8.12%,"20 (ยี่สิบ, twenty) (sid_621), กาแฟ (coffee) (sid_470), ข้างขึ้น (waxing moon) (sid_279), ข้างแรม (waning moon) (sid_280), ข้าวมันไก่ (Hainanese chicken rice) (sid_319), จันทร์ดับ (new moon) (sid_282), จันทร์เต็มดวง (full moon) (sid_281), ดวงจันทร์ (moon) (sid_272), ดวงจันทร์ (พระจันทร์, moon) (sid_220), นก (bird) (sid_478), นกกระจอกเทศ (ostrich) (sid_435), นกกระปูดใหญ่ (greater coucal) (sid_485), นกกระเต็น (กลุ่ม) (kingfishers) (sid_510), นกกระแตแต้แว้ด (red-wattled lapwing) (sid_489), นกกวัก (white-breasted waterhen) (sid_487), นกกะรางหัวขวาน (Eurasian hoopoe) (sid_507), นกกาน้ำ (กลุ่ม) (cormorants) (sid_494), นกกาน้ำเล็ก (little cormorant) (sid_495), นกกาเหว่า (Asian koel) (sid_712), นกขมิ้น (กลุ่ม) (orioles) (sid_522), นกจาบคา (กลุ่ม) (bee-eaters) (sid_511), นกจาบคาหัวเขียว (blue-tailed bee-eater) (sid_512), นกจาบคาหัวเขียว (blue-tailed bee-eater) (sid_513), นกจาบคาเล็ก (Asian green bee-eater) (sid_514), นกตีทอง (coppersmith barbet) (sid_517), นกตีนเทียน (black-winged stilt) (sid_488), นกปรอด (กลุ่ม) (bulbuls) (sid_566), นกปากห่าง (Asian openbill) (sid_492), นกพิราบป่า (rock pigeon) (sid_484), นกยาง (กลุ่ม) (herons/egrets/bitterns) (sid_496), นกยางกรอก (pond herons) (sid_501), นกยางควาย (cattle egret) (sid_500), นกยางเปีย (little egret) (sid_499), นกยางโทนน้อย (intermediate egret) (sid_498), นกยางโทนใหญ่ (great egret) (sid_497), นกยูง (peacocks) (sid_493), นกอีเสือ (กลุ่ม) (shrikes) (sid_563), นกอีเสือสีน้ำตาล (Brown Shrike) (sid_564), นกอีแพรดแถบอกดำ (Malaysian Pied-Fantail) (sid_557), นกเขา (กลุ่ม) (doves/pigeons) (sid_483), นกเพนกวิน (penguins) (sid_490), นกแซงแซว (กลุ่ม) (drongos) (sid_558), นกแซงแซวสีเทา (Ashy Drongo) (sid_560), นกแซงแซวหางบ่วงเล็ก (Lesser Racket-tailed Drongo) (sid_562), นกแซงแซวหางบ่วงใหญ่ (Greater Racket-tailed Drongo) (sid_561), นกแซงแซวหางปลา (Black Drongo) (sid_559), นกโพระดก (กลุ่ม) (barbets) (sid_544), ผัดไทย (Pad Thai) (sid_313), ฝรั่ง (คน) (farang (westerners)) (sid_529), อีกา (Large-billed Crow) (sid_565), อีกา (crow, raven) (sid_463), เขียน (write) (sid_612), ไก่ (chicken) (sid_482), ไซน์ไรติง (SignWriting) (sid_613)",586,45.92
S115,36,2.82%,26,3.91%,"Deaf (sid_46), ของขวัญ (gift, present) (sid_253), คูณ (multiply) (sid_328), ฉ (ฉ.ฉิ่ง, Cho Ching) (sid_88), ช (ช.ช้าง, Cho Chang) (sid_89), ชิงช้า (swing (n.)) (sid_403), ชื่อ (name) (sid_602), ฌ (ฌ.เฌอ, Cho Choe) (sid_91), ดาวเทียม (satellite) (sid_297), ท (ท.ทหาร, Tho Thahan) (sid_103), ธ (ธ.ธง, Tho Thong) (sid_104), ธรรมชาติ (nature) (sid_86), นกอีเสือ (กลุ่ม) (shrikes) (sid_563), นกอีเสือสีน้ำตาล (Brown Shrike) (sid_564), น้ำตาล (sugar) (sid_125), สระอือ (อือ, vowel /ɯː/, eu, ื) (sid_135), ห (ห.หีบ, Ho Hip) (sid_120), หมื่น (ten-thousand) (sid_205), หลาน (grandchild, niece, nephew) (sid_664), หูหนวก (คนหูหนวก, deaf, Deaf) (sid_599), ห้าม (forbid) (sid_417), ฮ (ฮ.นกฮูก, Ho Nok Huk) (sid_123), เนเธอร์แลนด์ (Netherlands) (sid_405), แพทย์ (หมอ, doctor) (sid_375), โรงพยาบาล (hospital) (sid_72), ไข่ (egg) (sid_317)",622,48.75
S185,34,2.66%,24,3.61%,"50 (ห้าสิบ) (sid_701), กลางคืน (nighttime) (sid_301), กลางวัน (daytime) (sid_302), กลุ่มดาว (constellation) (sid_293), ข้างขึ้น (waxing moon) (sid_279), ข้างแรม (waning moon) (sid_280), ข้าวมันไก่ (Hainanese chicken rice) (sid_319), คณิตศาสตร์ (mathematics) (sid_442), จันทรุปราคา (lunar eclipse) (sid_299), จันทร์ดับ (new moon) (sid_282), จันทร์เต็มดวง (full moon) (sid_281), ดาว (star) (sid_420), ดาวตก (meteor) (sid_283), ดาวหาง (comet) (sid_278), นกปรอด (กลุ่ม) (bulbuls) (sid_566), นกยูง (peacocks) (sid_493), นกอีแพรดแถบอกดำ (Malaysian Pied-Fantail) (sid_557), บ้าน (house, home) (sid_67), วาระการประชุม (agenda) (sid_449), สุริยุปราคา (solar eclipse) (sid_300), เท่าไร (How much/many?) (sid_676), เมื่อไร (อดีต) (When? (past)) (sid_673), เมื่อไร (อนาคต) (When? (future)) (sid_672), ให้ (ทางการ) (give (formal)) (sid_362)",656,51.41
S10e,33,2.59%,30,4.51%,"2 (สอง) (sid_343), กบ (frog) (sid_358), กรรไกร (scissors) (sid_452), กุมภาพันธ์ (ก.พ., February) (sid_242), ค (ค.ควาย, Kho Khwai) (sid_82), ครับ (sid_531), ครับ (ค่ะ) (sid_456), คาราโอเกะ (Karaoke) (sid_54), ค่ะ (sid_530), ฌ (ฌ.เฌอ, Cho Choe) (sid_91), ฐ (ฐ.ฐาน, Tho Than) (sid_96), ติดหนี้ (ค้างหนี้, owe, get into debt) (sid_149), ธันวาคม (ธ.ค., December) (sid_252), นกยางเปีย (little egret) (sid_499), นกแซงแซว (กลุ่ม) (drongos) (sid_558), นกแซงแซวสีเทา (Ashy Drongo) (sid_560), นกแซงแซวหางบ่วงเล็ก (Lesser Racket-tailed Drongo) (sid_562), นกแซงแซวหางบ่วงใหญ่ (Greater Racket-tailed Drongo) (sid_561), นกแซงแซวหางปลา (Black Drongo) (sid_559), ผ (ผ.ผึ้ง, Pho Phueng) (sid_108), ภาษา (Language) (sid_31), ภาษา (language) (sid_337), วาเลรี ซัตตัน (Valerie Sutton) (sid_339), ษ (ษ.ฤๅษี, So Ruesi) (sid_118), สระว่ายน้ำ (swimming pool) (sid_217), หา (ค้นหา, look for, search) (sid_57), เขียด (pond-frog) (sid_359), เนปาล (Nepal) (sid_596), เสาชิงช้า (Giant Swing) (sid_440), แฟน (lover/partner) (sid_341)",689,54.0
S155,31,2.43%,25,3.76%,"กล้วยไม้ (orchid) (sid_393), กะหล่ำปลี (cabbage) (sid_458), การออกสลากกินแบ่งรัฐบาลงวดประจำวันที่ 16 ของเดือน (the monthly lottery draw on the 16th) (sid_473), จัดการ (sid_312), จันทร์ดับ (new moon) (sid_282), จันทร์เต็มดวง (full moon) (sid_281), ดวงจันทร์ (พระจันทร์, moon) (sid_220), ดวงอาทิตย์ (sun) (sid_266), ดาวเคราะห์ (planet) (sid_267), นกเขา (กลุ่ม) (doves/pigeons) (sid_483), บิกแบง (Big Bang) (sid_292), ระบบสุริยะ (Solar System) (sid_268), รัฐสภา (parliament) (sid_331), สถานที่ (place) (sid_377), สถานที่ท่องเที่ยว (tourist attraction) (sid_218), สถานีตำรวจ (police station) (sid_73), สถานีรถไฟ (railway station, train station) (sid_223), สลิ่ม (sid_433), สอบตก (sid_432), องค์กร (organization) (sid_311), องค์การสหประชาชาติ (United Nations Organization) (sid_707), แมงดาทะเล (horseshoe crab) (sid_592), โบราณสถาน (historic site) (sid_288), โรงพยาบาล (hospital) (sid_72), ไวรัสโควิด-19 (COVID-19 virus) (sid_657)",720,56.43
S19a,30,2.35%,22,3.31%,"old woman (grandma) (sid_33), กิริยา (manner) (sid_474), ควาย (buffalo) (sid_353), ญ (ญ.หญิง, Yo Ying) (sid_92), ญาติ (relative) (sid_665), ติดต่อสื่อสาร (contact, communicate) (sid_146), ต่อ (hornet) (sid_384), ทำไม (Why?) (sid_675), ทำไม? (why?) (sid_191), นกตะขาบทุ่ง (Indochinese roller) (sid_515), น้ำปลา (fish sauce) (sid_314), ประยุทธ์ จันทร์โอชา (Prayut Chan-o-cha) (sid_425), ย (ย.ยักษ์, Yo Yak) (sid_113), ยัง (not yet) (sid_594), ยาย (maternal grandmother) (sid_659), ย่า (maternal grandmother) (sid_656), สยามสแควร์ (Siam Square) (sid_439), อาจจะยังนะ (maybe not yet) (sid_595), เล่น (play) (sid_232), เล่น (play) (sid_258), โทรศัพท์บ้าน (home phone) (sid_305), ไปที่ (go to) (sid_379)",750,58.78
