Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1ea,4,10.26%,2,5.41%,"Ukraine (Україна) (sid_44), Україна (Ukraine) (sid_43)",4,10.26
S1dc,3,7.69%,3,8.11%,"Г (г) (sid_13), ь (sid_42), Ґ (ґ) (sid_14)",7,17.95
S115,3,7.69%,3,8.11%,"Д (д) (sid_15), П (п) (sid_29), Ц (ц) (sid_36)",10,25.64
S18c,3,7.69%,3,8.11%,"Т (т) (sid_32), Ш (ш) (sid_38), Щ (щ) (sid_39)",13,33.33
S1b0,2,5.13%,2,5.41%,"И (и) (sid_20), Й (й) (sid_22)",15,38.46
S192,2,5.13%,2,5.41%,"І (і) (sid_21), Ї (ї) (sid_23)",17,43.59
S10e,2,5.13%,2,5.41%,"К (к) (sid_24), Л (л) (sid_25)",19,48.72
S118,1,2.56%,1,2.7%,Kiew (Київ) (sid_45),20,51.28
S16d,1,2.56%,1,2.7%,С (с) (sid_31),21,53.85
S195,1,2.56%,1,2.7%,Ю (ю) (sid_40),22,56.41
S13f,1,2.56%,1,2.7%,Ч (ч) (sid_37),23,58.97
S106,1,2.56%,1,2.7%,Х (х) (sid_35),24,61.54
S183,1,2.56%,1,2.7%,Ф (ф) (sid_34),25,64.1
S19a,1,2.56%,1,2.7%,У (у) (sid_33),26,66.67
S177,1,2.56%,1,2.7%,соняшник (sunflower) (sid_46),27,69.23
S1d4,1,2.56%,1,2.7%,соняшник (sunflower) (sid_46),28,71.79
S186,1,2.56%,1,2.7%,М (м) (sid_26),29,74.36
S1bb,1,2.56%,1,2.7%,Р (р) (sid_30),30,76.92
S1ce,1,2.56%,1,2.7%,О (о) (sid_28),31,79.49
S1a5,1,2.56%,1,2.7%,Н (н) (sid_27),32,82.05
S100,1,2.56%,1,2.7%,З (з) (sid_19),33,84.62
S185,1,2.56%,1,2.7%,Ж (ж) (sid_18),34,87.18
S1ed,1,2.56%,1,2.7%,Є (є) (sid_17),35,89.74
S176,1,2.56%,1,2.7%,Е (е) (sid_16),36,92.31
S15d,1,2.56%,1,2.7%,В (в) (sid_12),37,94.87
S136,1,2.56%,1,2.7%,Б (б) (sid_11),38,97.44
S11a,1,2.56%,1,2.7%,Я (я) (sid_41),39,100.0
