Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15a,60,13.3%,33,13.87%,"A in YMCA (sid_125), Alberta (sid_78), Arpana (Offering) (sid_218), Bhakti (sid_216), Bramha-jyoti (sid_225), C in YMCA (sid_124), Catur Varna (sid_238), Colorado (US State) (sid_8), December (sid_166), Good-Afertnoon-SI (good-afertoon-si) (sid_157), Idaho (US State) (sid_14), Karma (Action, Ação) (sid_202), M in YMCA (sid_123), Maha-mantra (sid_222), Maya (Illusion) (sid_205), Myanmar (sid_97), Narayana (sid_224), New York (US State) (sid_35), POPE LEO XIV (Pope Leo XIV) (sid_243), Saranagati (Surrender) (sid_217), Sign of the Cross (Eastern) (sid_120), Sign of the Cross (Western) (sid_119), Small Sign of the Cross (sid_118), Sraddha (Faith) (sid_220), Vaikuntha (sid_227), Y in YMCA (sid_122), day (sid_180), emergency stop (sid_152), happy (sid_179), hour (sid_121), month-si (mês-si) (sid_165), person with disability (sid_178), stop (sid_153)",60,13.3
S14c,45,9.98%,27,11.34%,"10 (sid_177), 5 (sid_171), 6 (sid_172), 7 (sid_173), 8 (sid_175), 9 (sid_176), Adhyatmika (adhyatmika) (sid_232), Adi (sid_229), Alaska (US State) (sid_4), America (United States of America, United States, USA, US) (sid_54), Astitva (existence) (sid_233), Bramha-jyoti (sid_225), Great Britain (sid_59), July (sid_196), Jyoti (sid_226), Moksa (Liberation) (sid_206), Red Deer (sid_81), Sign Language (sid_86), Vaikuntha (sid_227), Visva (sid_228), beautiful (sid_184), father-si (pai-si) (sid_160), mother-si (mãe-si) (sid_159), sign (sid_111), sinagoga-época-Jesus-reunião (sid_140), waving (sid_136), world (sid_99)",105,23.28
S100,36,7.98%,27,11.34%,"1 (sid_167), Adhyatmika (adhyatmika) (sid_232), Astitva (existence) (sid_233), Bhagavan (sid_214), DEUS (Deus) (sid_142), December (sid_166), Guru (sid_210), Kala (Time) (sid_212), Maha-mantra (sid_222), Minas Gerais (mineiro) (sid_73), Monday (sid_189), Paramatma (Supersoul) (sid_213), Red Deer (sid_81), Samsara (Saṃsāra) (sid_201), Sanatana (sid_231), Sarana (Shelter) (sid_234), day (sid_180), diversity (sid_183), eyelid pull (sid_130), friend (sid_195), hoist load (sid_149), hour (sid_121), lower load (sid_150), month-si (mês-si) (sid_165), must (sid_100), swing boom (sid_148), test (sid_61)",141,31.26
S15d,23,5.1%,12,5.04%,"Adi (sid_229), Good-Afertnoon-SI (good-afertoon-si) (sid_157), Good-Night-SI (good-night-si) (sid_158), Good-day-SI (Bom-dia-SI) (sid_156), Sanatana (sid_231), Zebulon (Zebulon-Filho-de-Jacó) (sid_138), day (sid_113), happy (sid_106), obrigada (gracia) (sid_92), obrigada (sid_91), rights (sid_102), want (sid_96)",164,36.36
S115,21,4.66%,14,5.88%,"Dharma (Duty) (sid_209), Hawaii (US State) (sid_13), Honolulu, Hawaii (sid_55), Marti (Daity) (sid_219), Michigan (US State) (sid_24), New Hampshire (US State) (sid_32), Ohio (US State) (sid_38), Paris (sid_193), Utah (US State) (sid_47), V: Nước Việt  (Việt Nam) (E: Vietnam) (sid_2), international (sid_110), international-signs (sinais-internacionais) (sid_163), name (nomo, Name, Nomo) (sid_191), two-finger salute (sid_127)",185,41.02
S10e,17,3.77%,13,5.46%,"2 (sid_168), 2023 (sid_181), 2024 (sid_197), December (sid_166), July (sid_196), Nevada (US State) (sid_31), V sign (sid_137), V: Nước Việt  (Việt Nam) (E: Vietnam) (sid_2), Venezuela (sid_1), Vermont (US State) (sid_48), Virginia (US State) (sid_49), West Virginia (US State) (sid_51), peace (peaceful, peacefully) (sid_98)",202,44.79
S1f7,17,3.77%,15,6.3%,"Alabama (US State) (sid_3), Alaska (US State) (sid_4), Alberta (sid_78), Arizona (US State) (sid_5), Arkansas (US State) (sid_6), Atlanta, Georgia (sid_71), Florida (US State) (sid_11), Georgia (US State) (sid_12), Iowa (US State) (sid_17), Kansas (US State) (sid_18), Louisiana (US State) (sid_20), Massachusetts (US State) (sid_23), Oklahoma (US State) (sid_39), Virginia (US State) (sid_49), West Virginia (US State) (sid_51)",219,48.56
S1f5,15,3.33%,12,5.04%,"6 (sid_172), ANÁS (Anás) (sid_143), Small Sign of the Cross (sid_118), always-si (sempre-si) (sid_162), boom down & hoist load (sid_146), boom down (sid_145), boom up & lower load (sid_147), boom up (sid_144), extend boom (sid_154), patient (sid_94), retract boom (sid_155), sattva (Goodness) (sid_235)",234,51.88
S18d,13,2.88%,11,4.62%,"MARIA CECILIA LUTTERBACH LOBATO (Maria Cecilia Lutterbach Lobato) (sid_242), Maryland (US State) (sid_22), Massachusetts (US State) (sid_23), Michigan (US State) (sid_24), Minnesota (US State) (sid_25), Mississippi (US State) (sid_26), Missouri (US State) (sid_27), Montana (US State) (sid_29), Montana (sid_28), New Mexico (US State) (sid_34), cecilia lutterbach (Cecilia Lutterbach) (sid_190)",247,54.77
S119,13,2.88%,13,5.46%,"Connecticut (US State) (sid_9), Indiana (US State) (sid_16), Kansas (US State) (sid_18), Minnesota (US State) (sid_25), Nebraska (US State) (sid_30), Nevada (US State) (sid_31), New Hampshire (US State) (sid_32), New Jersey (US State) (sid_33), New Mexico (US State) (sid_34), North Carolina (US State) (sid_36), North Dakota (US State) (sid_37), Pennsylvania (US State) (sid_41), Tennessee (US State) (sid_45)",260,57.65
