Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S100,4,12.12%,2,10.0%,"أحمر (sid_10), الأردرن (sid_19)",4,12.12
S182,3,9.09%,3,15.0%,"g (zz, xxk, jn, cdc, nnj, vcx, cc) (sid_2), قبل هذا بداية (sid_1), يوم الاثنين  الاثنين (sid_25)",7,21.21
S1f5,3,9.09%,2,10.0%,"اسلام (sid_16), زعلان (sid_15)",10,30.3
S15a,3,9.09%,3,15.0%,"اسلام (sid_18), بلسم (sid_9), صدقة (مال يعطى للفقراء) (sid_65)",13,39.39
S150,3,9.09%,2,10.0%,"اسلام (sid_18), بلسم (sid_12)",16,48.48
S10e,3,9.09%,2,10.0%,"انتبه الي انظر إلي (sid_3), بلسم (sid_9)",19,57.58
S14e,2,6.06%,1,5.0%,اسلام (sid_17),21,63.64
S115,2,6.06%,2,10.0%,"اليابان (sid_26), نادي الاردني للصم (sid_11)",23,69.7
S1ea,2,6.06%,1,5.0%,اليابان (sid_26),25,75.76
S16d,2,6.06%,1,5.0%,قبعة طاقية غطاء الراس (القبعة الطاغية  غطاء راس) (sid_4),27,81.82
S1ec,2,6.06%,1,5.0%,نادي الاردني للصم (sid_11),29,87.88
S129,1,3.03%,1,5.0%,الأردرن (sid_19),30,90.91
S177,1,3.03%,1,5.0%,صدقة (مال يعطى للفقراء) (sid_65),31,93.94
S105,1,3.03%,1,5.0%,ط (sid_5),32,96.97
S1c9,1,3.03%,1,5.0%,نادي الاردني للصم (sid_11),33,100.0
