inventory_id,inventory_name,data_source,data_source_location,language_name,signpuddle_country,ct_segments,ct_symmetry_operators,ct_nonmanual_features,ct_handshapes,ct_orientation,ct_location,ct_movement,contributor,year,cite
inv00001,ASL (LQ_1),LQ_1,data/longqian2024/,American Sign Language,,48,,,48,,,,Longqian Ming,2024,[cite]
inv00002,"CSL, ZGS (LQ_2)",LQ_2,data/longqian2024/,Chinese Sign Language,,58,,,58,,,,Longqian Ming,2024,[cite]
inv00003,DGS (LQ_3),LQ_3,data/longqian2024/,German Sign Language,,30,,,30,,,,Longqian Ming,2024,[cite]
inv00004,HKSL (LQ_4),LQ_4,data/longqian2024/,Hong Kong Sign Language or Hong Kong-Macau Sign Language,,54,,,54,,,,Longqian Ming,2024,[cite]
inv00005,"SSL, STS (LQ_5)",LQ_5,data/longqian2024/,Swedish Sign Language,,41,,,41,,,,Longqian Ming,2024,[cite]
inv00006,BSL (LQ_6),LQ_6,data/longqian2024/,British Sign Language,,57,,,57,,,,Longqian Ming,2024,[cite]
inv00007,Auslan (LQ_7),LQ_7,data/longqian2024/,Auslan (Australian Sign Language),,39,,,39,,,,Longqian Ming,2024,[cite]
inv00008,NZSL (LQ_8),LQ_8,data/longqian2024/,New Zealand Sign Language,,58,,,58,,,,Longqian Ming,2024,[cite]
inv00009,TSL (LQ_9),LQ_9,data/longqian2024/,Taiwan Sign Language,,57,,,57,,,,Longqian Ming,2024,[cite]
inv00010,KSL (LQ_10),LQ_10,data/longqian2024/,Korean Sign Language,,61,,,61,,,,Longqian Ming,2024,[cite]
inv00011,"DSL, DTS (LQ_11)",LQ_11,data/longqian2024/,Danish Sign Language,,61,,,61,,,,Longqian Ming,2024,[cite]
inv00012,"NGT, SLN (LQ_12)",LQ_12,data/longqian2024/,Dutch Sign Language or Sign Language of the Netherlands,,73,,,73,,,,Longqian Ming,2024,[cite]
inv00013,AFSL (SP_106),SP_106,data/signpuddle/results/,Afghan Sign Language,AF,10,,,10,,,,Luz Diaz,2025,[cite]
inv00014,AlbSL (SP_82),SP_82,data/signpuddle/results/,Albanian Sign Language,AL,38,,,38,,,,Luz Diaz,2025,[cite]
inv00015,LSA (SP_41),SP_41,data/signpuddle/results/,Argentine Sign Language,AR,88,,,88,,,,Luz Diaz,2025,[cite]
inv00016,ÖGS (SP_29),SP_29,data/signpuddle/results/,Austrian Sign Language,AT,4,,,4,,,,Luz Diaz,2025,[cite]
inv00017,Auslan (SP_42),SP_42,data/signpuddle/results/,Auslan (Australian Sign Language),AU,57,,,57,,,,Luz Diaz,2025,[cite]
inv00018,LSFB (SP_43),SP_43,data/signpuddle/results/,French Belgian Sign Language (Langue des signes de Belgique Francophone),BE-fr,105,,,105,,,,Luz Diaz,2025,[cite]
inv00019,VGT (SP_44),SP_44,data/signpuddle/results/,Flemish Sign Language (Vlaamse Gebarentaal),BE-nl,137,,,137,,,,Luz Diaz,2025,[cite]
inv00020,BZhE (SP_134),SP_134,data/signpuddle/results/,Bulgarian Sign Language,BG,3,,,3,,,,Luz Diaz,2025,[cite]
inv00021,LSB (SP_45),SP_45,data/signpuddle/results/,Bolivian Sign Language,BO,6,,,6,,,,Luz Diaz,2025,[cite]
inv00022,Libras (SP_46),SP_46,data/signpuddle/results/,Brazilian Sign Language,BR,247,,,247,,,,Luz Diaz,2025,[cite]
inv00023,ASL (SP_4),SP_4,data/signpuddle/results/,American Sign Language,"CA-en, US",182,,,182,,,,Luz Diaz,2025,[cite]
inv00024,LSQ (SP_47),SP_47,data/signpuddle/results/,Quebec Sign Language,CA-fr,159,,,159,,,,Luz Diaz,2025,[cite]
inv00025,DSGS (SP_48),SP_48,data/signpuddle/results/,Swiss-German Sign Language,CH-de,85,,,85,,,,Luz Diaz,2025,[cite]
inv00026,LSF-SR (SP_49),SP_49,data/signpuddle/results/,Swiss-French Sign Language,CH-fr,149,,,149,,,,Luz Diaz,2025,[cite]
inv00027,LIS-SI (SP_50),SP_50,data/signpuddle/results/,Swiss-Italian Sign Language,CH-it,3,,,3,,,,Luz Diaz,2025,[cite]
inv00028,LSCh (SP_135),SP_135,data/signpuddle/results/,Chilean Sign Language,CL,42,,,42,,,,Luz Diaz,2025,[cite]
inv00029,"CSL, ZGS (SP_83)",SP_83,data/signpuddle/results/,Chinese Sign Language,CN,37,,,37,,,,Luz Diaz,2025,[cite]
inv00030,LSC (CO) (SP_51),SP_51,data/signpuddle/results/,Colombian Sign Language,CO,129,,,129,,,,Luz Diaz,2025,[cite]
inv00031,LESCO (SP_101),SP_101,data/signpuddle/results/,Costa Rican Sign Language,CR,2,,,2,,,,Luz Diaz,2025,[cite]
inv00032,ČZJ (SP_52),SP_52,data/signpuddle/results/,Czech Sign Language,CZ,122,,,122,,,,Luz Diaz,2025,[cite]
inv00033,DGS (SP_53),SP_53,data/signpuddle/results/,German Sign Language,DE,97,,,97,,,,Luz Diaz,2025,[cite]
inv00034,"DSL, DTS (SP_30)",SP_30,data/signpuddle/results/,Danish Sign Language,DK,33,,,33,,,,Luz Diaz,2025,[cite]
inv00035,LSEC (SP_136),SP_136,data/signpuddle/results/,Ecuadorian Sign Language,EC,3,,,3,,,,Luz Diaz,2025,[cite]
inv00036,EVK (SP_109),SP_109,data/signpuddle/results/,Estonian Sign Language,EE,3,,,3,,,,Luz Diaz,2025,[cite]
inv00037,ESL (SP_84),SP_84,data/signpuddle/results/,Egypt Sign Language,EG,3,,,3,,,,Luz Diaz,2025,[cite]
inv00038,LSE (SP_55),SP_55,data/signpuddle/results/,Spanish Sign Language,ES,140,,,140,,,,Luz Diaz,2025,[cite]
inv00039,LSC (CT) (SP_56),SP_56,data/signpuddle/results/,Catalan Sign Language,ES‑ct,126,,,126,,,,Luz Diaz,2025,[cite]
inv00040,EthSL (SP_18),SP_18,data/signpuddle/results/,Ethiopian Sign Language,ET,52,,,52,,,,Luz Diaz,2025,[cite]
inv00041,FinSL (SP_57),SP_57,data/signpuddle/results/,Finnish Sign Language,FI,40,,,40,,,,Luz Diaz,2025,[cite]
inv00042,LSF (SP_58),SP_58,data/signpuddle/results/,French Sign Language,FR,82,,,82,,,,Luz Diaz,2025,[cite]
inv00043,BSL (SP_59),SP_59,data/signpuddle/results/,British Sign Language,GB,89,,,89,,,,Luz Diaz,2025,[cite]
inv00044,NISLs (SP_60),SP_60,data/signpuddle/results/,"Northern Irish Sign Languages (British Sign Language, Irish Sign Language)",GB-ie,22,,,22,,,,Luz Diaz,2025,[cite]
Merged into NISLs,(SP_60),SP_60,data/signpuddle/results/,British Sign Language,GB-ie,,,,,,,,Luz Diaz,2025,[cite]
Merged into NISLs,(SP_60),SP_60,data/signpuddle/results/,Irish Sign Language,GB-ie,,,,,,,,Luz Diaz,2025,[cite]
inv00045,ENG (SP_61),SP_61,data/signpuddle/results/,Greek Sign Language,GR,18,,,18,,,,Luz Diaz,2025,[cite]
inv00046,Lensegua (SP_112),SP_112,data/signpuddle/results/,Guatemalan Sign Language,GT,3,,,3,,,,Luz Diaz,2025,[cite]
inv00047,HKSL (SP_12),SP_12,data/signpuddle/results/,Hong Kong Sign Language or Hong Kong-Macau Sign Language,HK,3,,,3,,,,Luz Diaz,2025,[cite]
inv00048,LESHO (SP_16),SP_16,data/signpuddle/results/,Honduras Sign Language,HN,135,,,135,,,,Luz Diaz,2025,[cite]
inv00049,LSH (SP_113),SP_113,data/signpuddle/results/,Haitian Sign Language,HT,3,,,3,,,,Luz Diaz,2025,[cite]
inv00050,HSL (SP_122),SP_122,data/signpuddle/results/,Hungarian Sign Language,HU,20,,,20,,,,Luz Diaz,2025,[cite]
inv00051,ISL (IE) (SP_62),SP_62,data/signpuddle/results/,Irish Sign Language,IE,38,,,38,,,,Luz Diaz,2025,[cite]
inv00052,"Shassi, ISL (SP_110)",SP_110,data/signpuddle/results/,Israeli Sign Language,IL,21,,,21,,,,Luz Diaz,2025,[cite]
inv00053,ISL (IN) (SP_85),SP_85,data/signpuddle/results/,Indian Sign Language,IN,1,,,1,,,,Luz Diaz,2025,[cite]
inv00054,ÍTM (SP_131),SP_131,data/signpuddle/results/,Icelandic Sign Language,IS,17,,,17,,,,Luz Diaz,2025,[cite]
inv00055,LIS (SP_63),SP_63,data/signpuddle/results/,Italian Sign Language,IT,89,,,89,,,,Luz Diaz,2025,[cite]
inv00056,LIU (SP_86),SP_86,data/signpuddle/results/,Jordanian Sign Language or Levantine Arabic Sign Language,JO,15,,,15,,,,Luz Diaz,2025,[cite]
inv00057,JSL (SP_64),SP_64,data/signpuddle/results/,Japanese Sign Language,JP,58,,,58,,,,Luz Diaz,2025,[cite]
inv00058,"KSL, LAK (SP_79)",SP_79,data/signpuddle/results/,Kenya-Somali Sign Language,KE,10,,,10,,,,Luz Diaz,2025,[cite]
inv00059,KSL (SP_78),SP_78,data/signpuddle/results/,Korean Sign Language,KR,214,,,214,,,,Luz Diaz,2025,[cite]
inv00060,LGK (SP_107),SP_107,data/signpuddle/results/,Lithuanian Sign Language,LT,3,,,3,,,,Luz Diaz,2025,[cite]
inv00061,LSL (SP_108),SP_108,data/signpuddle/results/,Latvian Sign Language,LV,3,,,3,,,,Luz Diaz,2025,[cite]
inv00062,MSLs (SP_2),SP_2,data/signpuddle/results/,"Myanmar Sign Languages or Burmese Sign Languages (Mandalay Myanmar Sign Language, Yangon Myanmar Sign Language)",MM,130,,,130,,,,Luz Diaz,2025,[cite]
Merged into MSLs,(SP_2),SP_2,data/signpuddle/results/,Mandalay Myanmar Sign Language,MM,,,,,,,,Luz Diaz,2025,[cite]
Merged into MSLs,(SP_2),SP_2,data/signpuddle/results/,Yangon Myanmar Sign Language,MM,,,,,,,,Luz Diaz,2025,[cite]
inv00062,LSM (MT) (SP_31),SP_31,data/signpuddle/results/,Maltese Sign Language,MT,130,,,130,,,,Luz Diaz,2025,[cite]
inv00063,MSL (SP_128),SP_128,data/signpuddle/results/,Malawian Sign Language,MW,31,,,31,,,,Luz Diaz,2025,[cite]
inv00064,LSM (MX) (SP_65),SP_65,data/signpuddle/results/,Mexican Sign Language,MX,122,,,122,,,,Luz Diaz,2025,[cite]
inv00065,BIM (SP_66),SP_66,data/signpuddle/results/,Malaysian Sign Language,MY,2,,,2,,,,Luz Diaz,2025,[cite]
inv00066,NSL (NG) (SP_32),SP_32,data/signpuddle/results/,Nigerian Sign Language,NG,6,,,6,,,,Luz Diaz,2025,[cite]
inv00067,ISN (SP_67),SP_67,data/signpuddle/results/,Nicaraguan Sign Language,NI,88,,,88,,,,Luz Diaz,2025,[cite]
inv00068,"NGT, SLN (SP_68)",SP_68,data/signpuddle/results/,Dutch Sign Language or Sign Language of the Netherlands,NL,35,,,35,,,,Luz Diaz,2025,[cite]
inv00069,"NTS, NSL (SP_69)",SP_69,data/signpuddle/results/,Norwegian Sign Language,NO,112,,,112,,,,Luz Diaz,2025,[cite]
inv00070,NSL (NP) (SP_133),SP_133,data/signpuddle/results/,Nepalese Sign Language or Nepali Sign Language,NP,5,,,5,,,,Luz Diaz,2025,[cite]
inv00071,NZSL (SP_70),SP_70,data/signpuddle/results/,New Zealand Sign Language,NZ,14,,,14,,,,Luz Diaz,2025,[cite]
inv00072,LSP (SP_71),SP_71,data/signpuddle/results/,Peruvian Sign Language,PE,43,,,43,,,,Luz Diaz,2025,[cite]
inv00073,FSL (SP_72),SP_72,data/signpuddle/results/,Philippine Sign Language,PH,85,,,85,,,,Luz Diaz,2025,[cite]
inv00074,PSL (SP_87),SP_87,data/signpuddle/results/,Pakistan Sign Language,PK,9,,,9,,,,Luz Diaz,2025,[cite]
inv00075,PJM (SP_19),SP_19,data/signpuddle/results/,Polish Sign Language,PL,90,,,90,,,,Luz Diaz,2025,[cite]
inv00076,LGP (SP_33),SP_33,data/signpuddle/results/,Portuguese Sign Language,PT,83,,,83,,,,Luz Diaz,2025,[cite]
inv00077,LSPy (SP_129),SP_129,data/signpuddle/results/,Paraguayan Sign Language,PY,113,,,113,,,,Luz Diaz,2025,[cite]
inv00078,LSR (SP_132),SP_132,data/signpuddle/results/,Romanian Sign Language,RO,19,,,19,,,,Luz Diaz,2025,[cite]
inv00079,RSL (SP_88),SP_88,data/signpuddle/results/,Russian-Tajik Sign Language,RU,57,,,57,,,,Luz Diaz,2025,[cite]
inv00080,"SSL, SASL (SP_40)",SP_40,data/signpuddle/results/,Saudi Sign Language or Saudi Arabian Sign Language,SA,79,,,79,,,,Luz Diaz,2025,[cite]
inv00081,"SSL, STS (SP_73)",SP_73,data/signpuddle/results/,Swedish Sign Language,SE,29,,,29,,,,Luz Diaz,2025,[cite]
inv00082,SgSL (SP_11),SP_11,data/signpuddle/results/,Singapore Sign Language,SG,91,,,91,,,,Luz Diaz,2025,[cite]
inv00083,SPJ (SP_89),SP_89,data/signpuddle/results/,Slovakian Sign Language,SK,3,,,3,,,,Luz Diaz,2025,[cite]
inv00084,LESSA (SP_137),SP_137,data/signpuddle/results/,Salvadoran Sign Language,SV,1,,,1,,,,Luz Diaz,2025,[cite]
inv00085,"TSL, MSTSL (SP_34)",SP_34,data/signpuddle/results/,Thai Sign Language,TH,95,,,95,,,,Luz Diaz,2025,[cite]
inv00086,TunSL (SP_104),SP_104,data/signpuddle/results/,Tunisian Sign Language,TN,165,,,165,,,,Luz Diaz,2025,[cite]
inv00087,TİD (SP_90),SP_90,data/signpuddle/results/,Turkish Sign Language,TR,1,,,1,,,,Luz Diaz,2025,[cite]
inv00088,TSL (SP_75),SP_75,data/signpuddle/results/,Taiwan Sign Language,TW,63,,,63,,,,Luz Diaz,2025,[cite]
inv00089,"USL, UZhM (SP_130)",SP_130,data/signpuddle/results/,Ukrainian Sign Language,UA,72,,,72,,,,Luz Diaz,2025,[cite]
Merged or Repeated,(SP_4),SP_4,data/signpuddle/results/,American Sign Language,US,,,,,,,,Luz Diaz,2025,[cite]
inv00089,LSU (SP_143),SP_143,data/signpuddle/results/,Uruguayan Sign Language,UY,72,,,72,,,,Luz Diaz,2025,[cite]
inv00090,VSL (SP_76),SP_76,data/signpuddle/results/,Venezuelan Sign Language,VE,45,,,45,,,,Luz Diaz,2025,[cite]
inv00091,VSLs (SP_153),SP_153,data/signpuddle/results/,"Vietnamese Sign Languages (Haiphong Sign Language, Hanoi Sign Language, Ho Chi Minh City Sign Language)",VN,55,,,55,,,,Luz Diaz,2025,[cite]
Merged into VSLs,(SP_153),SP_153,data/signpuddle/results/,Haiphong Sign Language,VN,,,,,,,,Luz Diaz,2025,[cite]
