language_id,language_name,language_abbreviation,abbreviation_source,glottocode,ISO-639-3,macro-area,macro-area_source
lan00001,American Sign Language,ASL,Wikipedia,afgh1239,ase,North America,Glottolog
lan00002,Chinese Sign Language,"CSL, ZGS ",Wikipedia,chin1283,csl,Eurasia,Glottolog
lan00003,German Sign Language,DGS,Wikipedia,germ1281,gsg,Eurasia,Glottolog
lan00004,Hong Kong Sign Language or Hong Kong-Macau Sign Language,HKSL,Wikipedia,hong1241,hks,Eurasia,Glottolog
lan00005,Swedish Sign Language,"SSL, STS",Wikipedia,swed1236,swl,Eurasia,Glottolog
lan00006,British Sign Language,BSL,Wikipedia,brit1235,bfi,Eurasia,Glottolog
lan00007,Auslan (Australian Sign Language),Auslan,Wikipedia,aust1271,asf,Australia,Glottolog
lan00008,New Zealand Sign Language,NZSL,Wikipedia,newz1236,nzs,Papunesia,Glottolog
lan00009,Taiwan Sign Language,TSL,Wikipedia,taiw1241,tss,Papunesia,Glottolog
lan00010,Korean Sign Language,KSL,Wikipedia,kore1273,kvk,Eurasia,Glottolog
lan00011,Danish Sign Language,"DSL, DTS",Wikipedia,dani1246,dsl,Eurasia,Glottolog
lan00012,Dutch Sign Language or Sign Language of the Netherlands,"NGT, SLN",Wikipedia,dutc1253,dse,Eurasia,Glottolog
lan00013,Afghan Sign Language,AFSL,Wikipedia,afgh1239,afg,Eurasia,Glottolog
lan00014,Albanian Sign Language,AlbSL,Wikipedia,alba1271,sqk,Eurasia,Glottolog
lan00015,Argentine Sign Language,LSA,Wikipedia,arge1236,aed,South America,Glottolog
lan00016,Austrian Sign Language,ÖGS,Wikipedia,aust1252,asq,Eurasia,Glottolog
lan00017,French Belgian Sign Language (Langue des signes de Belgique Francophone),LSFB,Wikipedia,lang1248,sfb,Eurasia,Glottolog
lan00018,Flemish Sign Language (Vlaamse Gebarentaal),VGT,Wikipedia,vlaa1235,vgt,Eurasia,Glottolog
lan00019,Bulgarian Sign Language,BZhE,Wikipedia,bulg1240,bqn,Eurasia,Glottolog
lan00020,Bolivian Sign Language,LSB,Wikipedia,boli1236,bvl,South America,Glottolog
lan00021,Brazilian Sign Language,Libras,Wikipedia,braz1236,bzs,South America,Glottolog
lan00022,Quebec Sign Language,LSQ,Wikipedia,queb1245,fcs,North America,Glottolog
lan00023,Swiss-German Sign Language,DSGS,University of Geneva: https://bfc.unige.ch/research-areas-bfc/sign-language-interpreting,swis1240,sgg,Eurasia,Glottolog
lan00024,Swiss-French Sign Language,LSF-SR,University of Geneva: https://bfc.unige.ch/research-areas-bfc/sign-language-interpreting,swis1241,ssr,Eurasia,Glottolog
lan00025,Swiss-Italian Sign Language,LIS-SI,University of Geneva: https://bfc.unige.ch/research-areas-bfc/sign-language-interpreting,swis1235,slf,Eurasia,Glottolog
lan00026,Chilean Sign Language,LSCh,Wikipedia,chil1264,csg,South America,Glottolog
lan00027,Colombian Sign Language,LSC (CO),Wikipedia,colo1249,csn,South America,Glottolog
lan00028,Costa Rican Sign Language,LESCO,Costa Rica Government Education Page: https://lesco.cenarec.go.cr,cost1249,csr,North America,Glottolog
lan00029,Czech Sign Language,ČZJ,Wikipedia,czec1253,cse,Eurasia,Glottolog
lan00030,Ecuadorian Sign Language,LSEC,Wikipedia,ecua1243,ecs,South America,Glottolog
lan00031,Estonian Sign Language,EVK,Wikipedia,esto1238,eso,Eurasia,Glottolog
lan00032,Egypt Sign Language,ESL,African Sign Languages Resource Center: https://africansignlanguagesresourcecenter.com/egypt/,egyp1238,esl,Africa,Glottolog
lan00033,Spanish Sign Language,LSE,Wikipedia,span1263,ssp,Eurasia,Glottolog
lan00034,Catalan Sign Language,LSC (CT),Wikipedia,cata1241,csc,Eurasia,Glottolog
lan00035,Ethiopian Sign Language,EthSL,Addis Ababa University Dictionary of Ethiopian Sign Language: https://ethsl.aau.edu.et,ethi1238,eth,Africa,Glottolog
lan00036,Finnish Sign Language,FinSL,The Corpus of Finnish Sign Language: https://aclanthology.org/2020.signlang-1.32/,finn1310,fse,Eurasia,Glottolog
lan00037,French Sign Language,LSF,Wikipedia,fren1243,fsl,Eurasia,Glottolog
lan00038,"Northern Irish Sign Languages (British Sign Language, Irish Sign Language)",NISLs,original (combination of multiple languages),"brit1235, iris1235","bfi, isg",Eurasia,Glottolog
lan00039,Greek Sign Language,ENG,Wikipedia,gree1271,gss,Eurasia,Glottolog
lan00040,Guatemalan Sign Language,Lensegua,Wikipedia,guat1249,gsm,North America,Glottolog
lan00041,Honduras Sign Language,LESHO,Wikipedia,hond1239,hds,North America,Glottolog
lan00042,Haitian Sign Language,LSH,Gallaudet University Linguistics Department: https://lingdept.wordpress.com/2014/06/18/introduction-to-haitian-sign-language-documentation-project-lshdop/,hait1245,(none),North America,Glottolog
