segment_id,segment_class,hamnosys_1_initial_configuration,hamnosys_2_basic_handshape,hamnosys_3_handshape_modifications,fsw,signwriting_1,signwriting_2
seg00001,handshape,Selected fingers,0_finger(Fist),(Selected Fingers extended),S1f5,񅯣,񅯡
seg00002,handshape,Selected fingers,0_finger(Fist),(Selected Fingers extended),S1f7,񅲱,񅳁
seg00003,handshape,Selected fingers,0_finger(Fist),(Selected Fingers extended),S1f8,񅴑,
seg00004,handshape,Selected fingers,0_finger(Fist),(Selected Fingers extended),S203,񆄱,񆅁
seg00005,handshape,Selected fingers,0_finger(Fist),(Selected Fingers bent),S1f9,񅵱,
seg00006,handshape,Selected fingers,0_finger(Fist),(fistDerivation),S1fb,񅸱,
seg00007,handshape,Selected fingers,0_finger(Fist),(fistDerivation),S1fc,񅺡,񅺑
seg00008,handshape,Selected fingers,0_finger(Fist),(fistDerivation),S1fd,񅼁,񅻱
seg00009,handshape,Selected fingers,0_finger(Fist),(fistDerivation),S1ff,񅾱,
seg00010,handshape,Selected fingers,0_finger(Fist),(fistDerivation),S200,񆀑,
seg00011,handshape,Selected fingers,0_finger(Fist),(fistDerivation),S201,񆁱,
seg00012,handshape,Selected fingers,1_finger,(Selected Fingers extended),S100,񀀁,
seg00013,handshape,Selected fingers,1_finger,(Selected Fingers extended),S101,񀁱,
seg00014,handshape,Selected fingers,1_finger,(Selected Fingers extended),S103,񀄱,
seg00015,handshape,Selected fingers,1_finger,(Selected Fingers extended),S108,񀌑,
seg00016,handshape,Selected fingers,1_finger,(Selected Fingers extended),S192,񃛑,񃛁
seg00017,handshape,Selected fingers,1_finger,(Selected Fingers extended),S193,񃜱,
seg00018,handshape,Selected fingers,1_finger,(Selected Fingers extended),S19a,񃧑,񃧁
seg00019,handshape,Selected fingers,1_finger,(Selected Fingers extended),S1ae,񄅑,
seg00020,handshape,Selected fingers,1_finger,(Selected Fingers extended),S1c6,񄩁,񄩑
seg00021,handshape,Selected fingers,1_finger,(Selected Fingers extended),S1dc,񅊑,񅊡
seg00022,handshape,Selected fingers,1_finger,(Selected Fingers extended),S1de,񅍑,
seg00023,handshape,Selected fingers,1_finger,(Selected Fingers extended),S1df,񅎱,
seg00024,handshape,Selected fingers,1_finger,(Selected Fingers extended),S1e0,񅐁,񅐑
seg00025,handshape,Selected fingers,1_finger,(Selected Fingers flattened),S10c,񀒑,
seg00026,handshape,Selected fingers,1_finger,(Selected Fingers flattened),S1f2,񅫁,
seg00027,handshape,Selected fingers,1_finger,(Selected Fingers flattened),S1f3,񅬱,
seg00028,handshape,Selected fingers,1_finger,(Selected Fingers bent),S106,񀉑,
seg00029,handshape,Selected fingers,1_finger,(Selected Fingers bent),S10a,񀏑,
seg00030,handshape,Selected fingers,1_finger,(Selected Fingers bent),S198,񃤑,
seg00031,handshape,Selected fingers,1_finger,(Selected Fingers bent),S1e1,񅑱,񅑡
seg00032,handshape,Selected fingers,1_finger,(Selected Fingers bent),S1e2,񅓁,
seg00033,handshape,Selected fingers,1_finger,(Selected Fingers bent),Missing,,
seg00034,handshape,Selected fingers,1_finger,(Selected Fingers bent),Missing,,
seg00035,handshape,Selected fingers,1_finger,(Selected Fingers Hooked),S1ea,񅟑,񅟁
seg00036,handshape,Selected fingers,2_nonspread,(Selected Fingers extended),S115,񀟱,
seg00037,handshape,Selected fingers,2_nonspread,(Selected Fingers extended),S12d,񁃡,񁃱
